# Region type : patch inlet
# Faces  :      300
# Area   :      4.50065298e-02
# Time          	average(p)
0               	1.01325000e+05
1.19904e-05     	1.01325161e+05
2.63616e-05     	1.01325352e+05
4.35873e-05     	1.01325330e+05
6.42437e-05     	1.01325214e+05
8.90212e-05     	1.01325130e+05
0.000118695     	1.01325099e+05
0.000154239     	1.01325105e+05
0.000196861     	1.01325218e+05
0.000247919     	1.01326068e+05
0.00030887      	1.01328763e+05
0.000381736     	1.01334171e+05
0.000469174     	1.01340822e+05
0.000573909     	1.01344561e+05
0.00069959      	1.01343261e+05
0.000849596     	1.01339399e+05
0.00102557      	1.01336417e+05
0.001225        	1.01335300e+05
0.00145         	1.01335430e+05
0.00170147      	1.01336030e+05
0.00197809      	1.01336717e+05
0.0022547       	1.01337174e+05
0.00253132      	1.01337625e+05
0.00280794      	1.01338041e+05
0.00308456      	1.01338421e+05
0.00336117      	1.01338777e+05
0.00363779      	1.01339115e+05
0.00391441      	1.01339441e+05
0.00419103      	1.01339754e+05
0.00446765      	1.01340054e+05
0.00474426      	1.01340343e+05
0.00502088      	1.01340623e+05
0.0052975       	1.01340894e+05
0.00557412      	1.01341156e+05
0.00585073      	1.01341411e+05
0.00612735      	1.01341660e+05
0.00640397      	1.01341904e+05
0.00668059      	1.01342143e+05
0.00695721      	1.01342378e+05
0.00721077      	1.01342427e+05
0.00746434      	1.01342697e+05
0.0077179       	1.01342930e+05
0.00797147      	1.01343141e+05
0.00822504      	1.01343344e+05
0.0084786       	1.01343542e+05
0.00873217      	1.01343738e+05
0.00898574      	1.01343931e+05
0.0092393       	1.01344123e+05
0.00949287      	1.01344313e+05
0.00974643      	1.01344503e+05
0.01            	1.01344691e+05
0.0102703       	1.01345005e+05
0.0105405       	1.01345161e+05
0.0108108       	1.01345341e+05
0.0110811       	1.01345534e+05
0.0113514       	1.01345731e+05
0.0116216       	1.01345929e+05
0.0118919       	1.01346127e+05
0.0121622       	1.01346326e+05
0.0124324       	1.01346526e+05
0.0127027       	1.01346726e+05
0.012973        	1.01346926e+05
0.0132432       	1.01347126e+05
0.0135135       	1.01347327e+05
0.0137838       	1.01347529e+05
0.0140541       	1.01347731e+05
0.0143243       	1.01347934e+05
0.0145946       	1.01348137e+05
0.0148649       	1.01348341e+05
0.0151351       	1.01348546e+05
0.0154054       	1.01348752e+05
0.0156757       	1.01348958e+05
0.0159459       	1.01349166e+05
0.0162162       	1.01349374e+05
0.0164865       	1.01349583e+05
0.0167568       	1.01349792e+05
0.017027        	1.01350002e+05
0.0172973       	1.01350213e+05
0.0175676       	1.01350424e+05
0.0178378       	1.01350637e+05
0.0181081       	1.01350850e+05
0.0183784       	1.01351064e+05
0.0186486       	1.01351278e+05
0.0189189       	1.01351493e+05
0.0191892       	1.01351709e+05
0.0194595       	1.01351926e+05
0.0197297       	1.01352143e+05
0.02            	1.01352362e+05
0.0202703       	1.01352580e+05
0.0205405       	1.01352800e+05
0.0208108       	1.01353019e+05
0.0210811       	1.01353240e+05
0.0213514       	1.01353461e+05
0.0216216       	1.01353682e+05
0.0218919       	1.01353904e+05
0.0221622       	1.01354125e+05
0.0224324       	1.01354348e+05
0.0227027       	1.01354570e+05
0.022973        	1.01354793e+05
0.0232432       	1.01355015e+05
0.0235135       	1.01355238e+05
0.0237838       	1.01355460e+05
0.0240541       	1.01355683e+05
0.0243243       	1.01355906e+05
0.0245946       	1.01356128e+05
0.0248649       	1.01356351e+05
0.0251351       	1.01356573e+05
0.0254054       	1.01356795e+05
0.0256757       	1.01357016e+05
0.0259459       	1.01357237e+05
0.0262162       	1.01357458e+05
0.0264865       	1.01357678e+05
0.0267568       	1.01357897e+05
0.027027        	1.01358116e+05
0.0272973       	1.01358334e+05
0.0275676       	1.01358552e+05
0.0278378       	1.01358768e+05
0.0281081       	1.01358983e+05
0.0283784       	1.01359198e+05
0.0286486       	1.01359411e+05
0.0289189       	1.01359624e+05
0.0291892       	1.01359835e+05
0.0294595       	1.01360044e+05
0.0297297       	1.01360253e+05
0.03            	1.01360460e+05
0.0302632       	1.01360612e+05
0.0305263       	1.01360829e+05
0.0307895       	1.01361034e+05
0.0310526       	1.01361233e+05
0.0313158       	1.01361428e+05
0.0315789       	1.01361620e+05
0.0318421       	1.01361810e+05
0.0321053       	1.01361998e+05
0.0323684       	1.01362185e+05
0.0326316       	1.01362370e+05
0.0328947       	1.01362552e+05
0.0331579       	1.01362733e+05
0.0334211       	1.01362910e+05
0.0336842       	1.01363086e+05
0.0339474       	1.01363259e+05
0.0342105       	1.01363430e+05
0.0344737       	1.01363599e+05
0.0347368       	1.01363765e+05
0.035           	1.01363928e+05
0.0352632       	1.01364088e+05
0.0355263       	1.01364246e+05
0.0357895       	1.01364400e+05
0.0360526       	1.01364551e+05
0.0363158       	1.01364699e+05
0.0365789       	1.01364842e+05
0.0368421       	1.01364982e+05
0.0371053       	1.01365119e+05
0.0373684       	1.01365251e+05
0.0376316       	1.01365379e+05
0.0378947       	1.01365503e+05
0.0381579       	1.01365622e+05
0.0384211       	1.01365737e+05
0.0386842       	1.01365848e+05
0.0389474       	1.01365954e+05
0.0392105       	1.01366055e+05
0.0394737       	1.01366152e+05
0.0397368       	1.01366244e+05
0.04            	1.01366332e+05
0.0402632       	1.01366416e+05
0.0405263       	1.01366495e+05
0.0407895       	1.01366570e+05
0.0410526       	1.01366641e+05
0.0413158       	1.01366708e+05
0.0415789       	1.01366770e+05
0.0418421       	1.01366828e+05
0.0421053       	1.01366881e+05
0.0423684       	1.01366929e+05
0.0426316       	1.01366972e+05
0.0428947       	1.01367011e+05
0.0431579       	1.01367045e+05
0.0434211       	1.01367076e+05
0.0436842       	1.01367102e+05
0.0439474       	1.01367126e+05
0.0442105       	1.01367146e+05
0.0444737       	1.01367162e+05
0.0447368       	1.01367176e+05
0.045           	1.01367186e+05
0.0452632       	1.01367192e+05
0.0455263       	1.01367195e+05
0.0457895       	1.01367195e+05
0.0460526       	1.01367193e+05
0.0463158       	1.01367188e+05
0.0465789       	1.01367180e+05
0.0468421       	1.01367171e+05
