# Region type : patch outlet
# Faces  :      624
# Area   :      4.50063861e-02
# Time          	average(p)
0               	1.01325000e+05
1.19904e-05     	1.01325025e+05
2.63616e-05     	1.01325038e+05
4.35873e-05     	1.01325048e+05
6.42437e-05     	1.01325059e+05
8.90212e-05     	1.01325071e+05
0.000118695     	1.01325088e+05
0.000154239     	1.01325110e+05
0.000196861     	1.01325132e+05
0.000247919     	1.01325148e+05
0.00030887      	1.01325116e+05
0.000381736     	1.01324865e+05
0.000469174     	1.01323985e+05
0.000573909     	1.01322212e+05
0.00069959      	1.01320252e+05
0.000849596     	1.01319614e+05
0.00102557      	1.01321036e+05
0.001225        	1.01323885e+05
0.00145         	1.01327229e+05
0.00170147      	1.01330289e+05
0.00197809      	1.01332532e+05
0.0022547       	1.01333806e+05
0.00253132      	1.01334471e+05
0.00280794      	1.01334868e+05
0.00308456      	1.01335201e+05
0.00336117      	1.01335547e+05
0.00363779      	1.01335916e+05
0.00391441      	1.01336290e+05
0.00419103      	1.01336654e+05
0.00446765      	1.01337001e+05
0.00474426      	1.01337329e+05
0.00502088      	1.01337640e+05
0.0052975       	1.01337936e+05
0.00557412      	1.01338218e+05
0.00585073      	1.01338488e+05
0.00612735      	1.01338749e+05
0.00640397      	1.01339002e+05
0.00668059      	1.01339246e+05
0.00695721      	1.01339484e+05
0.00721077      	1.01339697e+05
0.00746434      	1.01339906e+05
0.0077179       	1.01340111e+05
0.00797147      	1.01340313e+05
0.00822504      	1.01340511e+05
0.0084786       	1.01340707e+05
0.00873217      	1.01340900e+05
0.00898574      	1.01341091e+05
0.0092393       	1.01341279e+05
0.00949287      	1.01341466e+05
0.00974643      	1.01341650e+05
0.01            	1.01341833e+05
0.0102703       	1.01342027e+05
0.0105405       	1.01342219e+05
0.0108108       	1.01342410e+05
0.0110811       	1.01342600e+05
0.0113514       	1.01342789e+05
0.0116216       	1.01342977e+05
0.0118919       	1.01343165e+05
0.0121622       	1.01343352e+05
0.0124324       	1.01343538e+05
0.0127027       	1.01343725e+05
0.012973        	1.01343911e+05
0.0132432       	1.01344097e+05
0.0135135       	1.01344282e+05
0.0137838       	1.01344468e+05
0.0140541       	1.01344654e+05
0.0143243       	1.01344840e+05
0.0145946       	1.01345026e+05
0.0148649       	1.01345213e+05
0.0151351       	1.01345400e+05
0.0154054       	1.01345587e+05
0.0156757       	1.01345775e+05
0.0159459       	1.01345963e+05
0.0162162       	1.01346152e+05
0.0164865       	1.01346341e+05
0.0167568       	1.01346531e+05
0.017027        	1.01346721e+05
0.0172973       	1.01346912e+05
0.0175676       	1.01347104e+05
0.0178378       	1.01347296e+05
0.0181081       	1.01347489e+05
0.0183784       	1.01347682e+05
0.0186486       	1.01347877e+05
0.0189189       	1.01348072e+05
0.0191892       	1.01348267e+05
0.0194595       	1.01348464e+05
0.0197297       	1.01348661e+05
0.02            	1.01348859e+05
0.0202703       	1.01349057e+05
0.0205405       	1.01349256e+05
0.0208108       	1.01349456e+05
0.0210811       	1.01349656e+05
0.0213514       	1.01349857e+05
0.0216216       	1.01350059e+05
0.0218919       	1.01350261e+05
0.0221622       	1.01350464e+05
0.0224324       	1.01350667e+05
0.0227027       	1.01350871e+05
0.022973        	1.01351075e+05
0.0232432       	1.01351279e+05
0.0235135       	1.01351484e+05
0.0237838       	1.01351689e+05
0.0240541       	1.01351894e+05
0.0243243       	1.01352099e+05
0.0245946       	1.01352305e+05
0.0248649       	1.01352510e+05
0.0251351       	1.01352716e+05
0.0254054       	1.01352921e+05
0.0256757       	1.01353126e+05
0.0259459       	1.01353332e+05
0.0262162       	1.01353537e+05
0.0264865       	1.01353741e+05
0.0267568       	1.01353946e+05
0.027027        	1.01354149e+05
0.0272973       	1.01354353e+05
0.0275676       	1.01354556e+05
0.0278378       	1.01354758e+05
0.0281081       	1.01354960e+05
0.0283784       	1.01355161e+05
0.0286486       	1.01355361e+05
0.0289189       	1.01355560e+05
0.0291892       	1.01355759e+05
0.0294595       	1.01355956e+05
0.0297297       	1.01356152e+05
0.03            	1.01356348e+05
0.0302632       	1.01356536e+05
0.0305263       	1.01356724e+05
0.0307895       	1.01356910e+05
0.0310526       	1.01357095e+05
0.0313158       	1.01357279e+05
0.0315789       	1.01357461e+05
0.0318421       	1.01357642e+05
0.0321053       	1.01357821e+05
0.0323684       	1.01357999e+05
0.0326316       	1.01358174e+05
0.0328947       	1.01358348e+05
0.0331579       	1.01358520e+05
0.0334211       	1.01358690e+05
0.0336842       	1.01358858e+05
0.0339474       	1.01359024e+05
0.0342105       	1.01359188e+05
0.0344737       	1.01359349e+05
0.0347368       	1.01359507e+05
0.035           	1.01359663e+05
