# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
1.19904e-05     	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.23271289e-02	8.89921466e-01
2.63616e-05     	5.65690411e-01	2.89822031e-01	1.72799457e-02	2.89135498e-01	3.76414663e-02	8.21767524e-04	2.58786678e-01
4.35873e-05     	1.88204499e-01	1.74955137e-01	1.24349095e-02	2.06206913e-01	1.52215672e-02	9.53991282e-04	1.06376684e-01
6.42437e-05     	1.24912451e-01	1.42420727e-01	1.24307432e-02	1.48173087e-01	9.09923784e-03	1.28066101e-03	7.16741770e-02
8.90212e-05     	1.11351043e-01	1.24287328e-01	1.57326290e-02	1.03313831e-01	6.15088851e-03	1.68463805e-03	6.88976127e-02
0.000118695     	1.22835087e-01	9.99346323e-02	2.28773735e-02	7.38232947e-02	4.43552163e-03	1.89343417e-03	8.59119961e-02
0.000154239     	1.58896161e-01	8.24708070e-02	3.04144183e-02	6.69692111e-02	3.45546800e-03	1.92933124e-03	1.28317678e-01
0.000196861     	1.97233969e-01	7.42387769e-02	3.18011341e-02	5.63952176e-02	2.94411131e-03	1.92305972e-03	1.85873559e-01
0.000247919     	1.80451979e-01	6.52567205e-02	2.82456976e-02	4.92549718e-02	2.66528818e-03	1.91640623e-03	1.77115884e-01
0.00030887      	1.55823374e-01	6.30310313e-02	2.38736092e-02	4.87061348e-02	2.48881365e-03	1.88870178e-03	1.74955024e-01
0.000381736     	1.27656080e-01	5.25145573e-02	2.04259246e-02	3.70527131e-02	2.35321645e-03	1.83185913e-03	1.80371431e-01
0.000469174     	8.95489652e-02	3.71955113e-02	1.84169844e-02	2.88618692e-02	2.24839885e-03	1.76468668e-03	1.57153458e-01
0.000573909     	6.83895731e-02	3.18524111e-02	1.82162045e-02	2.64247381e-02	2.15349336e-03	1.66372340e-03	1.17610761e-01
0.00069959      	5.73140419e-02	2.66611370e-02	1.83531958e-02	2.23255036e-02	2.08106135e-03	1.54794624e-03	8.43652120e-02
0.000849596     	5.86831474e-02	2.32680203e-02	1.65232369e-02	1.93263842e-02	2.01322790e-03	1.42954173e-03	9.62720074e-02
0.00102557      	5.42044970e-02	2.12712172e-02	1.39154698e-02	1.81301721e-02	1.94575995e-03	1.31500093e-03	1.32810697e-01
0.001225        	4.52459702e-02	1.97959933e-02	1.24714027e-02	1.72548528e-02	1.84996365e-03	1.21915300e-03	1.63930585e-01
0.00145         	4.24537239e-02	1.86279184e-02	1.14196329e-02	1.64377092e-02	1.78676330e-03	1.15410247e-03	1.89688405e-01
0.00170147      	3.69955092e-02	1.77374111e-02	9.79419196e-03	1.57525009e-02	1.75617521e-03	1.13578441e-03	1.96413994e-01
0.00197809      	2.88423288e-02	1.71754865e-02	7.93722406e-03	1.52618039e-02	1.74721869e-03	1.15321009e-03	1.55378443e-01
0.0022547       	1.68764090e-02	1.60718713e-02	6.35578232e-03	1.42967593e-02	1.62772826e-03	1.12952740e-03	9.32848040e-02
0.00253132      	1.37401061e-02	1.48638974e-02	5.52283119e-03	1.32567728e-02	1.55349134e-03	1.15403193e-03	6.38576578e-02
0.00280794      	1.20711280e-02	1.38170518e-02	5.04227033e-03	1.23500423e-02	1.49843390e-03	1.20386136e-03	5.39735482e-02
0.00308456      	1.11420131e-02	1.30555416e-02	4.73058471e-03	1.16639348e-02	1.42821849e-03	1.19631875e-03	5.20767271e-02
0.00336117      	1.02163530e-02	1.24316704e-02	4.48669751e-03	1.10972580e-02	1.37883386e-03	1.19768807e-03	5.17457014e-02
0.00363779      	9.84414953e-03	1.17799030e-02	4.26696559e-03	1.05162884e-02	1.35071403e-03	1.20793790e-03	5.04962886e-02
0.00391441      	9.00315512e-03	1.10348041e-02	4.06080435e-03	9.87317480e-03	1.35343947e-03	1.19370932e-03	4.80604824e-02
0.00419103      	8.76974718e-03	1.03335795e-02	3.86969224e-03	9.26995651e-03	1.37070243e-03	1.26120912e-03	4.51240161e-02
0.00446765      	8.07129190e-03	9.76747578e-03	3.69091544e-03	8.77560621e-03	1.37386470e-03	1.22837049e-03	4.23006503e-02
0.00474426      	7.64398139e-03	9.28484784e-03	3.52804657e-03	8.34872726e-03	1.34919434e-03	1.20875997e-03	3.95680244e-02
0.00502088      	7.09274254e-03	8.91921772e-03	3.37971275e-03	8.01652622e-03	1.32259821e-03	1.19180184e-03	3.71319517e-02
0.0052975       	7.23028199e-03	8.56450921e-03	3.24588060e-03	7.69118092e-03	1.30169900e-03	1.20776694e-03	3.50126904e-02
0.00557412      	6.57553858e-03	8.14684547e-03	3.12224879e-03	7.32450347e-03	1.30952965e-03	1.13543326e-03	3.31971302e-02
0.00585073      	6.14408196e-03	7.80350666e-03	3.01360501e-03	7.01880472e-03	1.32567857e-03	1.14862065e-03	3.14894045e-02
0.00612735      	5.91826665e-03	7.50661016e-03	2.91298606e-03	6.74851683e-03	1.34274773e-03	1.18292664e-03	2.99354961e-02
0.00640397      	5.50469693e-03	7.24629627e-03	2.81886210e-03	6.51165036e-03	1.35786601e-03	1.21415687e-03	2.85617957e-02
0.00668059      	5.31672033e-03	7.02352104e-03	2.73192439e-03	6.30200184e-03	1.36850549e-03	1.23717216e-03	2.73142810e-02
0.00695721      	5.18829941e-03	6.77960103e-03	2.65188607e-03	6.07958467e-03	1.36571418e-03	1.23880399e-03	2.61210079e-02
0.00721077      	2.30424820e-02	6.15865821e-03	2.40199371e-03	5.54155309e-03	1.26948272e-03	1.13568668e-03	2.31717896e-02
0.00746434      	7.20325599e-03	6.14368078e-03	2.36825626e-03	5.50805888e-03	1.27142569e-03	1.13180147e-03	2.28995257e-02
0.0077179       	5.76526926e-03	5.83067558e-03	2.30367067e-03	5.23516216e-03	1.27344242e-03	1.13423194e-03	2.16931013e-02
0.00797147      	5.19159714e-03	5.60208803e-03	2.24320934e-03	5.03351227e-03	1.27479631e-03	1.13537412e-03	2.09539559e-02
0.00822504      	4.61267488e-03	5.42702463e-03	2.19074196e-03	4.87097573e-03	1.27580628e-03	1.13797557e-03	2.02334224e-02
0.0084786       	4.34532404e-03	5.28541365e-03	2.14217084e-03	4.73866392e-03	1.27834568e-03	1.13062583e-03	1.95100169e-02
0.00873217      	4.13923384e-03	5.14267363e-03	2.09701012e-03	4.60530188e-03	1.28180351e-03	1.13169605e-03	1.88869260e-02
0.00898574      	4.01822120e-03	5.00893724e-03	2.05345123e-03	4.47963603e-03	1.28565979e-03	1.13116707e-03	1.82941476e-02
0.0092393       	3.86813509e-03	4.87990930e-03	2.01202426e-03	4.35815397e-03	1.29455313e-03	1.13362032e-03	1.77378179e-02
0.00949287      	3.71807847e-03	4.75833564e-03	1.97343378e-03	4.24320249e-03	1.30830745e-03	1.14362248e-03	1.72098270e-02
0.00974643      	3.60761952e-03	4.64194582e-03	1.93809321e-03	4.13126951e-03	1.32499390e-03	1.16205375e-03	1.67143972e-02
0.01            	3.51469585e-03	4.52692402e-03	1.90377240e-03	4.01941520e-03	1.33767265e-03	1.17735020e-03	1.62635276e-02
0.0102703       	1.65827520e-02	4.61587322e-03	1.96886998e-03	4.07904237e-03	1.42127640e-03	1.24848152e-03	1.67591089e-02
0.0105405       	5.61554379e-03	4.69578465e-03	1.95567893e-03	4.12562270e-03	1.42818486e-03	1.24798536e-03	1.67755241e-02
0.0108108       	4.57805980e-03	4.48407324e-03	1.91036104e-03	3.93554921e-03	1.43144363e-03	1.24358743e-03	1.59346524e-02
0.0110811       	4.11743528e-03	4.35904696e-03	1.86748210e-03	3.81928282e-03	1.43323043e-03	1.23508396e-03	1.55049620e-02
0.0113514       	3.75123470e-03	4.24726177e-03	1.82923376e-03	3.71269053e-03	1.43647524e-03	1.22565973e-03	1.51064113e-02
0.0116216       	3.54680445e-03	4.14596860e-03	1.79538769e-03	3.61403864e-03	1.44142561e-03	1.21718071e-03	1.47238859e-02
0.0118919       	3.42864658e-03	4.05210987e-03	1.76468486e-03	3.52084314e-03	1.44714913e-03	1.21173258e-03	1.43627597e-02
0.0121622       	3.33001187e-03	3.96276741e-03	1.73616084e-03	3.43333465e-03	1.45609360e-03	1.21004463e-03	1.40117527e-02
0.0124324       	3.29718023e-03	3.87933060e-03	1.70833121e-03	3.35113885e-03	1.46527363e-03	1.21354802e-03	1.36931380e-02
0.0127027       	3.21715189e-03	3.80162201e-03	1.68141949e-03	3.27326284e-03	1.47579463e-03	1.21694554e-03	1.33996368e-02
0.012973        	3.09539696e-03	3.72735262e-03	1.65477629e-03	3.19956289e-03	1.48575821e-03	1.22113763e-03	1.31179261e-02
0.0132432       	2.97967382e-03	3.65595847e-03	1.62916350e-03	3.12962180e-03	1.49611351e-03	1.22642566e-03	1.28385174e-02
0.0135135       	2.89131757e-03	3.58625134e-03	1.60450467e-03	3.05949764e-03	1.50944945e-03	1.23184543e-03	1.25754223e-02
0.0137838       	2.85254898e-03	3.51951550e-03	1.58085681e-03	2.99286093e-03	1.52324437e-03	1.24238373e-03	1.23306991e-02
0.0140541       	2.80089951e-03	3.45535988e-03	1.55797727e-03	2.92812551e-03	1.53729373e-03	1.25255234e-03	1.20935116e-02
0.0143243       	2.77254972e-03	3.39573735e-03	1.53592680e-03	2.86758762e-03	1.55115730e-03	1.26188335e-03	1.18669703e-02
0.0145946       	2.73529055e-03	3.33909979e-03	1.51437790e-03	2.81065123e-03	1.56522548e-03	1.27252699e-03	1.16526705e-02
