# y+ ()         
# Time          	patch           	min             	max             	average         
0               	outerWalls	6.96124138e-01	9.64778928e-01	8.51965356e-01
0               	splitterFront	2.66321142e-01	7.72808538e+00	2.62311107e+00
0               	splitterRight	1.00840258e+00	8.30500169e+00	3.79383767e+00
0               	splitterRear	3.50951232e-01	1.09951735e+01	2.70623511e+00
0               	splitterLeft	1.00840258e+00	8.30501940e+00	3.79383827e+00
0               	splitterBottom	3.73177711e-01	6.00473379e+00	4.12053430e+00
0               	splitterTop	3.73177711e-01	6.00471786e+00	4.12053036e+00
0.01            	outerWalls	1.76806953e-01	2.09542871e+00	3.60529883e-01
0.01            	splitterFront	3.85161916e-01	3.89134608e+01	1.03929278e+01
0.01            	splitterRight	2.66188794e+00	4.32379249e+01	1.58823080e+01
0.01            	splitterRear	1.65915853e-01	5.24855653e+01	8.20526610e+00
0.01            	splitterLeft	2.66124620e+00	4.32398568e+01	1.58896226e+01
0.01            	splitterBottom	2.52364173e-01	3.24585652e+01	1.60837718e+01
0.01            	splitterTop	2.51092421e-01	3.24572908e+01	1.60846279e+01
0.02            	outerWalls	2.46906319e-01	2.28839686e+00	7.55346733e-01
0.02            	splitterFront	3.80498718e-01	3.83324615e+01	1.02417640e+01
0.02            	splitterRight	2.65662137e+00	4.25678637e+01	1.56916158e+01
0.02            	splitterRear	9.47685670e-02	5.25921050e+01	6.91780114e+00
0.02            	splitterLeft	2.65772359e+00	4.25695244e+01	1.56540983e+01
0.02            	splitterBottom	2.55279525e-01	3.12473927e+01	1.53478910e+01
0.02            	splitterTop	2.54960187e-01	3.12497799e+01	1.53513014e+01
0.03            	outerWalls	2.46903402e-01	2.29586657e+00	1.09285515e+00
0.03            	splitterFront	3.74333009e-01	3.81957885e+01	1.01916253e+01
0.03            	splitterRight	2.62226567e+00	4.21199348e+01	1.54293399e+01
0.03            	splitterRear	6.93484986e-02	5.21319566e+01	6.51534033e+00
0.03            	splitterLeft	2.62206814e+00	4.21196995e+01	1.54047299e+01
0.03            	splitterBottom	2.53400962e-01	3.09263859e+01	1.50902154e+01
0.03            	splitterTop	2.53583236e-01	3.09234221e+01	1.50897170e+01
0.04            	outerWalls	2.47045743e-01	2.30031994e+00	1.21601894e+00
0.04            	splitterFront	3.76644427e-01	3.84091122e+01	1.02378000e+01
0.04            	splitterRight	2.63887924e+00	4.22885038e+01	1.54350695e+01
0.04            	splitterRear	5.98990523e-02	5.20144342e+01	6.34535141e+00
0.04            	splitterLeft	2.64112112e+00	4.22994238e+01	1.54233161e+01
0.04            	splitterBottom	2.54313601e-01	3.09992539e+01	1.50806512e+01
0.04            	splitterTop	2.56120941e-01	3.09970435e+01	1.50745422e+01
0.05            	outerWalls	2.47040093e-01	2.30164882e+00	1.23388222e+00
0.05            	splitterFront	3.79152978e-01	3.84357004e+01	1.02590880e+01
0.05            	splitterRight	2.65624894e+00	4.24282455e+01	1.54932675e+01
0.05            	splitterRear	5.73605256e-02	5.24854275e+01	6.26460385e+00
0.05            	splitterLeft	2.65649299e+00	4.24290987e+01	1.54901645e+01
0.05            	splitterBottom	2.56080391e-01	3.10055816e+01	1.50754687e+01
0.05            	splitterTop	2.56305079e-01	3.10061931e+01	1.50763923e+01
