# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
3               	((0.00000000e+00 0.00000000e+00 0.00000000e+00) (6.46957966e-09 1.35154276e-02 1.10829034e-11) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((0.00000000e+00 0.00000000e+00 0.00000000e+00) (-3.54440262e-10 3.11558626e-10 -2.01361791e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4               	((1.56598686e-04 7.72001056e+00 -1.90174748e-05) (6.85652438e-07 1.42647991e-02 -5.59710094e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.77723403e-07 1.94126102e-07 -7.38658212e-06) (-2.63477132e-09 -1.53254689e-09 -5.66695989e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5               	((-3.28494691e-03 9.50343260e+00 -3.39823135e-04) (1.87330004e-06 -3.59186575e-02 -6.45931285e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.44831713e-05 -3.31933290e-05 6.53218066e-05) (-2.02518749e-07 5.16280563e-08 -2.42479016e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6               	((-1.18720049e-02 6.22970987e+00 4.01627844e-03) (4.81463605e-05 -4.17421968e-02 -4.98340084e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14152208e-04 -1.37622077e-04 5.17926146e-04) (-3.51395909e-08 4.39114140e-07 -1.88725926e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7               	((-2.59620192e-02 1.34517693e+00 5.20237289e-04) (-1.06604043e-04 -4.60166927e-02 -2.92504965e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.09697492e-04 -9.68232217e-05 6.01820160e-04) (2.89626763e-08 1.28278797e-06 2.73835563e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8               	((-3.02800270e-02 -1.87522953e+00 7.81100900e-05) (5.31264559e-05 -3.53656221e-02 -3.52763718e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.02699147e-05 -1.05837167e-04 7.84141529e-04) (-2.21536436e-07 5.33185954e-07 -9.59290735e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9               	((-1.92528179e-02 -2.97253883e+00 -5.90966360e-04) (1.70314222e-04 -1.75261215e-03 -1.75858607e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.70002244e-05 -7.83949799e-05 5.26315953e-04) (-8.84391541e-07 1.02854392e-06 -3.73241932e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10              	((-7.15606639e-03 -2.65504555e+00 -8.96494041e-05) (2.11351207e-04 2.45569464e-02 -1.41727565e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.94870621e-06 -2.73004515e-05 2.67306372e-04) (-1.23928759e-06 1.27253045e-06 -5.60008391e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
11              	((1.37886815e-03 -1.50960288e+00 7.89252892e-05) (1.60504023e-04 3.70844302e-02 -2.17788181e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.61147166e-05 1.77851973e-06 4.49170129e-05) (-1.82023863e-06 8.71355337e-07 -5.58630872e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12              	((7.64087156e-03 -2.42230211e-01 -6.87459968e-04) (5.94493412e-05 3.67485980e-02 -2.57563570e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.91894839e-05 1.26623031e-05 -1.51918549e-04) (-1.50224143e-06 4.39110788e-07 -4.59373847e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13              	((9.78461911e-03 7.36031661e-01 -1.35607480e-03) (-1.67995466e-05 2.86233081e-02 -2.72990319e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.55320368e-05 2.04064934e-05 -2.42425736e-04) (-1.09791717e-06 1.57954755e-07 -3.25479795e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
14              	((7.92712545e-03 1.26726221e+00 -1.53005130e-03) (-4.36301456e-05 1.78690182e-02 -3.13086412e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.84634096e-05 3.16255189e-05 -2.15384624e-04) (-6.42992497e-07 -4.56063871e-08 -2.16306075e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
15              	((4.54735075e-03 1.33716944e+00 -1.39759377e-03) (-6.35206181e-05 8.59536075e-03 -2.69029483e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.24185339e-06 3.66473320e-05 -1.41423260e-04) (-3.84655657e-07 -1.78488043e-07 -8.70199131e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
