# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
3               	((0.00000000e+00 0.00000000e+00 0.00000000e+00) (6.46957966e-09 1.35154276e-02 1.10829034e-11) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((0.00000000e+00 0.00000000e+00 0.00000000e+00) (-3.54440262e-10 3.11558626e-10 -2.01361791e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4               	((1.50757398e-04 7.72009203e+00 -4.97291808e-06) (6.84592811e-07 1.42648011e-02 -5.21063747e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.01108233e-07 1.68352434e-08 -7.47375842e-06) (-2.55277458e-09 -1.56448515e-09 -5.66687978e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
5               	((-3.48692950e-03 9.50354209e+00 -3.17489931e-04) (1.64288037e-06 -3.59187966e-02 -6.39890595e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.43885924e-05 -3.53982213e-05 6.97077995e-05) (-2.01162024e-07 4.52978886e-08 -2.42850208e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6               	((-1.20229717e-02 6.22998879e+00 4.00478330e-03) (4.86169185e-05 -4.17410731e-02 -4.96332637e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.13313251e-04 -1.35716220e-04 5.22930696e-04) (-3.17848757e-08 4.30373887e-07 -1.90492648e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
7               	((-2.58427153e-02 1.34520293e+00 5.17710389e-04) (-1.07225437e-04 -4.60152140e-02 -2.91904484e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.09818296e-04 -9.32826842e-05 5.98308993e-04) (3.86125228e-08 1.28378892e-06 2.76237759e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8               	((-3.00508348e-02 -1.87543935e+00 9.28280815e-05) (5.26721720e-05 -3.53652083e-02 -3.54017961e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.07694856e-05 -1.01442816e-04 7.80288807e-04) (-2.20900191e-07 5.39699120e-07 -9.35500364e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
9               	((-1.90933625e-02 -2.97293461e+00 -5.65569018e-04) (1.70847890e-04 -1.75460186e-03 -1.77805410e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.74276940e-05 -7.57523222e-05 5.25076636e-04) (-8.92143984e-07 1.03220666e-06 -3.72832737e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
10              	((-7.05559968e-03 -2.65551023e+00 -7.62803214e-05) (2.12402890e-04 2.45541653e-02 -1.43741018e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.00858111e-05 -2.65938635e-05 2.66699033e-04) (-1.24862157e-06 1.27430541e-06 -5.60758975e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
11              	((1.37964769e-03 -1.51001710e+00 8.69475223e-05) (1.61374036e-04 3.70823813e-02 -2.19270157e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.58783027e-05 7.13763385e-07 4.59060754e-05) (-1.82343837e-06 8.70368592e-07 -5.59582361e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12              	((7.50088316e-03 -2.42072790e-01 -6.91870419e-04) (5.96033654e-05 3.67475283e-02 -2.56471324e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.93191692e-05 9.30591174e-06 -1.52050508e-04) (-1.50271986e-06 4.35590007e-07 -4.60437461e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13              	((9.58798922e-03 7.36431648e-01 -1.36905031e-03) (-1.76997520e-05 2.86236260e-02 -2.70474805e-05) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.60549898e-05 1.58020292e-05 -2.46441110e-04) (-1.09708681e-06 1.46309044e-07 -3.26088897e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
