# Region type : patch inlet
# Faces  :      448
# Area   :      4.49424878e-02
# Time          	average(p)
3               	0.00000000e+00
4               	1.48637706e+01
5               	2.20660740e+01
6               	2.41306640e+01
7               	2.20780403e+01
8               	1.61899236e+01
9               	9.10360362e+00
10              	3.50601301e+00
11              	6.54834331e-01
12              	-6.88385683e-01
13              	-5.57434006e-01
14              	1.06788917e+00
15              	3.50053913e+00
