# Region type : patch inlet
# Faces  :      448
# Area   :      4.49424878e-02
# Time          	average(p)
3               	0.00000000e+00
4               	1.48225206e+01
5               	2.18238827e+01
6               	2.39636245e+01
7               	2.21051293e+01
8               	1.64237711e+01
9               	9.44371734e+00
10              	3.81496122e+00
11              	8.92779970e-01
12              	-6.18788527e-01
13              	-6.61865976e-01
14              	7.69423585e-01
15              	3.13675220e+00
16              	5.66742101e+00
17              	7.36651954e+00
18              	8.61768078e+00
19              	9.22042259e+00
20              	9.34556499e+00
21              	9.30296203e+00
22              	9.26695123e+00
23              	9.29880456e+00
24              	9.49370023e+00
25              	9.89623734e+00
26              	1.04814115e+01
27              	1.11774475e+01
28              	1.18219394e+01
29              	1.23268264e+01
30              	1.27205774e+01
31              	1.29628548e+01
32              	1.30531694e+01
33              	1.30292429e+01
34              	1.29376059e+01
35              	1.28292143e+01
36              	1.27248699e+01
37              	1.26449266e+01
38              	1.25944717e+01
39              	1.25839552e+01
40              	1.26021183e+01
41              	1.26400821e+01
42              	1.26916176e+01
43              	1.27507040e+01
44              	1.28123880e+01
45              	1.28728686e+01
46              	1.29222428e+01
47              	1.29663195e+01
48              	1.30049166e+01
49              	1.30378819e+01
50              	1.30638831e+01
51              	1.30847289e+01
52              	1.31027139e+01
53              	1.31054523e+01
54              	1.30982395e+01
55              	1.30929267e+01
56              	1.30865905e+01
57              	1.30898749e+01
58              	1.30982032e+01
59              	1.31076119e+01
60              	1.31098150e+01
61              	1.31022356e+01
62              	1.30953442e+01
63              	1.31011221e+01
64              	1.31217362e+01
65              	1.31492489e+01
66              	1.31779072e+01
67              	1.31995392e+01
68              	1.32123925e+01
69              	1.32169618e+01
70              	1.32188953e+01
71              	1.32238529e+01
72              	1.32331308e+01
73              	1.32446925e+01
74              	1.32560694e+01
75              	1.32663162e+01
76              	1.32735713e+01
77              	1.32748785e+01
78              	1.32690230e+01
79              	1.32535767e+01
80              	1.32248523e+01
81              	1.31849010e+01
82              	1.31420090e+01
83              	1.31105589e+01
84              	1.30976145e+01
85              	1.31030299e+01
86              	1.31233545e+01
87              	1.31549424e+01
88              	1.31932166e+01
89              	1.32335604e+01
90              	1.32715693e+01
91              	1.33033932e+01
92              	1.33241733e+01
93              	1.33336283e+01
94              	1.33316024e+01
95              	1.33212198e+01
96              	1.33023751e+01
97              	1.32782083e+01
98              	1.32464498e+01
99              	1.32094804e+01
100             	1.31672537e+01
101             	1.31229203e+01
102             	1.30862109e+01
103             	1.30703826e+01
104             	1.30814141e+01
105             	1.31142044e+01
106             	1.31586392e+01
107             	1.32046141e+01
108             	1.32458787e+01
109             	1.32781402e+01
110             	1.33001010e+01
111             	1.33105921e+01
112             	1.33079552e+01
113             	1.32919590e+01
114             	1.32669982e+01
115             	1.32383379e+01
116             	1.32099958e+01
117             	1.31873761e+01
118             	1.31712783e+01
119             	1.31610178e+01
120             	1.31502238e+01
121             	1.31343430e+01
122             	1.31152452e+01
123             	1.31032353e+01
124             	1.31049115e+01
125             	1.31189641e+01
126             	1.31400764e+01
127             	1.31591822e+01
128             	1.31730295e+01
129             	1.31802539e+01
130             	1.31842198e+01
131             	1.31849767e+01
132             	1.31835008e+01
133             	1.31807395e+01
134             	1.31803952e+01
135             	1.31803994e+01
136             	1.31809522e+01
137             	1.31792653e+01
138             	1.31740358e+01
139             	1.31618926e+01
140             	1.31388898e+01
141             	1.31038630e+01
142             	1.30600783e+01
143             	1.30200948e+01
144             	1.29952318e+01
145             	1.29898525e+01
146             	1.30004879e+01
147             	1.30204192e+01
148             	1.30447609e+01
149             	1.30713745e+01
150             	1.30988251e+01
151             	1.31238593e+01
152             	1.31431111e+01
153             	1.31535519e+01
154             	1.31548927e+01
155             	1.31463974e+01
156             	1.31297650e+01
157             	1.31066986e+01
158             	1.30764145e+01
159             	1.30409998e+01
160             	1.30026005e+01
161             	1.29614343e+01
162             	1.29217034e+01
163             	1.28901397e+01
164             	1.28758044e+01
165             	1.28822070e+01
166             	1.29062162e+01
167             	1.29401713e+01
168             	1.29762812e+01
169             	1.30079609e+01
170             	1.30325825e+01
171             	1.30469373e+01
172             	1.30492376e+01
173             	1.30390561e+01
174             	1.30230027e+01
175             	1.30013679e+01
176             	1.29809638e+01
177             	1.29601532e+01
178             	1.29399568e+01
179             	1.29190607e+01
180             	1.28962556e+01
181             	1.28707634e+01
182             	1.28448334e+01
183             	1.28236697e+01
184             	1.28131585e+01
185             	1.28161695e+01
186             	1.28294257e+01
187             	1.28477499e+01
188             	1.28656829e+01
189             	1.28817741e+01
190             	1.28965367e+01
191             	1.29080232e+01
192             	1.29151472e+01
193             	1.29151937e+01
194             	1.29092745e+01
195             	1.28997564e+01
196             	1.28869250e+01
197             	1.28750765e+01
198             	1.28624560e+01
199             	1.28484443e+01
200             	1.28284611e+01
201             	1.28004068e+01
202             	1.27666583e+01
203             	1.27332938e+01
204             	1.27091019e+01
205             	1.27019296e+01
206             	1.27104867e+01
207             	1.27310051e+01
208             	1.27555716e+01
209             	1.27798323e+01
210             	1.28006851e+01
211             	1.28164785e+01
212             	1.28267674e+01
213             	1.28321257e+01
214             	1.28304482e+01
215             	1.28237833e+01
216             	1.28120443e+01
217             	1.27949128e+01
218             	1.27741424e+01
219             	1.27501968e+01
220             	1.27234871e+01
221             	1.26937808e+01
222             	1.26640531e+01
223             	1.26395932e+01
224             	1.26237756e+01
225             	1.26201296e+01
226             	1.26284077e+01
227             	1.26468923e+01
228             	1.26703334e+01
229             	1.26965190e+01
230             	1.27185619e+01
231             	1.27347382e+01
232             	1.27433740e+01
233             	1.27447490e+01
234             	1.27408912e+01
235             	1.27355513e+01
236             	1.27275029e+01
237             	1.27168694e+01
238             	1.27009313e+01
239             	1.26812008e+01
240             	1.26545580e+01
241             	1.26225285e+01
242             	1.25891148e+01
243             	1.25603593e+01
244             	1.25424238e+01
245             	1.25369378e+01
246             	1.25443274e+01
247             	1.25617842e+01
248             	1.25855087e+01
249             	1.26121951e+01
250             	1.26372194e+01
251             	1.26592087e+01
252             	1.26745639e+01
253             	1.26815107e+01
254             	1.26795234e+01
255             	1.26699704e+01
256             	1.26548670e+01
257             	1.26369111e+01
258             	1.26145660e+01
259             	1.25912701e+01
260             	1.25643268e+01
261             	1.25345530e+01
262             	1.25045597e+01
263             	1.24802188e+01
264             	1.24674227e+01
265             	1.24676352e+01
266             	1.24803810e+01
267             	1.25032496e+01
268             	1.25299151e+01
269             	1.25554988e+01
270             	1.25760443e+01
271             	1.25903140e+01
272             	1.25960731e+01
273             	1.25947205e+01
274             	1.25859284e+01
275             	1.25730190e+01
276             	1.25580624e+01
277             	1.25434483e+01
278             	1.25291956e+01
279             	1.25152303e+01
280             	1.24979961e+01
281             	1.24774191e+01
282             	1.24565369e+01
283             	1.24402396e+01
284             	1.24304309e+01
285             	1.24269194e+01
286             	1.24292820e+01
287             	1.24396325e+01
288             	1.24524446e+01
289             	1.24655237e+01
290             	1.24781359e+01
291             	1.24895173e+01
292             	1.24994712e+01
293             	1.25057650e+01
294             	1.25108912e+01
295             	1.25128324e+01
296             	1.25124165e+01
297             	1.25084457e+01
298             	1.24993960e+01
299             	1.24852926e+01
300             	1.24602730e+01
301             	1.24266233e+01
302             	1.23906566e+01
303             	1.23598473e+01
304             	1.23373241e+01
305             	1.23255924e+01
306             	1.23261154e+01
307             	1.23390042e+01
308             	1.23614150e+01
309             	1.23894404e+01
310             	1.24195764e+01
311             	1.24477885e+01
312             	1.24703050e+01
313             	1.24843010e+01
314             	1.24889160e+01
315             	1.24894174e+01
316             	1.24753041e+01
317             	1.24551054e+01
318             	1.24298704e+01
319             	1.24008224e+01
320             	1.23668479e+01
321             	1.23295759e+01
322             	1.22952049e+01
323             	1.22712429e+01
324             	1.22618297e+01
325             	1.22670586e+01
326             	1.22841780e+01
327             	1.23066603e+01
328             	1.23368107e+01
329             	1.23663957e+01
330             	1.23909462e+01
331             	1.24068841e+01
332             	1.24141227e+01
333             	1.24111495e+01
334             	1.24001452e+01
335             	1.23913940e+01
336             	1.23712378e+01
337             	1.23515461e+01
338             	1.23336575e+01
339             	1.23180694e+01
340             	1.23022480e+01
341             	1.22843314e+01
342             	1.22667823e+01
343             	1.22545743e+01
344             	1.22501150e+01
345             	1.22534496e+01
346             	1.22607123e+01
347             	1.22717398e+01
348             	1.22826007e+01
349             	1.22951695e+01
350             	1.23036819e+01
351             	1.23098696e+01
352             	1.23133784e+01
353             	1.23145984e+01
354             	1.23149533e+01
355             	1.23159445e+01
356             	1.23169504e+01
357             	1.23182805e+01
358             	1.23159078e+01
359             	1.23094603e+01
360             	1.22941462e+01
361             	1.22692236e+01
362             	1.22372279e+01
363             	1.22059731e+01
364             	1.21814417e+01
365             	1.21674172e+01
366             	1.21639314e+01
367             	1.21700316e+01
368             	1.21840449e+01
369             	1.22050349e+01
370             	1.22307421e+01
371             	1.22581088e+01
372             	1.22829435e+01
373             	1.23022676e+01
374             	1.23138255e+01
375             	1.23198450e+01
376             	1.23137956e+01
377             	1.22991561e+01
378             	1.22763488e+01
379             	1.22528853e+01
380             	1.22184044e+01
381             	1.21813371e+01
382             	1.21458105e+01
383             	1.21168832e+01
384             	1.21008487e+01
385             	1.21001262e+01
386             	1.21143624e+01
387             	1.21387278e+01
388             	1.21692762e+01
389             	1.22024266e+01
390             	1.22324499e+01
391             	1.22561697e+01
392             	1.22695106e+01
393             	1.22713401e+01
394             	1.22614099e+01
395             	1.22461471e+01
396             	1.22288814e+01
397             	1.22124767e+01
398             	1.21953716e+01
399             	1.21782572e+01
400             	1.21600812e+01
401             	1.21432418e+01
402             	1.21256108e+01
403             	1.21130994e+01
404             	1.21097868e+01
405             	1.21149307e+01
406             	1.21261147e+01
407             	1.21395482e+01
408             	1.21534940e+01
409             	1.21689108e+01
410             	1.21833252e+01
411             	1.21913276e+01
412             	1.21981112e+01
413             	1.22020405e+01
414             	1.22027969e+01
415             	1.22023159e+01
416             	1.22006301e+01
417             	1.21999199e+01
418             	1.21985590e+01
419             	1.21969215e+01
420             	1.21885412e+01
421             	1.21719492e+01
422             	1.21479610e+01
423             	1.21221763e+01
424             	1.21004654e+01
425             	1.20869983e+01
426             	1.20878233e+01
427             	1.20953916e+01
428             	1.21113676e+01
429             	1.21329460e+01
430             	1.21574480e+01
431             	1.21827682e+01
432             	1.22069310e+01
433             	1.22278049e+01
434             	1.22432636e+01
435             	1.22531915e+01
436             	1.22565926e+01
437             	1.22525242e+01
438             	1.22397298e+01
439             	1.22213347e+01
440             	1.21966002e+01
441             	1.21680787e+01
442             	1.21374389e+01
443             	1.21136829e+01
444             	1.21014108e+01
445             	1.21017993e+01
446             	1.21130914e+01
447             	1.21320809e+01
448             	1.21589202e+01
449             	1.21910440e+01
450             	1.22251470e+01
451             	1.22608335e+01
452             	1.22874169e+01
453             	1.23018539e+01
454             	1.23054291e+01
455             	1.23022248e+01
456             	1.22976922e+01
457             	1.22877203e+01
458             	1.22762117e+01
459             	1.22643083e+01
460             	1.22495572e+01
461             	1.22320576e+01
462             	1.22140455e+01
463             	1.22027183e+01
464             	1.21983947e+01
465             	1.22064783e+01
466             	1.22235665e+01
467             	1.22516063e+01
468             	1.22796399e+01
469             	1.23062326e+01
470             	1.23283888e+01
471             	1.23497885e+01
472             	1.23720471e+01
473             	1.23897013e+01
474             	1.24000724e+01
475             	1.24153737e+01
476             	1.24193616e+01
477             	1.24184054e+01
478             	1.24157708e+01
479             	1.24081551e+01
480             	1.23974302e+01
481             	1.23833316e+01
482             	1.23723731e+01
483             	1.23623380e+01
484             	1.23577039e+01
485             	1.23621809e+01
486             	1.23711636e+01
487             	1.23887624e+01
488             	1.24136441e+01
489             	1.24441427e+01
490             	1.24773768e+01
491             	1.25207687e+01
492             	1.25564235e+01
493             	1.25818118e+01
494             	1.25995029e+01
495             	1.26055405e+01
496             	1.26082494e+01
497             	1.26067593e+01
498             	1.26077236e+01
499             	1.26036575e+01
500             	1.25941389e+01
501             	1.25755806e+01
502             	1.25573324e+01
503             	1.25520802e+01
504             	1.25484400e+01
505             	1.25578161e+01
506             	1.25784884e+01
507             	1.26181836e+01
508             	1.26478519e+01
509             	1.26887580e+01
510             	1.27176582e+01
511             	1.27450166e+01
512             	1.27692656e+01
513             	1.27999726e+01
514             	1.28200658e+01
515             	1.28318415e+01
516             	1.28380533e+01
517             	1.28411946e+01
518             	1.28358903e+01
519             	1.28290993e+01
520             	1.28209329e+01
521             	1.28115500e+01
522             	1.28140791e+01
523             	1.28154519e+01
524             	1.28195306e+01
525             	1.28301974e+01
526             	1.28407234e+01
527             	1.28584885e+01
528             	1.28817274e+01
529             	1.29093690e+01
530             	1.29510772e+01
531             	1.29909731e+01
532             	1.30269519e+01
533             	1.30558641e+01
534             	1.30777995e+01
535             	1.30871290e+01
536             	1.30948969e+01
537             	1.31109289e+01
538             	1.31200545e+01
539             	1.31212843e+01
540             	1.31132387e+01
541             	1.30932931e+01
542             	1.30714791e+01
543             	1.30542930e+01
544             	1.30559312e+01
545             	1.30678237e+01
546             	1.30888220e+01
547             	1.31079900e+01
548             	1.31319795e+01
549             	1.31612420e+01
550             	1.31945854e+01
551             	1.32307103e+01
552             	1.32806852e+01
553             	1.33072660e+01
554             	1.33354515e+01
555             	1.33483552e+01
556             	1.33496496e+01
557             	1.33424307e+01
558             	1.33316739e+01
559             	1.33176013e+01
560             	1.32995968e+01
561             	1.32827587e+01
562             	1.32676672e+01
563             	1.32583495e+01
564             	1.32532017e+01
565             	1.32608429e+01
566             	1.32800470e+01
567             	1.33075404e+01
568             	1.33398455e+01
569             	1.33734503e+01
570             	1.34137307e+01
571             	1.34429310e+01
572             	1.34622072e+01
573             	1.34723077e+01
574             	1.34769570e+01
575             	1.34775154e+01
576             	1.34770086e+01
577             	1.34743932e+01
578             	1.34703338e+01
579             	1.34613648e+01
580             	1.34501958e+01
581             	1.34361189e+01
582             	1.34225206e+01
583             	1.34139409e+01
584             	1.34131106e+01
585             	1.34273433e+01
586             	1.34434649e+01
587             	1.34560218e+01
588             	1.34696250e+01
589             	1.34848951e+01
590             	1.35025225e+01
591             	1.35216214e+01
592             	1.35424323e+01
593             	1.35606905e+01
594             	1.35748100e+01
595             	1.35835664e+01
596             	1.35895228e+01
597             	1.35952594e+01
598             	1.35971054e+01
599             	1.35946316e+01
600             	1.35832201e+01
601             	1.35645398e+01
602             	1.35377453e+01
603             	1.35127711e+01
604             	1.34954998e+01
605             	1.34897658e+01
606             	1.34949536e+01
607             	1.35082253e+01
608             	1.35251546e+01
609             	1.35459127e+01
610             	1.35702188e+01
611             	1.35975864e+01
612             	1.36255657e+01
613             	1.36504022e+01
614             	1.36705095e+01
615             	1.36818407e+01
616             	1.36842003e+01
617             	1.36777083e+01
618             	1.36643667e+01
619             	1.36450990e+01
620             	1.36206899e+01
621             	1.35927789e+01
622             	1.35646083e+01
623             	1.35410372e+01
624             	1.35269340e+01
625             	1.35260264e+01
626             	1.35379234e+01
627             	1.35597992e+01
628             	1.35863064e+01
629             	1.36155135e+01
630             	1.36437699e+01
631             	1.36680933e+01
632             	1.36857154e+01
633             	1.36951371e+01
634             	1.36982405e+01
635             	1.36959736e+01
636             	1.36885271e+01
637             	1.36805837e+01
638             	1.36668176e+01
639             	1.36505060e+01
640             	1.36323177e+01
641             	1.36130123e+01
642             	1.35948092e+01
643             	1.35829819e+01
644             	1.35804547e+01
645             	1.35873167e+01
646             	1.36004590e+01
647             	1.36156085e+01
648             	1.36288359e+01
649             	1.36396092e+01
650             	1.36509472e+01
651             	1.36635172e+01
652             	1.36748000e+01
653             	1.36833734e+01
654             	1.36885995e+01
655             	1.36920518e+01
656             	1.36938737e+01
657             	1.36951881e+01
658             	1.36944132e+01
659             	1.36919874e+01
660             	1.36837100e+01
661             	1.36690765e+01
662             	1.36473298e+01
663             	1.36243488e+01
664             	1.36049420e+01
665             	1.35948030e+01
666             	1.35943776e+01
667             	1.36015189e+01
668             	1.36118287e+01
669             	1.36244703e+01
670             	1.36403332e+01
671             	1.36601015e+01
672             	1.36817951e+01
673             	1.37036508e+01
674             	1.37221812e+01
675             	1.37358542e+01
676             	1.37416948e+01
677             	1.37404875e+01
678             	1.37308689e+01
679             	1.37150190e+01
680             	1.36924741e+01
681             	1.36648920e+01
682             	1.36352165e+01
683             	1.36079518e+01
684             	1.35895821e+01
685             	1.35828752e+01
686             	1.35896305e+01
687             	1.36062733e+01
688             	1.36293583e+01
689             	1.36558982e+01
690             	1.36841544e+01
691             	1.37105321e+01
692             	1.37323232e+01
693             	1.37467701e+01
694             	1.37530187e+01
695             	1.37530266e+01
696             	1.37443094e+01
697             	1.37310326e+01
698             	1.37120709e+01
699             	1.36996609e+01
700             	1.36804261e+01
