# Region type : patch outlet
# Faces  :      448
# Area   :      4.49424678e-02
# Time          	average(p)
3               	0.00000000e+00
4               	0.00000000e+00
5               	0.00000000e+00
6               	0.00000000e+00
7               	0.00000000e+00
8               	0.00000000e+00
9               	0.00000000e+00
10              	0.00000000e+00
11              	0.00000000e+00
12              	0.00000000e+00
13              	0.00000000e+00
14              	0.00000000e+00
15              	0.00000000e+00
