# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         
3               	N/A	N/A	N/A	N/A
4               	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.58464861e-01
5               	5.92518378e-01	3.55111184e-01	2.76448913e-01	3.19541142e-01	6.49964923e-01	2.24558825e-01
6               	7.03240351e-01	2.14288279e-01	1.34028024e-01	2.19936762e-01	2.84413004e-01	2.53573794e-01
7               	4.96380407e-01	1.31002074e-01	8.21963565e-02	1.51589185e-01	1.14198664e-01	1.35364773e-01
8               	5.44106373e-01	1.16796947e-01	6.77391385e-02	9.45019249e-02	6.55738179e-02	6.85054808e-02
9               	4.04313722e-01	9.02405819e-02	4.84899395e-02	4.62518310e-02	4.66034418e-02	2.01611436e-02
10              	3.99268296e-01	6.10210402e-02	3.07121741e-02	1.91165376e-02	4.46941113e-02	1.44176210e-02
11              	4.10088667e-01	6.53987343e-02	3.58791601e-02	3.82169565e-02	3.36164429e-02	1.70494189e-02
12              	3.74254202e-01	6.86905485e-02	3.84980504e-02	5.01092401e-02	2.49106753e-02	1.47775742e-02
13              	3.49996170e-01	6.52126820e-02	3.42707845e-02	4.60894291e-02	2.13902855e-02	8.68618914e-03
14              	3.43198173e-01	5.04865212e-02	2.34310277e-02	2.90495817e-02	2.03867704e-02	8.47285641e-03
15              	2.80462469e-01	3.79973925e-02	1.64814784e-02	1.75170283e-02	2.06246620e-02	1.09092228e-02
