# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         
3               	N/A	N/A	N/A	N/A
4               	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.58455298e-01
5               	5.92460975e-01	3.55110878e-01	2.76450471e-01	3.19541267e-01	6.49948488e-01	2.24418699e-01
6               	7.02560965e-01	2.14283697e-01	1.34006437e-01	2.19930373e-01	2.84412537e-01	2.53614217e-01
7               	4.96177947e-01	1.31007059e-01	8.21889617e-02	1.51593964e-01	1.14194795e-01	1.35366124e-01
8               	5.44134682e-01	1.16795607e-01	6.77556218e-02	9.45019366e-02	6.55642286e-02	6.85110094e-02
9               	4.04626784e-01	9.02248152e-02	4.85357751e-02	4.62422783e-02	4.65993958e-02	2.01614458e-02
10              	3.99764224e-01	6.09600961e-02	3.07334893e-02	1.90762494e-02	4.45163055e-02	1.43866022e-02
11              	4.09702041e-01	6.54248982e-02	3.59257358e-02	3.82406318e-02	3.36109197e-02	1.70500483e-02
12              	3.73997557e-01	6.87242274e-02	3.85171656e-02	5.01425606e-02	2.49198762e-02	1.47756481e-02
13              	3.49981226e-01	6.52147757e-02	3.42550385e-02	4.60898575e-02	2.13923138e-02	8.68813109e-03
14              	3.43374941e-01	5.04739699e-02	2.34357937e-02	2.90221151e-02	2.04005640e-02	8.47521243e-03
15              	2.80851829e-01	3.79952783e-02	1.65291397e-02	1.75209625e-02	2.06393651e-02	1.09102368e-02
16              	2.49172791e-01	3.65716718e-02	1.76657196e-02	2.41880275e-02	2.13047118e-02	1.34047103e-02
17              	2.43335474e-01	3.48014891e-02	1.76504895e-02	2.82045393e-02	2.19636071e-02	1.42102684e-02
18              	2.17860777e-01	3.05659466e-02	1.61731095e-02	2.58905710e-02	2.23036627e-02	1.43364140e-02
19              	2.05558556e-01	2.41320938e-02	1.37131877e-02	2.03852738e-02	2.29176000e-02	1.48212637e-02
20              	1.86678711e-01	1.90044327e-02	1.16580775e-02	1.57060329e-02	2.32647808e-02	1.51134595e-02
21              	1.68458268e-01	1.84194595e-02	1.12727227e-02	1.41088545e-02	2.29832487e-02	1.53311332e-02
22              	1.58100855e-01	1.80692607e-02	1.09510094e-02	1.32940865e-02	2.25012802e-02	1.53340400e-02
23              	1.45661017e-01	1.67911814e-02	1.04358521e-02	1.19494439e-02	2.19191276e-02	1.55918888e-02
24              	1.31298909e-01	1.46004987e-02	9.56781246e-03	1.00805456e-02	2.13745337e-02	1.53706632e-02
25              	1.23792837e-01	1.21655410e-02	8.69794707e-03	8.44346319e-03	2.11128796e-02	1.52556811e-02
26              	1.13459386e-01	1.15033165e-02	8.58079610e-03	8.49490822e-03	2.08003619e-02	1.47727257e-02
27              	1.06684051e-01	1.16726383e-02	8.82194014e-03	9.24740748e-03	2.00323519e-02	1.37956275e-02
28              	9.96091800e-02	1.15070498e-02	8.87687883e-03	9.65709448e-03	1.87354541e-02	1.23534893e-02
29              	9.03574665e-02	1.07466568e-02	8.58148889e-03	9.46564161e-03	1.71516089e-02	1.10596690e-02
30              	8.11119990e-02	9.63465808e-03	8.11125983e-03	8.90069409e-03	1.55357245e-02	1.00475715e-02
31              	7.32203760e-02	8.79082506e-03	7.76139573e-03	8.39009508e-03	1.40628799e-02	9.25869881e-03
32              	6.62990991e-02	8.44812740e-03	7.59259468e-03	8.01685949e-03	1.27684419e-02	8.79041345e-03
33              	6.01096569e-02	8.15690344e-03	7.36861643e-03	7.62460040e-03	1.16892615e-02	8.52672723e-03
34              	5.39675477e-02	7.80136100e-03	7.06438788e-03	7.20724282e-03	1.08835119e-02	8.30325872e-03
35              	5.15663585e-02	7.41598993e-03	6.71921999e-03	6.84037333e-03	1.02091414e-02	8.01587724e-03
36              	4.90926461e-02	7.09854113e-03	6.41379193e-03	6.67585763e-03	9.58989021e-03	7.61852493e-03
37              	4.64857287e-02	7.00844628e-03	6.18999098e-03	6.69798425e-03	8.99691519e-03	7.17119856e-03
38              	4.36533175e-02	7.08060311e-03	6.00474797e-03	6.76205474e-03	8.43181375e-03	6.69166992e-03
39              	4.14093435e-02	7.10238215e-03	5.84004723e-03	6.80764903e-03	7.88816807e-03	6.25113876e-03
40              	3.97708320e-02	7.02788147e-03	5.68620652e-03	6.79872274e-03	7.43563880e-03	5.78892406e-03
41              	3.73025027e-02	6.86654090e-03	5.54622382e-03	6.72782262e-03	7.04061115e-03	5.41834398e-03
42              	3.53581400e-02	6.62270302e-03	5.41785273e-03	6.60012732e-03	6.65054139e-03	5.05135428e-03
43              	3.37820274e-02	6.38033447e-03	5.30002559e-03	6.43994914e-03	6.29832170e-03	4.73152762e-03
44              	3.28536935e-02	6.24776260e-03	5.19503351e-03	6.32081249e-03	6.02973410e-03	4.53940522e-03
45              	3.27511352e-02	6.10551632e-03	5.09700423e-03	6.19284842e-03	5.69645139e-03	4.29214690e-03
46              	3.29826714e-02	5.98998630e-03	4.99797439e-03	6.07372386e-03	5.43480598e-03	3.98853011e-03
47              	3.21792002e-02	5.93294432e-03	4.90267527e-03	5.99193298e-03	5.19012971e-03	3.75871268e-03
48              	3.08853652e-02	5.90238458e-03	4.81140764e-03	5.92296785e-03	4.96836617e-03	3.51609534e-03
49              	2.98123665e-02	5.89093024e-03	4.73245337e-03	5.85934549e-03	4.79655110e-03	3.32957562e-03
50              	2.91562095e-02	5.82478315e-03	4.64566298e-03	5.78319498e-03	4.62925864e-03	3.14831329e-03
51              	2.72348813e-02	5.77482544e-03	4.57329955e-03	5.72223495e-03	4.48407605e-03	3.07330391e-03
52              	2.56368544e-02	5.72067104e-03	4.49197537e-03	5.65311306e-03	4.35861605e-03	2.99447995e-03
53              	2.43059618e-02	5.67302084e-03	4.42783950e-03	5.59544628e-03	4.25399612e-03	2.88307437e-03
54              	2.41878883e-02	5.60605630e-03	4.35286386e-03	5.52310834e-03	4.14438506e-03	2.77819218e-03
55              	2.35863977e-02	5.54195551e-03	4.29013561e-03	5.45328633e-03	4.06638074e-03	2.68981736e-03
56              	2.31546707e-02	5.45853107e-03	4.21745686e-03	5.36604435e-03	3.98520361e-03	2.65902114e-03
57              	2.32662624e-02	5.39923291e-03	4.15131402e-03	5.29318800e-03	3.87990147e-03	2.59637533e-03
58              	2.47951954e-02	5.33307295e-03	4.08150133e-03	5.21289935e-03	3.75558961e-03	2.48253019e-03
59              	2.55681196e-02	5.30067722e-03	4.01834224e-03	5.15421481e-03	3.66652323e-03	2.40924206e-03
60              	2.59236496e-02	5.28894606e-03	3.95213972e-03	5.10389041e-03	3.55682847e-03	2.27569323e-03
61              	2.52515733e-02	5.29026533e-03	3.89291884e-03	5.06519804e-03	3.49111923e-03	2.10695201e-03
62              	2.44906093e-02	5.22927835e-03	3.82911100e-03	4.98995978e-03	3.42764885e-03	2.02399389e-03
63              	2.25193484e-02	5.15709364e-03	3.76716455e-03	4.90967931e-03	3.38110403e-03	2.01612770e-03
64              	2.10438411e-02	5.14161089e-03	3.71384481e-03	4.85739321e-03	3.36616201e-03	2.08315466e-03
65              	2.26950114e-02	5.05741197e-03	3.65571901e-03	4.77709744e-03	3.30203326e-03	2.13761903e-03
66              	2.43394533e-02	4.98694642e-03	3.60324856e-03	4.69998407e-03	3.22291319e-03	2.15048600e-03
67              	2.54770914e-02	4.94945313e-03	3.54630816e-03	4.64699703e-03	3.15874466e-03	2.11954671e-03
68              	2.62649223e-02	4.92764278e-03	3.49662590e-03	4.60426262e-03	3.09359272e-03	2.01857675e-03
69              	2.65881175e-02	4.90522936e-03	3.44278216e-03	4.56078632e-03	3.03841395e-03	1.89306938e-03
70              	2.54438584e-02	4.87678412e-03	3.39424383e-03	4.50940345e-03	3.00238744e-03	1.78566310e-03
71              	2.31024560e-02	4.82389996e-03	3.34388423e-03	4.44790675e-03	2.96668889e-03	1.78269528e-03
72              	2.07552606e-02	4.76504097e-03	3.29414016e-03	4.37985595e-03	2.92408323e-03	1.81615252e-03
