# y+ ()         
# Time          	patch           	min             	max             	average         
3               	outerWalls	1.73607733e+00	2.67479053e+00	2.15447406e+00
3               	splitterFront	1.58936881e+00	1.67720979e+00	1.67394212e+00
3               	splitterRight	1.20132187e+00	1.67702261e+00	1.58783860e+00
3               	splitterRear	1.07627582e+00	2.58791858e+01	9.86749856e+00
3               	splitterLeft	1.20132143e+00	1.67702287e+00	1.58783803e+00
3               	splitterBottom	1.42379521e+01	3.44052083e+01	2.16609189e+01
3               	splitterTop	1.42379459e+01	3.44052199e+01	2.16609128e+01
103             	outerWalls	9.73710402e-01	5.61659695e+00	4.30261518e+00
103             	splitterFront	2.91770244e+00	7.92071121e+00	4.20874725e+00
103             	splitterRight	3.20371347e+00	7.04039129e+00	4.41500261e+00
103             	splitterRear	9.23126715e-01	9.83568497e+01	2.88030300e+01
103             	splitterLeft	3.20086416e+00	7.03609089e+00	4.41193284e+00
103             	splitterBottom	5.03593717e+01	2.20300068e+02	9.11394577e+01
103             	splitterTop	5.03414524e+01	2.20305211e+02	9.11473126e+01
203             	outerWalls	6.82554026e-01	5.61699317e+00	4.26741993e+00
203             	splitterFront	3.69983912e+00	8.31201268e+00	4.85014746e+00
203             	splitterRight	3.65243933e+00	7.32567324e+00	4.84003216e+00
203             	splitterRear	5.77477485e-01	9.77294359e+01	2.58627190e+01
203             	splitterLeft	3.65209224e+00	7.32568579e+00	4.84029638e+00
203             	splitterBottom	5.03525654e+01	2.24733765e+02	9.34739554e+01
203             	splitterTop	5.03540902e+01	2.24738310e+02	9.34786427e+01
303             	outerWalls	7.09269075e-01	5.62050456e+00	4.26630288e+00
303             	splitterFront	3.82695055e+00	8.42828478e+00	4.98539471e+00
303             	splitterRight	3.83886024e+00	7.67403724e+00	5.18955281e+00
303             	splitterRear	4.43463311e-01	9.73785423e+01	2.42617836e+01
303             	splitterLeft	3.83848073e+00	7.67406324e+00	5.18984412e+00
303             	splitterBottom	4.98073608e+01	2.21911836e+02	9.39773924e+01
303             	splitterTop	4.98104052e+01	2.21913037e+02	9.39779683e+01
403             	outerWalls	1.06825204e+00	5.62312604e+00	4.26889859e+00
403             	splitterFront	3.80364791e+00	8.52459394e+00	4.97983518e+00
403             	splitterRight	3.93646202e+00	7.82392485e+00	5.35300445e+00
403             	splitterRear	3.28265735e-01	9.58932079e+01	2.36388266e+01
403             	splitterLeft	3.93620062e+00	7.82379809e+00	5.35312296e+00
403             	splitterBottom	4.97001636e+01	2.19432817e+02	9.32640390e+01
403             	splitterTop	4.96997402e+01	2.19433690e+02	9.32640454e+01
503             	outerWalls	6.82023980e-01	5.61606347e+00	4.28197136e+00
503             	splitterFront	3.78423245e+00	8.52076140e+00	4.95808996e+00
503             	splitterRight	3.96393780e+00	7.84791071e+00	5.40348207e+00
503             	splitterRear	2.68367210e-01	9.41913099e+01	2.34135584e+01
503             	splitterLeft	3.96365104e+00	7.84776451e+00	5.40351034e+00
503             	splitterBottom	4.92937792e+01	2.17888726e+02	9.24671232e+01
503             	splitterTop	4.92934699e+01	2.17889058e+02	9.24676115e+01
603             	outerWalls	6.86671040e-01	5.62197740e+00	4.30425869e+00
603             	splitterFront	3.77522277e+00	8.48706264e+00	4.94234990e+00
603             	splitterRight	3.95658568e+00	7.82076432e+00	5.39288481e+00
603             	splitterRear	2.46197164e-01	9.27251840e+01	2.33039683e+01
603             	splitterLeft	3.95627476e+00	7.82053790e+00	5.39290040e+00
603             	splitterBottom	4.89335163e+01	2.17037998e+02	9.18866877e+01
603             	splitterTop	4.89334296e+01	2.17038154e+02	9.18872723e+01
