# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001        	((2.408778e-06 1.539777e+00 2.853927e-17) (-2.089714e-08 3.093951e-05 -6.074519e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.719508e-19 -1.861853e-20 -1.809591e-07) (-3.540862e-22 1.887669e-21 1.834666e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0002        	((-1.454688e-06 7.535929e-02 1.030853e-19) (1.642527e-08 4.226473e-05 -1.154226e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.199106e-21 3.025507e-21 1.207351e-07) (-3.554698e-24 -2.092759e-24 5.916669e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0003        	((-2.522834e-06 7.048380e-02 8.021087e-20) (2.671291e-08 5.015627e-05 -7.298951e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.682551e-21 2.897463e-21 1.752054e-07) (-2.760111e-24 -2.497440e-24 1.415028e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0004        	((-2.041564e-06 6.706636e-02 6.868143e-20) (2.578667e-08 5.558805e-05 -4.845745e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.415583e-21 2.797520e-21 1.253867e-07) (-2.221460e-24 -2.552860e-24 1.409316e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0005        	((-1.801004e-06 6.403214e-02 6.110668e-20) (1.924417e-08 5.954755e-05 -2.913411e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.244592e-21 2.716106e-21 1.020712e-07) (-1.781178e-24 -2.584264e-24 9.238825e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0006        	((-1.005467e-06 6.147030e-02 5.551323e-20) (1.461788e-08 6.249362e-05 -2.275489e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.122871e-21 2.647868e-21 4.539202e-08) (-1.709318e-24 -2.706013e-24 1.455864e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0007        	((-7.402831e-07 5.937111e-02 5.135465e-20) (1.182526e-08 6.478450e-05 -1.588510e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.035325e-21 2.595626e-21 3.100347e-08) (-1.617710e-24 -2.844921e-24 2.042269e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0008        	((-4.053683e-07 5.759658e-02 4.819366e-20) (9.870919e-09 6.665734e-05 -1.075868e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.712715e-22 2.555435e-21 1.834901e-08) (-1.571692e-24 -2.930684e-24 2.226679e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0009        	((-4.050481e-07 5.609258e-02 4.565847e-20) (8.644882e-09 6.829842e-05 -8.312892e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.210459e-22 2.523394e-21 1.927870e-08) (-1.598082e-24 -2.874245e-24 1.940643e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.001         	((-3.134612e-07 5.481968e-02 4.359276e-20) (8.119047e-09 6.976992e-05 -2.089178e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.810896e-22 2.500161e-21 1.174491e-08) (-1.510437e-24 -2.840407e-24 1.487224e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0011        	((1.668512e-08 5.371368e-02 4.185528e-20) (8.935351e-09 7.113383e-05 2.933323e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.480780e-22 2.481441e-21 -1.507198e-08) (-1.439799e-24 -2.843015e-24 7.196541e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0012        	((-6.818949e-08 5.274850e-02 4.037885e-20) (1.070750e-08 7.239892e-05 6.907185e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.203677e-22 2.466404e-21 -7.748075e-09) (-1.376970e-24 -2.911894e-24 -3.110589e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0013        	((-5.099052e-08 5.189142e-02 3.906274e-20) (1.274826e-08 7.359432e-05 1.130862e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.957768e-22 2.453494e-21 -8.080434e-09) (-1.292356e-24 -2.970085e-24 -1.337680e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0014        	((-1.789285e-08 5.111620e-02 3.789005e-20) (1.446235e-08 7.473867e-05 1.451673e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.739902e-22 2.442061e-21 -1.060648e-08) (-1.228265e-24 -3.030490e-24 -2.183870e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0015        	((2.200135e-07 5.041445e-02 3.682564e-20) (1.581314e-08 7.583795e-05 1.581013e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.543684e-22 2.431854e-21 -1.795467e-08) (-1.209665e-24 -3.057379e-24 -2.422049e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0016        	((8.212516e-08 4.975873e-02 3.585492e-20) (1.493353e-08 7.689307e-05 1.655609e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.365835e-22 2.421479e-21 -2.004878e-08) (-1.199087e-24 -3.145141e-24 -2.677599e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0017        	((-2.625723e-10 4.915518e-02 3.498884e-20) (1.275886e-08 7.789934e-05 1.669350e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.208049e-22 2.411628e-21 -1.887622e-08) (-1.195790e-24 -3.223765e-24 -2.624008e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0018        	((1.198144e-07 4.859313e-02 3.418785e-20) (1.124418e-08 7.885740e-05 1.704545e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.062642e-22 2.402042e-21 -2.076729e-08) (-1.182901e-24 -3.259010e-24 -2.286675e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0019        	((1.234462e-07 4.806196e-02 3.345021e-20) (9.830218e-09 7.977087e-05 1.770557e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.928340e-22 2.391892e-21 -2.095141e-08) (-1.158250e-24 -3.293267e-24 -1.936509e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.002         	((2.337384e-07 4.756024e-02 3.276274e-20) (9.755951e-09 8.063444e-05 1.709858e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.803599e-22 2.381615e-21 -2.237616e-08) (-1.165105e-24 -3.327446e-24 -1.654302e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0021        	((7.435626e-08 4.708220e-02 3.212686e-20) (6.034540e-09 8.144509e-05 1.703397e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.688487e-22 2.370787e-21 -1.960639e-08) (-1.155697e-24 -3.361951e-24 -1.083881e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0022        	((3.993520e-08 4.662619e-02 3.154406e-20) (4.686672e-09 8.220435e-05 1.669442e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.583483e-22 2.359755e-21 -1.783969e-08) (-1.152112e-24 -3.406356e-24 -9.064416e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0023        	((6.118208e-08 4.619252e-02 3.100370e-20) (3.678698e-09 8.291509e-05 1.654494e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.487042e-22 2.348632e-21 -1.970197e-08) (-1.143490e-24 -3.445658e-24 -7.247301e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
