# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
0.000119048   	6.895984e+04
0.000260204   	2.991478e+02
0.000428132   	1.931701e+02
0.000627546   	1.489700e+02
0.000861857   	1.253879e+02
0.00113063    	1.109245e+02
0.00143647    	1.011276e+02
0.00177901    	9.396347e+01
0.00215269    	8.849912e+01
0.00256571    	8.397924e+01
0.00303035    	8.005045e+01
0.00352818    	7.676901e+01
0.0040675     	7.392431e+01
0.00460682    	7.158495e+01
0.00514614    	6.962549e+01
0.00568545    	6.795518e+01
0.00622477    	6.651840e+01
0.00676409    	6.527318e+01
0.00730341    	6.418996e+01
0.00784273    	6.325193e+01
0.00838205    	6.244039e+01
0.00892136    	6.173563e+01
0.00946068    	6.112312e+01
0.01          	6.059088e+01
0.0105556     	6.012119e+01
0.0111111     	5.972247e+01
0.0116667     	5.938606e+01
0.0122222     	5.910670e+01
0.0127778     	5.887674e+01
0.0133333     	5.869115e+01
0.0138889     	5.854683e+01
0.0144444     	5.843663e+01
0.015         	5.835582e+01
0.0155556     	5.830281e+01
0.0161111     	5.827067e+01
0.0166667     	5.826038e+01
0.0172222     	5.826746e+01
0.0177778     	5.829054e+01
0.0183333     	5.832420e+01
0.0188889     	5.836968e+01
0.0194444     	5.842728e+01
0.02          	5.848754e+01
0.0205882     	5.855457e+01
0.0211765     	5.862943e+01
0.0217647     	5.870678e+01
0.0223529     	5.878851e+01
0.0229412     	5.887305e+01
0.0235294     	5.896127e+01
0.0241176     	5.905106e+01
0.0247059     	5.913907e+01
0.0252941     	5.922874e+01
0.0258824     	5.931344e+01
0.0264706     	5.940294e+01
0.0270588     	5.948871e+01
0.0276471     	5.956866e+01
0.0282353     	5.964383e+01
0.0288235     	5.971889e+01
0.0294118     	5.979088e+01
0.03          	5.985463e+01
0.0305556     	5.991604e+01
0.0311111     	5.997285e+01
0.0316667     	6.002755e+01
0.0322222     	6.007941e+01
0.0327778     	6.012291e+01
0.0333333     	6.016956e+01
0.0338889     	6.021624e+01
0.0344444     	6.025866e+01
0.035         	6.028925e+01
0.0355556     	6.033024e+01
0.0361111     	6.036738e+01
0.0366667     	6.040908e+01
0.0372222     	6.043925e+01
0.0377778     	6.047347e+01
0.0383333     	6.050394e+01
0.0388889     	6.053472e+01
0.0394444     	6.056445e+01
0.04          	6.058603e+01
0.0405556     	6.061435e+01
0.0411111     	6.064274e+01
0.0416667     	6.067260e+01
0.0422222     	6.070124e+01
0.0427778     	6.073378e+01
