# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.0001        	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	3.797055e-02
0.0002        	2.766122e-02	1.959893e-01	8.618368e-01	2.395462e-02	1.603251e-02
0.0003        	2.916489e-01	2.360599e-02	2.288734e-02	1.032649e-02	8.137942e-03
0.0004        	1.707995e-01	1.603106e-02	1.621485e-02	7.698479e-03	6.405553e-03
0.0005        	1.165491e-01	1.321810e-02	1.303696e-02	6.361150e-03	5.552196e-03
0.0006        	8.935077e-02	1.166399e-02	1.153270e-02	5.488406e-03	5.024745e-03
0.0007        	7.831578e-02	1.064006e-02	1.030891e-02	4.858237e-03	4.577018e-03
0.0008        	7.359721e-02	9.886738e-03	9.353255e-03	4.415997e-03	4.210088e-03
0.0009        	7.138411e-02	9.295295e-03	8.571200e-03	4.081893e-03	3.953301e-03
0.001         	7.037963e-02	8.798269e-03	7.920449e-03	3.830231e-03	3.749826e-03
0.0011        	6.969192e-02	8.372928e-03	7.375698e-03	3.620743e-03	3.564956e-03
0.0012        	6.903240e-02	8.004996e-03	6.903759e-03	3.458295e-03	3.409491e-03
0.0013        	6.836029e-02	7.671198e-03	6.487329e-03	3.324526e-03	3.290590e-03
0.0014        	6.765500e-02	7.362496e-03	6.119098e-03	3.203464e-03	3.173527e-03
0.0015        	6.743475e-02	7.093815e-03	5.790408e-03	3.102060e-03	3.065110e-03
0.0016        	6.663662e-02	6.830004e-03	5.501185e-03	3.007532e-03	2.977174e-03
0.0017        	6.615952e-02	6.595063e-03	5.237742e-03	2.926852e-03	2.889469e-03
0.0018        	6.523458e-02	6.390064e-03	5.001569e-03	2.844566e-03	2.793012e-03
0.0019        	6.463106e-02	6.180551e-03	4.787220e-03	2.767048e-03	2.712938e-03
0.002         	6.399161e-02	6.002096e-03	4.590936e-03	2.695598e-03	2.634839e-03
0.0021        	6.346000e-02	5.836019e-03	4.411107e-03	2.625273e-03	2.555727e-03
0.0022        	6.305347e-02	5.668806e-03	4.244552e-03	2.563555e-03	2.485266e-03
0.0023        	6.196316e-02	5.521697e-03	4.090705e-03	2.499562e-03	2.407205e-03
0.0024        	6.163877e-02	5.383943e-03	3.948832e-03	2.437755e-03	2.336102e-03
0.0025        	6.120276e-02	5.247675e-03	3.819235e-03	2.382453e-03	2.277842e-03
0.0026        	6.011783e-02	5.120166e-03	3.697417e-03	2.330080e-03	2.209555e-03
0.0027        	5.944364e-02	5.004211e-03	3.583301e-03	2.277831e-03	2.147827e-03
0.0028        	5.890687e-02	4.890314e-03	3.477239e-03	2.229668e-03	2.097506e-03
0.0029        	5.841016e-02	4.776742e-03	3.378529e-03	2.185899e-03	2.047426e-03
0.003         	5.754577e-02	4.676311e-03	3.284761e-03	2.140187e-03	1.992615e-03
0.0031        	5.706107e-02	4.579964e-03	3.195522e-03	2.097288e-03	1.948555e-03
0.0032        	5.671738e-02	4.481483e-03	3.112117e-03	2.061345e-03	1.907023e-03
0.0033        	5.593602e-02	4.389114e-03	3.034465e-03	2.023719e-03	1.862516e-03
0.0034        	5.531324e-02	4.306116e-03	2.960540e-03	1.985765e-03	1.817698e-03
0.0035        	5.438878e-02	4.224463e-03	2.889482e-03	1.951737e-03	1.780982e-03
0.0036        	5.388283e-02	4.140546e-03	2.822191e-03	1.920665e-03	1.747656e-03
0.0037        	5.353874e-02	4.064522e-03	2.758519e-03	1.887309e-03	1.711789e-03
0.0038        	5.288917e-02	3.994782e-03	2.698219e-03	1.854852e-03	1.674153e-03
0.0039        	5.231406e-02	3.924064e-03	2.640830e-03	1.827062e-03	1.642197e-03
0.004         	5.178233e-02	3.851855e-03	2.585510e-03	1.800603e-03	1.612890e-03
0.0041        	5.114735e-02	3.786549e-03	2.532793e-03	1.772524e-03	1.581691e-03
0.0042        	5.061064e-02	3.726195e-03	2.482343e-03	1.744820e-03	1.552844e-03
0.0043        	5.055799e-02	3.665584e-03	2.433907e-03	1.720044e-03	1.526146e-03
0.0044        	5.032934e-02	3.603872e-03	2.387342e-03	1.695757e-03	1.499445e-03
0.0045        	4.939662e-02	3.546157e-03	2.342718e-03	1.671084e-03	1.473170e-03
0.0046        	4.889111e-02	3.492406e-03	2.300097e-03	1.648004e-03	1.447441e-03
0.0047        	4.840524e-02	3.439703e-03	2.259002e-03	1.626207e-03	1.423589e-03
0.0048        	4.792281e-02	3.385881e-03	2.219896e-03	1.605422e-03	1.400411e-03
0.0049        	4.750164e-02	3.335025e-03	2.181693e-03	1.582797e-03	1.376649e-03
0.005         	4.748116e-02	3.287285e-03	2.144761e-03	1.561873e-03	1.353127e-03
0.0051        	4.717203e-02	3.241197e-03	2.109672e-03	1.542878e-03	1.332620e-03
0.0052        	4.632784e-02	3.195117e-03	2.076059e-03	1.523403e-03	1.312346e-03
0.0053        	4.591968e-02	3.149311e-03	2.043524e-03	1.503579e-03	1.291395e-03
0.0054        	4.550324e-02	3.105446e-03	2.012055e-03	1.482265e-03	1.269865e-03
0.0055        	4.530803e-02	3.063742e-03	1.981779e-03	1.464167e-03	1.249899e-03
0.0056        	4.477356e-02	3.022382e-03	1.952334e-03	1.447277e-03	1.231892e-03
0.0057        	4.465922e-02	2.981341e-03	1.924076e-03	1.430570e-03	1.215077e-03
0.0058        	4.435152e-02	2.942020e-03	1.896658e-03	1.411946e-03	1.196529e-03
0.0059        	4.392181e-02	2.903734e-03	1.869713e-03	1.393978e-03	1.178117e-03
0.006         	4.361970e-02	2.866865e-03	1.843615e-03	1.377091e-03	1.160261e-03
