# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.000119048   	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	4.289430e-02
0.000260204   	2.876028e-02	2.053754e-01	8.683763e-01	2.580140e-02	1.708469e-02
0.000428132   	3.273050e-01	2.747738e-02	2.647155e-02	1.162342e-02	9.399024e-03
0.000627546   	1.959798e-01	2.014094e-02	1.936758e-02	9.157051e-03	7.934874e-03
0.000861857   	1.503754e-01	1.740676e-02	1.680677e-02	7.798561e-03	7.325338e-03
0.00113063    	1.345170e-01	1.569184e-02	1.475127e-02	6.908245e-03	6.873724e-03
0.00143647    	1.312663e-01	1.442210e-02	1.305130e-02	6.361413e-03	6.574824e-03
0.00177901    	1.319850e-01	1.324062e-02	1.156444e-02	5.985026e-03	6.318425e-03
0.00215269    	1.323066e-01	1.209403e-02	1.023839e-02	5.639316e-03	6.019434e-03
0.00256571    	1.335814e-01	1.114098e-02	9.208737e-03	5.369898e-03	5.726005e-03
0.00303035    	1.348671e-01	1.032394e-02	8.381010e-03	5.144000e-03	5.450080e-03
0.00352818    	1.320600e-01	9.431813e-03	7.537786e-03	4.839693e-03	5.083249e-03
0.0040675     	1.307215e-01	8.706093e-03	6.868551e-03	4.596842e-03	4.748030e-03
0.00460682    	1.240548e-01	7.893832e-03	6.153215e-03	4.256518e-03	4.297080e-03
0.00514614    	1.188063e-01	7.223937e-03	5.583478e-03	3.977924e-03	3.921512e-03
0.00568545    	1.143778e-01	6.658731e-03	5.116577e-03	3.739445e-03	3.597764e-03
0.00622477    	1.098838e-01	6.176613e-03	4.725065e-03	3.530291e-03	3.322726e-03
0.00676409    	1.062267e-01	5.755283e-03	4.391614e-03	3.339424e-03	3.091129e-03
0.00730341    	1.032001e-01	5.382112e-03	4.101284e-03	3.162297e-03	2.872578e-03
0.00784273    	1.003229e-01	5.048653e-03	3.844385e-03	2.991223e-03	2.671875e-03
0.00838205    	9.765558e-02	4.744178e-03	3.614647e-03	2.836667e-03	2.489594e-03
0.00892136    	9.525586e-02	4.474610e-03	3.407275e-03	2.686913e-03	2.314390e-03
0.00946068    	9.115664e-02	4.230157e-03	3.222842e-03	2.546360e-03	2.149957e-03
0.01          	8.710167e-02	4.013918e-03	3.056944e-03	2.417254e-03	1.995872e-03
0.0105556     	8.477758e-02	3.847920e-03	2.936599e-03	2.318080e-03	1.875193e-03
0.0111111     	8.111295e-02	3.670593e-03	2.800733e-03	2.206528e-03	1.737289e-03
0.0116667     	7.792632e-02	3.508993e-03	2.679779e-03	2.103155e-03	1.609212e-03
0.0122222     	7.524207e-02	3.365721e-03	2.572695e-03	2.010139e-03	1.493734e-03
0.0127778     	7.267929e-02	3.235855e-03	2.475452e-03	1.920306e-03	1.389601e-03
0.0133333     	7.046995e-02	3.120192e-03	2.389569e-03	1.839125e-03	1.300418e-03
0.0138889     	6.838952e-02	3.015367e-03	2.311271e-03	1.763790e-03	1.228396e-03
0.0144444     	6.658237e-02	2.921742e-03	2.241055e-03	1.692149e-03	1.174746e-03
0.015         	6.491597e-02	2.837321e-03	2.175441e-03	1.625498e-03	1.132859e-03
0.0155556     	6.338381e-02	2.762172e-03	2.116402e-03	1.565143e-03	1.103826e-03
0.0161111     	6.200144e-02	2.694224e-03	2.060519e-03	1.507984e-03	1.081758e-03
0.0166667     	6.073498e-02	2.634134e-03	2.009418e-03	1.455905e-03	1.067615e-03
0.0172222     	5.962051e-02	2.579642e-03	1.961450e-03	1.407538e-03	1.059737e-03
0.0177778     	5.857747e-02	2.531674e-03	1.916722e-03	1.363446e-03	1.055844e-03
0.0183333     	5.767674e-02	2.488127e-03	1.874168e-03	1.322148e-03	1.053946e-03
0.0188889     	5.679451e-02	2.449494e-03	1.834836e-03	1.283538e-03	1.051438e-03
0.0194444     	5.606785e-02	2.414563e-03	1.797083e-03	1.247335e-03	1.050808e-03
0.02          	5.539203e-02	2.382944e-03	1.761797e-03	1.215841e-03	1.048621e-03
0.0205882     	5.655478e-02	2.386589e-03	1.756035e-03	1.205051e-03	1.066617e-03
0.0211765     	5.538886e-02	2.359622e-03	1.721131e-03	1.177093e-03	1.062152e-03
0.0217647     	5.475968e-02	2.335345e-03	1.688422e-03	1.153437e-03	1.058993e-03
0.0223529     	5.422360e-02	2.313612e-03	1.656812e-03	1.131599e-03	1.054139e-03
0.0229412     	5.380753e-02	2.294095e-03	1.627189e-03	1.111801e-03	1.049921e-03
0.0235294     	5.340895e-02	2.275140e-03	1.598537e-03	1.093308e-03	1.043560e-03
0.0241176     	5.306806e-02	2.259904e-03	1.571108e-03	1.076035e-03	1.037862e-03
0.0247059     	5.264767e-02	2.245637e-03	1.544675e-03	1.059973e-03	1.029857e-03
0.0252941     	5.237466e-02	2.232478e-03	1.519007e-03	1.044726e-03	1.022929e-03
0.0258824     	5.199769e-02	2.219932e-03	1.494376e-03	1.030471e-03	1.014240e-03
0.0264706     	5.168682e-02	2.208593e-03	1.470645e-03	1.016876e-03	1.005915e-03
0.0270588     	5.139406e-02	2.197446e-03	1.447483e-03	1.004352e-03	9.978730e-04
0.0276471     	5.108842e-02	2.186667e-03	1.425295e-03	9.919780e-04	9.886191e-04
0.0282353     	5.065199e-02	2.176162e-03	1.403122e-03	9.803346e-04	9.790781e-04
0.0288235     	5.034562e-02	2.165648e-03	1.381971e-03	9.682064e-04	9.697024e-04
0.0294118     	4.994492e-02	2.156031e-03	1.361147e-03	9.576132e-04	9.604049e-04
0.03          	4.962749e-02	2.145475e-03	1.340834e-03	9.460433e-04	9.501756e-04
0.0305556     	4.874515e-02	2.107049e-03	1.300603e-03	9.238103e-04	9.251852e-04
0.0311111     	4.793542e-02	2.098247e-03	1.282248e-03	9.138366e-04	9.153666e-04
0.0316667     	4.742482e-02	2.090973e-03	1.264414e-03	9.041792e-04	9.062196e-04
0.0322222     	4.704175e-02	2.081606e-03	1.246412e-03	8.950046e-04	8.960789e-04
0.0327778     	4.670430e-02	2.074541e-03	1.229279e-03	8.854294e-04	8.862846e-04
0.0333333     	4.621911e-02	2.064617e-03	1.211822e-03	8.764719e-04	8.763935e-04
0.0338889     	4.596280e-02	2.057296e-03	1.194985e-03	8.669022e-04	8.660441e-04
0.0344444     	4.555117e-02	2.048215e-03	1.178091e-03	8.578451e-04	8.562562e-04
0.035         	4.534441e-02	2.039483e-03	1.161448e-03	8.478394e-04	8.454394e-04
0.0355556     	4.494204e-02	2.029285e-03	1.144886e-03	8.381779e-04	8.356279e-04
0.0361111     	4.477020e-02	2.021161e-03	1.128345e-03	8.283846e-04	8.250592e-04
0.0366667     	4.452134e-02	2.010145e-03	1.112180e-03	8.179287e-04	8.142471e-04
0.0372222     	4.441410e-02	1.996996e-03	1.096244e-03	8.074461e-04	8.039731e-04
0.0377778     	4.416672e-02	1.983262e-03	1.080270e-03	7.964500e-04	7.927588e-04
0.0383333     	4.396922e-02	1.969242e-03	1.064328e-03	7.853472e-04	7.818849e-04
0.0388889     	4.381908e-02	1.954336e-03	1.048271e-03	7.735960e-04	7.703120e-04
0.0394444     	4.357445e-02	1.938327e-03	1.032356e-03	7.617488e-04	7.588970e-04
0.04          	4.346782e-02	1.921558e-03	1.016265e-03	7.496218e-04	7.477855e-04
0.0405556     	4.314655e-02	1.902618e-03	1.000312e-03	7.369977e-04	7.359894e-04
0.0411111     	4.298650e-02	1.884317e-03	9.843014e-04	7.244165e-04	7.246638e-04
0.0416667     	4.274483e-02	1.864755e-03	9.682903e-04	7.113817e-04	7.130392e-04
0.0422222     	4.255933e-02	1.847879e-03	9.519920e-04	6.987171e-04	7.019015e-04
0.0427778     	4.231514e-02	1.828469e-03	9.360360e-04	6.853747e-04	6.907127e-04
0.0433333     	4.208802e-02	1.806974e-03	9.201996e-04	6.725084e-04	6.802841e-04
0.0438889     	4.186982e-02	1.787655e-03	9.042481e-04	6.597881e-04	6.694324e-04
0.0444444     	4.151375e-02	1.765601e-03	8.886415e-04	6.471825e-04	6.585900e-04
0.045         	4.134049e-02	1.747132e-03	8.730024e-04	6.348507e-04	6.480507e-04
0.0455556     	4.101983e-02	1.727503e-03	8.576543e-04	6.230791e-04	6.377085e-04
0.0461111     	4.071854e-02	1.708824e-03	8.423497e-04	6.116111e-04	6.284995e-04
0.0466667     	4.042619e-02	1.692959e-03	8.269670e-04	6.005492e-04	6.185139e-04
0.0472222     	4.016618e-02	1.674721e-03	8.121013e-04	5.899799e-04	6.088434e-04
0.0477778     	3.994454e-02	1.656631e-03	7.973386e-04	5.793882e-04	5.997402e-04
0.0483333     	3.958035e-02	1.638308e-03	7.828602e-04	5.695146e-04	5.909712e-04
0.0488889     	3.937565e-02	1.621866e-03	7.682662e-04	5.600534e-04	5.818139e-04
0.0494444     	3.900499e-02	1.605235e-03	7.539762e-04	5.509286e-04	5.730679e-04
0.05          	3.878215e-02	1.589578e-03	7.397069e-04	5.420999e-04	5.646284e-04
0.0505556     	3.845906e-02	1.573399e-03	7.256107e-04	5.335610e-04	5.562880e-04
0.0511111     	3.801418e-02	1.557234e-03	7.116779e-04	5.255526e-04	5.483941e-04
0.0516667     	3.773465e-02	1.541794e-03	6.976234e-04	5.175838e-04	5.399933e-04
0.0522222     	3.728417e-02	1.525645e-03	6.839086e-04	5.100962e-04	5.319607e-04
0.0527778     	3.695548e-02	1.509404e-03	6.699850e-04	5.028146e-04	5.238964e-04
0.0533333     	3.649201e-02	1.493275e-03	6.562598e-04	4.956659e-04	5.159729e-04
0.0538889     	3.607135e-02	1.474834e-03	6.426889e-04	4.888028e-04	5.077386e-04
0.0544444     	3.565160e-02	1.456779e-03	6.289016e-04	4.817349e-04	4.999973e-04
0.055         	3.507944e-02	1.438717e-03	6.152268e-04	4.749655e-04	4.917522e-04
0.0555556     	3.459391e-02	1.419551e-03	6.012539e-04	4.683501e-04	4.834129e-04
0.0561111     	3.402663e-02	1.400108e-03	5.874190e-04	4.616830e-04	4.752861e-04
0.0566667     	3.342214e-02	1.378321e-03	5.735253e-04	4.551472e-04	4.665693e-04
