# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.0001        	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	4.096666e-02
0.0002        	2.557227e-02	1.936817e-01	8.112097e-01	3.392270e-02	1.589085e-02
0.0003        	2.926661e-01	2.461203e-02	1.229852e-02	1.231922e-02	7.727124e-03
0.0004        	1.614347e-01	1.569523e-02	8.670133e-03	8.963254e-03	6.156894e-03
0.0005        	1.025661e-01	1.251250e-02	7.020293e-03	7.118917e-03	5.171328e-03
0.0006        	7.307726e-02	1.086290e-02	6.310794e-03	5.996676e-03	4.611491e-03
0.0007        	6.013485e-02	9.821046e-03	5.732132e-03	5.213203e-03	4.133974e-03
0.0008        	5.548240e-02	9.071513e-03	5.279392e-03	4.659306e-03	3.755654e-03
0.0009        	5.315074e-02	8.499065e-03	4.903783e-03	4.226297e-03	3.469720e-03
0.001         	5.213865e-02	8.023301e-03	4.589130e-03	3.900073e-03	3.230878e-03
0.0011        	5.121486e-02	7.599847e-03	4.323375e-03	3.640519e-03	3.065760e-03
0.0012        	5.041762e-02	7.242636e-03	4.091065e-03	3.431538e-03	2.927700e-03
0.0013        	4.979774e-02	6.916831e-03	3.883739e-03	3.257390e-03	2.808365e-03
0.0014        	4.994291e-02	6.637756e-03	3.703020e-03	3.101174e-03	2.701533e-03
0.0015        	4.850596e-02	6.375192e-03	3.536754e-03	2.967616e-03	2.603916e-03
0.0016        	4.797648e-02	6.141236e-03	3.387911e-03	2.844414e-03	2.509286e-03
0.0017        	4.706335e-02	5.939484e-03	3.255532e-03	2.738776e-03	2.431954e-03
0.0018        	4.657113e-02	5.735794e-03	3.131739e-03	2.636092e-03	2.342532e-03
0.0019        	4.604928e-02	5.573707e-03	3.023468e-03	2.545007e-03	2.274680e-03
0.002         	4.519695e-02	5.408010e-03	2.921041e-03	2.464208e-03	2.203614e-03
0.0021        	4.474120e-02	5.254645e-03	2.828677e-03	2.384214e-03	2.134614e-03
0.0022        	4.418288e-02	5.127099e-03	2.743672e-03	2.309511e-03	2.067992e-03
0.0023        	4.344807e-02	4.989245e-03	2.663635e-03	2.240994e-03	2.002602e-03
0.0024        	4.241851e-02	4.874481e-03	2.592205e-03	2.172544e-03	1.940029e-03
0.0025        	4.206576e-02	4.769925e-03	2.523592e-03	2.110739e-03	1.882275e-03
0.0026        	4.177706e-02	4.653646e-03	2.458642e-03	2.050833e-03	1.825211e-03
0.0027        	4.134697e-02	4.561701e-03	2.400396e-03	1.991343e-03	1.766292e-03
0.0028        	3.986066e-02	4.472939e-03	2.344109e-03	1.938119e-03	1.717932e-03
0.0029        	3.908906e-02	4.376540e-03	2.290740e-03	1.884658e-03	1.673247e-03
0.003         	3.902932e-02	4.300540e-03	2.242910e-03	1.835264e-03	1.621710e-03
0.0031        	3.857870e-02	4.225420e-03	2.197078e-03	1.790931e-03	1.573433e-03
0.0032        	3.756544e-02	4.141006e-03	2.151473e-03	1.746914e-03	1.535938e-03
0.0033        	3.692046e-02	4.077128e-03	2.110017e-03	1.703871e-03	1.496832e-03
0.0034        	3.624244e-02	4.015477e-03	2.072376e-03	1.665120e-03	1.462234e-03
0.0035        	3.582090e-02	3.943155e-03	2.034230e-03	1.626672e-03	1.429031e-03
0.0036        	3.522117e-02	3.886480e-03	1.998570e-03	1.591037e-03	1.391957e-03
0.0037        	3.477008e-02	3.837018e-03	1.965695e-03	1.555625e-03	1.355791e-03
0.0038        	3.426657e-02	3.778181e-03	1.932753e-03	1.523592e-03	1.327854e-03
0.0039        	3.360868e-02	3.721600e-03	1.900590e-03	1.492750e-03	1.300391e-03
0.004         	3.299534e-02	3.678764e-03	1.870981e-03	1.461847e-03	1.270394e-03
0.0041        	3.279288e-02	3.631025e-03	1.843292e-03	1.433452e-03	1.242464e-03
0.0042        	3.263508e-02	3.577577e-03	1.815425e-03	1.406618e-03	1.218140e-03
0.0043        	3.195862e-02	3.532569e-03	1.789083e-03	1.380645e-03	1.194096e-03
0.0044        	3.114966e-02	3.497783e-03	1.763636e-03	1.355348e-03	1.169351e-03
0.0045        	3.074377e-02	3.454010e-03	1.738854e-03	1.332671e-03	1.147800e-03
