# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1e-05         	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	2.339895e-02
2e-05         	3.520370e-02	3.579167e-01	8.973730e-01	3.382309e-01	1.857716e-01
3e-05         	3.585962e-01	2.909908e-01	3.737842e-01	4.224951e-02	7.437392e-02
4e-05         	4.031180e-01	1.294856e-01	1.348274e-01	3.876988e-03	2.524971e-03
5e-05         	3.008474e-01	4.305609e-02	4.563497e-02	3.375557e-03	2.171323e-03
6e-05         	2.543158e-01	1.988749e-02	2.040257e-02	3.121728e-03	2.173637e-03
7e-05         	1.856008e-01	1.317001e-02	1.886817e-02	2.941870e-03	2.170717e-03
8e-05         	1.523244e-01	1.068529e-02	1.430026e-02	2.804551e-03	2.136070e-03
9e-05         	1.308926e-01	8.746708e-03	1.106165e-02	2.691345e-03	2.099172e-03
0.0001        	1.194582e-01	7.461263e-03	9.231837e-03	2.583134e-03	2.060591e-03
0.00011       	1.159854e-01	6.662205e-03	8.040647e-03	2.498050e-03	2.017204e-03
0.00012       	1.221852e-01	6.227769e-03	7.268696e-03	2.457389e-03	1.971854e-03
0.00013       	1.280081e-01	5.809159e-03	6.568003e-03	2.375166e-03	1.927000e-03
0.00014       	9.842876e-02	5.100589e-03	5.764430e-03	2.299374e-03	1.888333e-03
0.00015       	7.779370e-02	4.650558e-03	5.220856e-03	2.239693e-03	1.851257e-03
0.00016       	7.143720e-02	4.358037e-03	4.779782e-03	2.189499e-03	1.815562e-03
0.00017       	6.671825e-02	4.180151e-03	4.475361e-03	2.152217e-03	1.783088e-03
0.00018       	6.166445e-02	6.650811e-03	5.493037e-03	2.478610e-03	1.764432e-03
0.00019       	2.651209e-01	6.314818e-03	5.035421e-03	2.172310e-03	1.715873e-03
0.0002        	2.900376e-01	5.274508e-03	4.523997e-03	2.121789e-03	1.687025e-03
0.00021       	1.694002e-01	4.126183e-03	4.017806e-03	2.027925e-03	1.660457e-03
0.00022       	1.210024e-01	3.497008e-03	3.628250e-03	1.987073e-03	1.636025e-03
0.00023       	9.751113e-02	3.340178e-03	3.509443e-03	1.957840e-03	1.610430e-03
0.00024       	8.416730e-02	3.195786e-03	3.343606e-03	1.930531e-03	1.584735e-03
0.00025       	7.511982e-02	3.104354e-03	3.243278e-03	1.904738e-03	1.561807e-03
0.00026       	6.906979e-02	3.018725e-03	3.150604e-03	1.880505e-03	1.542313e-03
0.00027       	6.254094e-02	2.946030e-03	3.066872e-03	1.856013e-03	1.522868e-03
0.00028       	5.636720e-02	2.883828e-03	2.992420e-03	1.834904e-03	1.502774e-03
0.00029       	5.276315e-02	2.831093e-03	2.924860e-03	1.814024e-03	1.482974e-03
0.0003        	4.947165e-02	2.783573e-03	2.861484e-03	1.793942e-03	1.463692e-03
0.00031       	4.631690e-02	2.741122e-03	2.803495e-03	1.773164e-03	1.443401e-03
0.00032       	4.417132e-02	2.707300e-03	2.755103e-03	1.753530e-03	1.425689e-03
0.00033       	4.101540e-02	2.674544e-03	2.707215e-03	1.732267e-03	1.410244e-03
0.00034       	3.835934e-02	2.641091e-03	2.659344e-03	1.714132e-03	1.395727e-03
0.00035       	3.668213e-02	2.609685e-03	2.613680e-03	1.698319e-03	1.381319e-03
0.00036       	3.588515e-02	2.584210e-03	2.574194e-03	1.682557e-03	1.365520e-03
0.00037       	3.497364e-02	2.560491e-03	2.536147e-03	1.666875e-03	1.350008e-03
0.00038       	3.424299e-02	2.539211e-03	2.500154e-03	1.651239e-03	1.336957e-03
0.00039       	3.299599e-02	2.518883e-03	2.465486e-03	1.634294e-03	1.326082e-03
0.0004        	3.225305e-02	2.500542e-03	2.433721e-03	1.617513e-03	1.314695e-03
0.00041       	3.136382e-02	2.481890e-03	2.401733e-03	1.604415e-03	1.300919e-03
0.00042       	3.215082e-02	2.465033e-03	2.373538e-03	1.592533e-03	1.284939e-03
0.00043       	3.188397e-02	2.450506e-03	2.350288e-03	1.579096e-03	1.270543e-03
0.00044       	3.109289e-02	2.436791e-03	2.328390e-03	1.567211e-03	1.260017e-03
0.00045       	3.177534e-02	2.422860e-03	2.306056e-03	1.554476e-03	1.251985e-03
0.00046       	3.224886e-02	2.410186e-03	2.285248e-03	1.540640e-03	1.242697e-03
0.00047       	3.350080e-02	2.397142e-03	2.263857e-03	1.526355e-03	1.229213e-03
0.00048       	3.406669e-02	2.384399e-03	2.243362e-03	1.513450e-03	1.213175e-03
0.00049       	3.685312e-02	2.377156e-03	2.230549e-03	1.501468e-03	1.197983e-03
0.0005        	3.988633e-02	2.368390e-03	2.214701e-03	1.489133e-03	1.187404e-03
0.00051       	4.047986e-02	2.358433e-03	2.196875e-03	1.476855e-03	1.179420e-03
0.00052       	4.220520e-02	2.350127e-03	2.180658e-03	1.463615e-03	1.170825e-03
0.00053       	4.412350e-02	2.341868e-03	2.163227e-03	1.450714e-03	1.160981e-03
0.00054       	4.757204e-02	2.334706e-03	2.147282e-03	1.437769e-03	1.149669e-03
0.00055       	4.934440e-02	2.329914e-03	2.134907e-03	1.424431e-03	1.138912e-03
0.00056       	5.237468e-02	2.323231e-03	2.118683e-03	1.412705e-03	1.128456e-03
0.00057       	5.593638e-02	2.316551e-03	2.102660e-03	1.402148e-03	1.120203e-03
0.00058       	5.941870e-02	2.309244e-03	2.086007e-03	1.391534e-03	1.115303e-03
0.00059       	6.259981e-02	2.304432e-03	2.073487e-03	1.381661e-03	1.109836e-03
0.0006        	6.668002e-02	2.299691e-03	2.060392e-03	1.370898e-03	1.101446e-03
0.00061       	6.981972e-02	2.292485e-03	2.042660e-03	1.359198e-03	1.091253e-03
0.00062       	7.301869e-02	2.286839e-03	2.027221e-03	1.347406e-03	1.080345e-03
