# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.694396e+05
0.02          	1.623264e+05
0.03          	1.625649e+05
0.04          	1.644067e+05
0.05          	1.744068e+05
0.06          	1.829878e+05
0.07          	1.920988e+05
0.08          	2.007672e+05
0.09          	2.091807e+05
0.1           	2.178650e+05
0.11          	2.258012e+05
0.12          	2.340640e+05
0.13          	2.421117e+05
0.14          	2.496117e+05
0.15          	2.576053e+05
0.16          	2.650645e+05
0.17          	2.722248e+05
0.18          	2.798635e+05
0.19          	2.868530e+05
0.2           	2.936637e+05
0.21          	3.009444e+05
0.22          	3.075611e+05
0.23          	3.139750e+05
0.24          	3.209081e+05
0.25          	3.272477e+05
0.26          	3.332306e+05
0.27          	3.397959e+05
0.28          	3.459511e+05
0.29          	3.515241e+05
0.3           	3.576449e+05
0.31          	3.636856e+05
0.32          	3.689468e+05
0.33          	3.745375e+05
0.34          	3.804421e+05
0.35          	3.855654e+05
0.36          	3.905949e+05
0.37          	3.962229e+05
0.38          	4.013727e+05
0.39          	4.059343e+05
0.4           	4.110551e+05
0.41          	4.162772e+05
0.42          	4.206702e+05
0.43          	4.251470e+05
0.44          	4.302147e+05
0.45          	4.347295e+05
0.46          	4.386787e+05
0.47          	4.432387e+05
0.48          	4.479404e+05
0.49          	4.517956e+05
0.5           	4.556554e+05
