# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.445327e+05
0.02          	1.414211e+05
0.03          	1.418154e+05
0.04          	1.458572e+05
0.05          	1.538858e+05
0.06          	1.615447e+05
0.07          	1.699220e+05
0.08          	1.763164e+05
0.09          	1.850241e+05
0.1           	1.917370e+05
0.11          	1.986836e+05
0.12          	2.067272e+05
0.13          	2.123397e+05
0.14          	2.199637e+05
0.15          	2.271208e+05
0.16          	2.321625e+05
0.17          	2.398923e+05
0.18          	2.464575e+05
0.19          	2.510861e+05
0.2           	2.586406e+05
0.21          	2.648835e+05
0.22          	2.690792e+05
0.23          	2.762658e+05
0.24          	2.824417e+05
0.25          	2.862700e+05
0.26          	2.927557e+05
0.27          	2.991055e+05
0.28          	3.028675e+05
0.29          	3.080961e+05
0.3           	3.148056e+05
0.31          	3.189217e+05
0.32          	3.226078e+05
0.33          	3.294722e+05
0.34          	3.341824e+05
0.35          	3.368377e+05
0.36          	3.429538e+05
0.37          	3.484056e+05
0.38          	3.511979e+05
0.39          	3.551612e+05
0.4           	3.614681e+05
0.41          	3.652354e+05
0.42          	3.673321e+05
0.43          	3.732495e+05
0.44          	3.780852e+05
0.45          	3.802046e+05
0.46          	3.835853e+05
0.47          	3.895825e+05
0.48          	3.929966e+05
0.49          	3.943652e+05
0.5           	3.995963e+05
