# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0.05          	1.013250e+05
0.06          	1.013250e+05
0.07          	1.013250e+05
0.08          	1.013250e+05
0.09          	1.013250e+05
0.1           	1.013250e+05
0.11          	1.013250e+05
0.12          	1.013250e+05
0.13          	1.013250e+05
0.14          	1.013250e+05
0.15          	1.013250e+05
0.16          	1.013250e+05
0.17          	1.013250e+05
0.18          	1.013250e+05
0.19          	1.013250e+05
0.2           	1.013250e+05
0.21          	1.013250e+05
0.22          	1.013250e+05
0.23          	1.013250e+05
0.24          	1.013250e+05
0.25          	1.013250e+05
0.26          	1.013250e+05
0.27          	1.013250e+05
0.28          	1.013250e+05
0.29          	1.013250e+05
0.3           	1.013250e+05
0.31          	1.013250e+05
0.32          	1.013250e+05
0.33          	1.013250e+05
0.34          	1.013250e+05
0.35          	1.013250e+05
0.36          	1.013250e+05
0.37          	1.013250e+05
0.38          	1.013250e+05
0.39          	1.013250e+05
0.4           	1.013250e+05
0.41          	1.013250e+05
0.42          	1.013250e+05
0.43          	1.013250e+05
0.44          	1.013250e+05
0.45          	1.013250e+05
0.46          	1.013250e+05
0.47          	1.013250e+05
0.48          	1.013250e+05
0.49          	1.013250e+05
0.5           	1.013250e+05
