# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0.05          	1.017638e+05
0.06          	1.016355e+05
0.07          	1.015270e+05
0.08          	1.015364e+05
0.09          	1.014569e+05
0.1           	1.014881e+05
0.11          	1.016552e+05
0.12          	1.014628e+05
0.13          	1.013990e+05
0.14          	1.014207e+05
0.15          	1.014114e+05
0.16          	1.014313e+05
0.17          	1.014346e+05
0.18          	1.014077e+05
0.19          	1.014122e+05
0.2           	1.014244e+05
0.21          	1.014267e+05
0.22          	1.014208e+05
0.23          	1.014112e+05
0.24          	1.014081e+05
0.25          	1.014024e+05
0.26          	1.013982e+05
0.27          	1.013948e+05
0.28          	1.014040e+05
0.29          	1.014115e+05
0.3           	1.014094e+05
0.31          	1.014111e+05
0.32          	1.014034e+05
0.33          	1.013999e+05
0.34          	1.013891e+05
0.35          	1.013963e+05
0.36          	1.014033e+05
0.37          	1.013843e+05
0.38          	1.013992e+05
0.39          	1.013759e+05
0.4           	1.013771e+05
0.41          	1.013749e+05
0.42          	1.013962e+05
0.43          	1.013969e+05
0.44          	1.014101e+05
0.45          	1.013948e+05
0.46          	1.014000e+05
0.47          	1.013862e+05
0.48          	1.013926e+05
0.49          	1.014069e+05
0.5           	1.013771e+05
