# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05          	N/A	N/A	N/A	N/A
0.05001       	3.446136e-04	3.905102e-04	1.635534e-04	1.363721e-04	2.088746e-04
0.05002       	2.376924e-04	3.669350e-04	1.596013e-04	1.372160e-04	2.090760e-04
0.05003       	2.245262e-04	3.605473e-04	1.621104e-04	1.363832e-04	2.087759e-04
0.05004       	2.246926e-04	3.599897e-04	1.590257e-04	1.361765e-04	2.089957e-04
0.05005       	2.234018e-04	3.604928e-04	1.595992e-04	1.353266e-04	2.089057e-04
0.05006       	2.241899e-04	3.608032e-04	1.594846e-04	1.365079e-04	2.093428e-04
0.05007       	2.232478e-04	3.612614e-04	1.600247e-04	1.365367e-04	2.094906e-04
0.05008       	2.234742e-04	3.620757e-04	1.608504e-04	1.379150e-04	2.098842e-04
0.05009       	2.242035e-04	3.623597e-04	1.638417e-04	1.348118e-04	2.087948e-04
0.0501        	2.233900e-04	3.614594e-04	1.573458e-04	1.366136e-04	2.086895e-04
0.05011       	2.220474e-04	3.605206e-04	1.576632e-04	1.364630e-04	2.083289e-04
0.05012       	2.216672e-04	3.609123e-04	1.594963e-04	1.355207e-04	2.078707e-04
0.05013       	2.200989e-04	3.610990e-04	1.593535e-04	1.360529e-04	2.077204e-04
0.05014       	2.202460e-04	3.602384e-04	1.596354e-04	1.359591e-04	2.074814e-04
0.05015       	2.184323e-04	3.602010e-04	1.608026e-04	1.360974e-04	2.072076e-04
0.05016       	2.195612e-04	3.626927e-04	1.678913e-04	1.343114e-04	2.065707e-04
0.05017       	2.181415e-04	3.591722e-04	1.602565e-04	1.353674e-04	2.063766e-04
0.05018       	2.188797e-04	3.573063e-04	1.571444e-04	1.322020e-04	2.052155e-04
0.05019       	2.175535e-04	3.575710e-04	1.583273e-04	1.320967e-04	2.047829e-04
0.0502        	2.183690e-04	3.579182e-04	1.596866e-04	1.321926e-04	2.044259e-04
0.05021       	2.177037e-04	3.581968e-04	1.604742e-04	1.321925e-04	2.040133e-04
0.05022       	2.188117e-04	3.552851e-04	1.589209e-04	1.328284e-04	2.038355e-04
0.05023       	2.185419e-04	3.547454e-04	1.559368e-04	1.337280e-04	2.038519e-04
0.05024       	2.181574e-04	3.560158e-04	1.578111e-04	1.319711e-04	2.032533e-04
0.05025       	2.188156e-04	3.563837e-04	1.563863e-04	1.349617e-04	2.036429e-04
0.05026       	2.174016e-04	3.566016e-04	1.547034e-04	1.321055e-04	2.025442e-04
0.05027       	2.146063e-04	3.570153e-04	1.549883e-04	1.308674e-04	2.019341e-04
0.05028       	2.132641e-04	3.573431e-04	1.555009e-04	1.318994e-04	2.018066e-04
0.05029       	2.121747e-04	3.586446e-04	1.556985e-04	1.306428e-04	2.011273e-04
0.0503        	2.108641e-04	3.589496e-04	1.549605e-04	1.301838e-04	2.005136e-04
0.05031       	2.102876e-04	3.585803e-04	1.546291e-04	1.310765e-04	2.003202e-04
0.05032       	2.099305e-04	3.586043e-04	1.551479e-04	1.298497e-04	1.997685e-04
