# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1e-05         	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	6.043819e-03
2e-05         	1.286651e-01	2.372855e-01	5.233450e-02	4.234020e-02	4.591381e-03
3e-05         	7.331178e-02	1.651475e-01	4.433475e-02	1.886245e-02	5.683146e-03
4e-05         	5.503788e-02	1.215730e-01	4.351178e-02	1.145686e-02	5.149858e-03
5e-05         	4.609666e-02	9.257550e-02	4.455216e-02	8.074927e-03	4.311848e-03
6e-05         	4.045779e-02	7.291908e-02	4.557829e-02	6.282874e-03	4.139212e-03
7e-05         	3.625710e-02	5.917491e-02	4.589600e-02	4.993717e-03	3.701892e-03
8e-05         	3.335165e-02	4.944923e-02	4.500095e-02	4.060600e-03	3.233255e-03
9e-05         	3.161250e-02	4.277923e-02	4.318435e-02	3.415787e-03	2.817118e-03
0.0001        	3.008998e-02	3.991213e-02	4.093026e-02	2.943426e-03	2.453679e-03
0.00011       	2.869128e-02	4.093181e-02	3.856486e-02	2.601262e-03	2.229583e-03
0.00012       	2.743265e-02	4.247222e-02	3.639153e-02	2.337678e-03	2.049285e-03
0.00013       	2.638121e-02	4.357069e-02	3.455429e-02	2.127968e-03	1.900140e-03
0.00014       	2.560924e-02	4.383007e-02	3.268625e-02	1.954937e-03	1.778638e-03
0.00015       	2.490817e-02	4.307937e-02	3.086948e-02	1.804233e-03	1.657184e-03
0.00016       	2.420567e-02	4.134806e-02	2.915116e-02	1.677021e-03	1.556131e-03
0.00017       	2.351182e-02	3.857842e-02	2.757182e-02	1.571839e-03	1.471750e-03
0.00018       	2.282288e-02	3.527351e-02	2.613389e-02	1.489582e-03	1.398952e-03
0.00019       	2.213999e-02	3.203244e-02	2.482430e-02	1.423366e-03	1.341479e-03
0.0002        	2.147089e-02	2.924797e-02	2.362968e-02	1.367030e-03	1.298252e-03
0.00021       	2.078370e-02	2.684683e-02	2.252679e-02	1.320947e-03	1.259653e-03
0.00022       	2.008693e-02	2.460342e-02	2.151889e-02	1.280890e-03	1.223842e-03
0.00023       	1.938671e-02	2.253024e-02	2.059380e-02	1.245234e-03	1.189643e-03
0.00024       	1.870932e-02	2.077471e-02	1.971857e-02	1.209542e-03	1.153727e-03
0.00025       	1.820512e-02	1.962990e-02	1.888989e-02	1.173656e-03	1.114691e-03
0.00026       	1.785544e-02	1.901057e-02	1.810178e-02	1.139249e-03	1.080390e-03
0.00027       	1.754463e-02	1.853036e-02	1.734616e-02	1.105812e-03	1.047082e-03
0.00028       	1.729628e-02	1.802973e-02	1.667323e-02	1.073099e-03	1.015390e-03
0.00029       	1.706527e-02	1.743037e-02	1.614338e-02	1.040769e-03	9.816868e-04
0.0003        	1.684274e-02	1.669752e-02	1.567251e-02	1.009539e-03	9.485877e-04
0.00031       	1.662246e-02	1.578773e-02	1.522783e-02	9.780656e-04	9.150715e-04
0.00032       	1.634030e-02	1.474916e-02	1.481149e-02	9.471759e-04	8.864613e-04
0.00033       	1.601068e-02	1.373671e-02	1.441160e-02	9.181525e-04	8.606420e-04
0.00034       	1.565057e-02	1.292336e-02	1.402077e-02	8.905394e-04	8.396538e-04
0.00035       	1.525196e-02	1.257092e-02	1.362626e-02	8.645493e-04	8.194235e-04
0.00036       	1.480640e-02	1.274502e-02	1.320341e-02	8.405977e-04	7.991182e-04
0.00037       	1.433540e-02	1.314085e-02	1.276739e-02	8.189711e-04	7.782339e-04
0.00038       	1.389491e-02	1.360722e-02	1.233585e-02	7.987860e-04	7.578575e-04
0.00039       	1.351471e-02	1.405618e-02	1.190732e-02	7.795824e-04	7.383842e-04
0.0004        	1.324832e-02	1.442098e-02	1.148263e-02	7.615793e-04	7.201892e-04
0.00041       	1.300109e-02	1.467674e-02	1.107763e-02	7.445158e-04	7.035955e-04
0.00042       	1.275692e-02	1.480386e-02	1.070426e-02	7.283534e-04	6.875783e-04
0.00043       	1.251140e-02	1.482716e-02	1.039965e-02	7.129167e-04	6.724803e-04
0.00044       	1.225872e-02	1.482704e-02	1.013550e-02	6.982055e-04	6.588336e-04
0.00045       	1.200094e-02	1.505041e-02	9.880657e-03	6.841135e-04	6.463322e-04
0.00046       	1.174116e-02	1.545827e-02	9.634476e-03	6.704595e-04	6.341148e-04
0.00047       	1.144984e-02	1.594785e-02	9.399577e-03	6.576027e-04	6.222883e-04
0.00048       	1.114458e-02	1.648446e-02	9.173590e-03	6.453365e-04	6.106363e-04
0.00049       	1.084899e-02	1.701801e-02	8.950657e-03	6.346431e-04	5.996800e-04
0.0005        	1.058296e-02	1.750216e-02	8.731076e-03	6.244671e-04	5.890174e-04
0.00051       	1.037063e-02	1.788503e-02	8.519895e-03	6.148270e-04	5.788210e-04
0.00052       	1.015917e-02	1.815473e-02	8.324101e-03	6.056365e-04	5.695689e-04
0.00053       	9.934532e-03	1.831550e-02	8.155302e-03	5.967606e-04	5.608997e-04
0.00054       	9.707089e-03	1.833937e-02	8.022202e-03	5.880953e-04	5.522515e-04
0.00055       	9.477807e-03	1.822590e-02	7.883046e-03	5.798665e-04	5.439977e-04
0.00056       	9.246441e-03	1.799754e-02	7.738513e-03	5.721774e-04	5.350199e-04
0.00057       	9.024380e-03	1.765664e-02	7.601152e-03	5.647651e-04	5.273778e-04
0.00058       	8.818817e-03	1.722356e-02	7.475303e-03	5.575578e-04	5.194289e-04
0.00059       	8.618908e-03	1.671412e-02	7.353205e-03	5.502617e-04	5.113404e-04
0.0006        	8.421827e-03	1.608791e-02	7.234931e-03	5.432719e-04	5.044185e-04
0.00061       	8.231028e-03	1.536133e-02	7.127150e-03	5.366034e-04	4.978429e-04
0.00062       	8.059555e-03	1.462533e-02	7.038112e-03	5.303416e-04	4.916178e-04
0.00063       	7.906094e-03	1.389032e-02	6.949143e-03	5.243504e-04	4.856916e-04
0.00064       	7.754506e-03	1.320971e-02	6.856940e-03	5.184924e-04	4.799818e-04
0.00065       	7.602593e-03	1.259563e-02	6.762625e-03	5.128430e-04	4.749050e-04
0.00066       	7.449619e-03	1.216225e-02	6.666566e-03	5.078267e-04	4.710354e-04
0.00067       	7.311744e-03	1.183933e-02	6.576001e-03	5.031749e-04	4.647831e-04
0.00068       	7.190502e-03	1.161789e-02	6.490567e-03	4.986234e-04	4.598486e-04
0.00069       	7.080847e-03	1.150256e-02	6.410226e-03	4.943423e-04	4.551412e-04
0.0007        	6.962949e-03	1.152968e-02	6.338541e-03	4.903164e-04	4.506672e-04
0.00071       	6.842888e-03	1.165320e-02	6.264164e-03	4.864212e-04	4.464306e-04
0.00072       	6.733356e-03	1.182508e-02	6.185167e-03	4.827046e-04	4.421171e-04
0.00073       	6.616395e-03	1.203902e-02	6.112004e-03	4.789869e-04	4.380950e-04
0.00074       	6.511680e-03	1.227034e-02	6.036434e-03	4.754096e-04	4.345399e-04
0.00075       	6.406730e-03	1.253799e-02	5.959109e-03	4.720994e-04	4.311806e-04
0.00076       	6.306314e-03	1.282843e-02	5.885258e-03	4.688749e-04	4.282199e-04
0.00077       	6.216804e-03	1.314187e-02	5.808009e-03	4.657424e-04	4.254909e-04
0.00078       	6.128226e-03	1.346664e-02	5.728110e-03	4.628683e-04	4.230438e-04
0.00079       	6.032560e-03	1.381365e-02	5.650897e-03	4.600769e-04	4.204690e-04
0.0008        	5.949418e-03	1.417308e-02	5.570131e-03	4.576065e-04	4.181697e-04
0.00081       	5.868722e-03	1.452186e-02	5.490924e-03	4.553132e-04	4.162684e-04
0.00082       	5.805063e-03	1.483542e-02	5.412022e-03	4.530223e-04	4.143919e-04
0.00083       	5.743832e-03	1.510413e-02	5.332506e-03	4.508792e-04	4.124751e-04
0.00084       	5.687051e-03	1.532599e-02	5.256959e-03	4.487181e-04	4.106324e-04
0.00085       	5.637079e-03	1.547667e-02	5.184090e-03	4.466294e-04	4.090639e-04
0.00086       	5.586939e-03	1.554854e-02	5.111784e-03	4.448478e-04	4.081437e-04
0.00087       	5.549849e-03	1.553170e-02	5.040294e-03	4.432217e-04	4.076618e-04
0.00088       	5.506983e-03	1.543109e-02	4.971070e-03	4.417820e-04	4.076419e-04
0.00089       	5.469738e-03	1.524858e-02	4.904569e-03	4.405365e-04	4.085464e-04
0.0009        	5.426742e-03	1.498744e-02	4.840929e-03	4.396096e-04	4.098831e-04
0.00091       	5.383372e-03	1.468820e-02	4.781359e-03	4.392854e-04	4.118248e-04
0.00092       	5.336798e-03	1.433954e-02	4.726208e-03	4.393258e-04	4.143701e-04
0.00093       	5.284216e-03	1.399801e-02	4.676244e-03	4.399413e-04	4.174973e-04
0.00094       	5.227488e-03	1.365889e-02	4.630814e-03	4.410469e-04	4.213245e-04
0.00095       	5.166248e-03	1.333429e-02	4.591069e-03	4.424227e-04	4.253033e-04
0.00096       	5.102286e-03	1.306967e-02	4.558888e-03	4.437850e-04	4.288254e-04
0.00097       	5.035461e-03	1.288209e-02	4.531302e-03	4.456362e-04	4.329388e-04
0.00098       	4.965365e-03	1.277099e-02	4.507010e-03	4.476579e-04	4.372848e-04
0.00099       	4.889079e-03	1.267511e-02	4.485172e-03	4.497965e-04	4.410135e-04
0.001         	4.814688e-03	1.262994e-02	4.464008e-03	4.526661e-04	4.473776e-04
0.00101       	4.737524e-03	1.259576e-02	4.443910e-03	4.558727e-04	4.530753e-04
0.00102       	4.661118e-03	1.260555e-02	4.424038e-03	4.590225e-04	4.577427e-04
0.00103       	4.590631e-03	1.262463e-02	4.403317e-03	4.613374e-04	4.655353e-04
0.00104       	4.527891e-03	1.268229e-02	4.381672e-03	4.634025e-04	4.680519e-04
0.00105       	4.474577e-03	1.274012e-02	4.358874e-03	4.657484e-04	4.728816e-04
0.00106       	4.436433e-03	1.281623e-02	4.334315e-03	4.681961e-04	4.763821e-04
0.00107       	4.409859e-03	1.288646e-02	4.307741e-03	4.707802e-04	4.800878e-04
0.00108       	4.392624e-03	1.295748e-02	4.279754e-03	4.728414e-04	4.817198e-04
0.00109       	4.390753e-03	1.302008e-02	4.249042e-03	4.745130e-04	4.832240e-04
0.0011        	4.404267e-03	1.306974e-02	4.215706e-03	4.753167e-04	4.846492e-04
0.00111       	4.428247e-03	1.312217e-02	4.180197e-03	4.759421e-04	4.835970e-04
0.00112       	4.458751e-03	1.317036e-02	4.142047e-03	4.764075e-04	4.839138e-04
0.00113       	4.494266e-03	1.322147e-02	4.101028e-03	4.767408e-04	4.832780e-04
0.00114       	4.532987e-03	1.327038e-02	4.058491e-03	4.765420e-04	4.816631e-04
0.00115       	4.572416e-03	1.332773e-02	4.013957e-03	4.754500e-04	4.796325e-04
0.00116       	4.614086e-03	1.346434e-02	3.967897e-03	4.736210e-04	4.765582e-04
0.00117       	4.653920e-03	1.372087e-02	3.920512e-03	4.712738e-04	4.732744e-04
0.00118       	4.691562e-03	1.407078e-02	3.872867e-03	4.691335e-04	4.711238e-04
0.00119       	4.724914e-03	1.442599e-02	3.824653e-03	4.673213e-04	4.690119e-04
0.0012        	4.755649e-03	1.477740e-02	3.775972e-03	4.657554e-04	4.656195e-04
0.00121       	4.781967e-03	1.508123e-02	3.728597e-03	4.635493e-04	4.617413e-04
0.00122       	4.803602e-03	1.528071e-02	3.683592e-03	4.608499e-04	4.571904e-04
0.00123       	4.819065e-03	1.535821e-02	3.640528e-03	4.580791e-04	4.539327e-04
0.00124       	4.834252e-03	1.535580e-02	3.599489e-03	4.556295e-04	4.518224e-04
0.00125       	4.841806e-03	1.523398e-02	3.560613e-03	4.532274e-04	4.492194e-04
0.00126       	4.847284e-03	1.507829e-02	3.524598e-03	4.508780e-04	4.464526e-04
0.00127       	4.845348e-03	1.486973e-02	3.490245e-03	4.490375e-04	4.440438e-04
0.00128       	4.845811e-03	1.465212e-02	3.457864e-03	4.466291e-04	4.411496e-04
0.00129       	4.835381e-03	1.446398e-02	3.427641e-03	4.442987e-04	4.385774e-04
0.0013        	4.829343e-03	1.426231e-02	3.398815e-03	4.421740e-04	4.370130e-04
0.00131       	4.811534e-03	1.406386e-02	3.370978e-03	4.405436e-04	4.358187e-04
0.00132       	4.800991e-03	1.391304e-02	3.343309e-03	4.390154e-04	4.338180e-04
0.00133       	4.777561e-03	1.384681e-02	3.315142e-03	4.375745e-04	4.320045e-04
0.00134       	4.757929e-03	1.393671e-02	3.288004e-03	4.362769e-04	4.303839e-04
0.00135       	4.721183e-03	1.414765e-02	3.260466e-03	4.352887e-04	4.284870e-04
