# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.065644e+02
1.19904e-05   	3.065677e+02
2.62999e-05   	3.065703e+02
4.29227e-05   	3.065746e+02
6.18525e-05   	3.065816e+02
8.30879e-05   	3.065912e+02
0.00010615    	3.066029e+02
0.000129106   	3.066154e+02
0.000151955   	3.066283e+02
0.000174752   	3.066417e+02
0.000197443   	3.066554e+02
0.000220082   	3.066695e+02
0.000242668   	3.066838e+02
0.000265202   	3.066985e+02
0.000287736   	3.067134e+02
0.000310271   	3.067286e+02
0.000332753   	3.067440e+02
0.000355235   	3.067595e+02
0.000377717   	3.067751e+02
0.000400199   	3.067909e+02
0.000422681   	3.068068e+02
0.000445163   	3.068228e+02
0.000467592   	3.068387e+02
0.000490021   	3.068548e+02
0.00051245    	3.068708e+02
0.000534879   	3.068870e+02
0.000557309   	3.069031e+02
0.000579738   	3.069194e+02
0.000602114   	3.069356e+02
0.00062449    	3.069519e+02
0.000646865   	3.069682e+02
0.000669241   	3.069846e+02
0.000691617   	3.070011e+02
0.00071394    	3.070176e+02
0.000736262   	3.070342e+02
0.000758584   	3.070508e+02
0.000780853   	3.070674e+02
0.000803067   	3.070840e+02
0.000825282   	3.071007e+02
0.000847443   	3.071173e+02
0.000869551   	3.071339e+02
0.000891605   	3.071505e+02
0.000913606   	3.071671e+02
0.000935554   	3.071837e+02
0.000957396   	3.072002e+02
0.000979185   	3.072166e+02
0.00100092    	3.072330e+02
0.00102261    	3.072494e+02
0.00104424    	3.072658e+02
0.00106582    	3.072821e+02
0.00108735    	3.072984e+02
0.00110882    	3.073146e+02
0.0011303     	3.073309e+02
0.00115172    	3.073470e+02
0.00117315    	3.073632e+02
0.00119457    	3.073794e+02
0.001216      	3.073956e+02
0.00123742    	3.074117e+02
0.00125885    	3.074279e+02
0.00128027    	3.074440e+02
0.0013017     	3.074600e+02
0.00132312    	3.074761e+02
0.00134454    	3.074921e+02
0.00136597    	3.075081e+02
0.00138739    	3.075241e+02
0.00140887    	3.075400e+02
0.00143035    	3.075559e+02
0.00145183    	3.075718e+02
0.0014733     	3.075876e+02
0.00149478    	3.076034e+02
0.00151626    	3.076191e+02
0.00153774    	3.076348e+02
0.00155922    	3.076504e+02
0.00158069    	3.076659e+02
0.00160217    	3.076814e+02
0.00162365    	3.076969e+02
0.00164513    	3.077123e+02
0.0016666     	3.077277e+02
0.00168808    	3.077431e+02
0.00170956    	3.077584e+02
0.00173109    	3.077737e+02
0.00175263    	3.077890e+02
0.00177416    	3.078043e+02
0.00179569    	3.078196e+02
0.00181723    	3.078349e+02
0.00183876    	3.078503e+02
0.00186035    	3.078657e+02
0.00188194    	3.078811e+02
0.00190353    	3.078966e+02
0.00192512    	3.079122e+02
0.00194677    	3.079279e+02
0.00196842    	3.079436e+02
0.00199007    	3.079595e+02
0.00201172    	3.079754e+02
0.00203343    	3.079915e+02
0.00205513    	3.080076e+02
0.00207684    	3.080238e+02
