# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((2.396693e-04 3.093904e-02 -2.302912e-16) (8.384327e-06 -2.455374e-05 -3.940604e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215494e-17 1.064768e-16 -1.699716e-05) (-8.424530e-21 -4.475382e-21 -2.682248e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1.19904e-05   	((2.268488e-04 3.035444e-02 -2.303064e-16) (4.412753e-05 -6.279022e-04 6.013947e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215507e-17 1.064763e-16 -1.633827e-05) (1.806826e-18 -9.379795e-18 -1.529313e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2.62999e-05   	((2.300786e-04 3.009710e-02 -2.302791e-16) (6.866234e-06 3.488137e-05 1.143897e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215457e-17 1.064748e-16 -1.649631e-05) (3.463952e-19 -1.441216e-18 -2.023238e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
4.29227e-05   	((2.319883e-04 2.999605e-02 -2.302697e-16) (9.112512e-06 2.276988e-05 2.544329e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215429e-17 1.064746e-16 -1.672008e-05) (7.671286e-19 -2.820685e-18 -2.778150e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
6.18525e-05   	((2.338190e-04 3.004560e-02 -2.302871e-16) (1.003068e-05 2.318926e-05 2.944238e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215465e-17 1.064749e-16 -1.686201e-05) (8.877289e-19 -2.957409e-18 -3.046353e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
8.30879e-05   	((2.367655e-04 3.014849e-02 -2.303073e-16) (1.058875e-05 2.371815e-05 3.281562e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215507e-17 1.064750e-16 -1.668704e-05) (9.895792e-19 -3.079617e-18 -3.187448e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00010615    	((2.334755e-04 3.025017e-02 -2.303137e-16) (1.087082e-05 2.543787e-05 3.479782e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215516e-17 1.064753e-16 -1.592639e-05) (1.049587e-18 -3.176838e-18 -3.247227e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000129106   	((2.294375e-04 3.030876e-02 -2.303085e-16) (1.094481e-05 2.773218e-05 3.464018e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215500e-17 1.064753e-16 -1.517223e-05) (1.044855e-18 -3.189117e-18 -3.254315e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000151955   	((2.303951e-04 3.034382e-02 -2.303001e-16) (1.097105e-05 3.044004e-05 3.476468e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215480e-17 1.064752e-16 -1.504472e-05) (1.048585e-18 -3.190259e-18 -3.269073e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000174752   	((2.397678e-04 3.035906e-02 -2.302948e-16) (1.100664e-05 3.305519e-05 3.494274e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215467e-17 1.064751e-16 -1.576940e-05) (1.053936e-18 -3.190521e-18 -3.292414e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
