# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.015050e+05
1.19904e-05   	1.015063e+05
2.62999e-05   	1.015320e+05
4.29227e-05   	1.015559e+05
6.18525e-05   	1.015750e+05
8.30879e-05   	1.015875e+05
0.00010615    	1.015935e+05
0.000129106   	1.015948e+05
0.000151955   	1.015937e+05
0.000174752   	1.015919e+05
0.000197443   	1.015901e+05
0.000220082   	1.015885e+05
0.000242668   	1.015872e+05
0.000265202   	1.015862e+05
0.000287736   	1.015852e+05
0.000310271   	1.015843e+05
0.000332753   	1.015834e+05
0.000355235   	1.015824e+05
0.000377717   	1.015815e+05
0.000400199   	1.015806e+05
0.000422681   	1.015798e+05
0.000445163   	1.015789e+05
0.000467592   	1.015781e+05
0.000490021   	1.015773e+05
0.00051245    	1.015766e+05
0.000534879   	1.015759e+05
0.000557309   	1.015751e+05
0.000579738   	1.015744e+05
0.000602114   	1.015738e+05
0.00062449    	1.015731e+05
0.000646865   	1.015725e+05
0.000669241   	1.015718e+05
0.000691617   	1.015712e+05
0.00071394    	1.015706e+05
0.000736262   	1.015700e+05
0.000758584   	1.015694e+05
0.000780853   	1.015688e+05
0.000803067   	1.015682e+05
0.000825282   	1.015676e+05
0.000847443   	1.015670e+05
0.000869551   	1.015664e+05
0.000891605   	1.015658e+05
0.000913606   	1.015652e+05
0.000935554   	1.015646e+05
0.000957396   	1.015640e+05
0.000979185   	1.015635e+05
0.00100092    	1.015629e+05
0.00102261    	1.015624e+05
0.00104424    	1.015618e+05
0.00106582    	1.015613e+05
0.00108735    	1.015607e+05
0.00110882    	1.015602e+05
0.0011303     	1.015597e+05
0.00115172    	1.015591e+05
0.00117315    	1.015586e+05
0.00119457    	1.015581e+05
0.001216      	1.015576e+05
0.00123742    	1.015571e+05
0.00125885    	1.015566e+05
0.00128027    	1.015562e+05
0.0013017     	1.015557e+05
0.00132312    	1.015553e+05
0.00134454    	1.015550e+05
0.00136597    	1.015546e+05
0.00138739    	1.015543e+05
0.00140887    	1.015541e+05
0.00143035    	1.015540e+05
0.00145183    	1.015539e+05
0.0014733     	1.015538e+05
0.00149478    	1.015539e+05
0.00151626    	1.015541e+05
0.00153774    	1.015543e+05
0.00155922    	1.015546e+05
0.00158069    	1.015550e+05
0.00160217    	1.015555e+05
0.00162365    	1.015561e+05
0.00164513    	1.015567e+05
0.0016666     	1.015573e+05
0.00168808    	1.015580e+05
0.00170956    	1.015587e+05
0.00173109    	1.015593e+05
0.00175263    	1.015599e+05
0.00177416    	1.015604e+05
