# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
1.19904e-05   	1.013572e+05
2.62999e-05   	1.013771e+05
4.29227e-05   	1.013870e+05
6.18525e-05   	1.013902e+05
8.30879e-05   	1.013897e+05
0.00010615    	1.013877e+05
0.000129106   	1.013854e+05
0.000151955   	1.013832e+05
0.000174752   	1.013812e+05
0.000197443   	1.013795e+05
0.000220082   	1.013782e+05
0.000242668   	1.013771e+05
0.000265202   	1.013763e+05
0.000287736   	1.013757e+05
0.000310271   	1.013753e+05
0.000332753   	1.013751e+05
0.000355235   	1.013750e+05
0.000377717   	1.013750e+05
0.000400199   	1.013750e+05
0.000422681   	1.013750e+05
0.000445163   	1.013750e+05
0.000467592   	1.013751e+05
0.000490021   	1.013751e+05
0.00051245    	1.013751e+05
0.000534879   	1.013750e+05
0.000557309   	1.013749e+05
0.000579738   	1.013748e+05
0.000602114   	1.013746e+05
0.00062449    	1.013745e+05
0.000646865   	1.013743e+05
0.000669241   	1.013741e+05
0.000691617   	1.013740e+05
0.00071394    	1.013738e+05
0.000736262   	1.013737e+05
0.000758584   	1.013735e+05
0.000780853   	1.013734e+05
0.000803067   	1.013733e+05
0.000825282   	1.013732e+05
0.000847443   	1.013731e+05
0.000869551   	1.013730e+05
0.000891605   	1.013729e+05
0.000913606   	1.013728e+05
0.000935554   	1.013726e+05
0.000957396   	1.013725e+05
0.000979185   	1.013724e+05
0.00100092    	1.013723e+05
0.00102261    	1.013722e+05
0.00104424    	1.013720e+05
0.00106582    	1.013719e+05
0.00108735    	1.013718e+05
0.00110882    	1.013717e+05
0.0011303     	1.013716e+05
0.00115172    	1.013714e+05
0.00117315    	1.013713e+05
0.00119457    	1.013712e+05
0.001216      	1.013712e+05
0.00123742    	1.013711e+05
0.00125885    	1.013710e+05
0.00128027    	1.013709e+05
0.0013017     	1.013708e+05
0.00132312    	1.013707e+05
0.00134454    	1.013707e+05
0.00136597    	1.013706e+05
0.00138739    	1.013705e+05
0.00140887    	1.013704e+05
0.00143035    	1.013704e+05
0.00145183    	1.013703e+05
0.0014733     	1.013702e+05
0.00149478    	1.013701e+05
0.00151626    	1.013701e+05
0.00153774    	1.013700e+05
0.00155922    	1.013699e+05
0.00158069    	1.013698e+05
0.00160217    	1.013698e+05
0.00162365    	1.013697e+05
0.00164513    	1.013697e+05
0.0016666     	1.013697e+05
0.00168808    	1.013697e+05
0.00170956    	1.013698e+05
0.00173109    	1.013699e+05
0.00175263    	1.013701e+05
0.00177416    	1.013703e+05
0.00179569    	1.013706e+05
0.00181723    	1.013710e+05
0.00183876    	1.013715e+05
0.00186035    	1.013721e+05
0.00188194    	1.013729e+05
0.00190353    	1.013738e+05
0.00192512    	1.013749e+05
0.00194677    	1.013761e+05
0.00196842    	1.013775e+05
0.00199007    	1.013792e+05
0.00201172    	1.013810e+05
0.00203343    	1.013830e+05
0.00205513    	1.013853e+05
0.00207684    	1.013877e+05
0.00209855    	1.013903e+05
0.00212025    	1.013931e+05
0.00214202    	1.013960e+05
0.00216379    	1.013991e+05
0.00218556    	1.014023e+05
0.00220732    	1.014056e+05
0.00222909    	1.014088e+05
0.00225086    	1.014122e+05
0.00227263    	1.014154e+05
0.00229439    	1.014187e+05
0.00231616    	1.014218e+05
0.00233793    	1.014249e+05
0.00235976    	1.014278e+05
0.00238159    	1.014305e+05
0.00240341    	1.014330e+05
0.00242524    	1.014354e+05
0.00244707    	1.014375e+05
0.0024689     	1.014394e+05
0.00249073    	1.014410e+05
0.00251256    	1.014424e+05
0.00253439    	1.014436e+05
0.00255622    	1.014446e+05
0.00257805    	1.014453e+05
0.00259988    	1.014459e+05
0.00262171    	1.014462e+05
0.00264354    	1.014464e+05
0.00266537    	1.014464e+05
0.0026872     	1.014463e+05
0.00270902    	1.014461e+05
0.00273085    	1.014458e+05
0.00275268    	1.014453e+05
0.00277451    	1.014448e+05
0.00279634    	1.014443e+05
0.00281817    	1.014436e+05
0.00284       	1.014430e+05
0.00286183    	1.014423e+05
0.00288366    	1.014416e+05
0.00290555    	1.014409e+05
0.00292745    	1.014402e+05
0.00294935    	1.014394e+05
0.00297124    	1.014387e+05
0.00299314    	1.014380e+05
0.00301504    	1.014373e+05
0.003037      	1.014366e+05
0.00305897    	1.014359e+05
0.00308093    	1.014352e+05
0.0031029     	1.014345e+05
0.00312486    	1.014338e+05
0.0031469     	1.014331e+05
0.00316893    	1.014324e+05
0.00319097    	1.014317e+05
0.00321301    	1.014311e+05
0.00323504    	1.014304e+05
0.00325715    	1.014297e+05
0.00327926    	1.014290e+05
0.00330137    	1.014283e+05
0.00332347    	1.014276e+05
