# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	2.214413e-02	1.178898e-03	5.406663e-04	4.290647e-04	4.089270e-04	9.583900e-04
2.62999e-05   	2.216639e-02	1.363410e-03	5.605483e-04	5.120772e-04	4.807785e-04	1.215041e-03
4.29227e-05   	1.671230e-02	1.515113e-03	6.579316e-04	5.917565e-04	5.482782e-04	1.439362e-03
6.18525e-05   	1.704203e-02	1.698136e-03	7.923002e-04	6.727330e-04	6.155557e-04	1.643005e-03
8.30879e-05   	1.813824e-02	1.875031e-03	9.353197e-04	7.542453e-04	6.843122e-04	1.849505e-03
0.00010615    	1.864298e-02	2.012331e-03	1.048149e-03	8.185895e-04	7.357947e-04	2.017151e-03
0.000129106   	1.762128e-02	1.989481e-03	1.060644e-03	8.140677e-04	7.249935e-04	2.017451e-03
0.000151955   	1.735558e-02	1.978178e-03	1.058928e-03	8.097119e-04	7.132242e-04	2.017907e-03
0.000174752   	1.679887e-02	1.979858e-03	1.093680e-03	8.075174e-04	7.032232e-04	2.022575e-03
0.000197443   	1.583895e-02	1.986697e-03	1.105764e-03	8.032146e-04	6.921961e-04	2.021128e-03
0.000220082   	1.483070e-02	2.001317e-03	1.131985e-03	8.006364e-04	6.828038e-04	2.019274e-03
0.000242668   	1.427091e-02	2.009950e-03	1.160451e-03	7.980054e-04	6.737785e-04	2.013004e-03
0.000265202   	1.366598e-02	2.005238e-03	1.172180e-03	7.954161e-04	6.656760e-04	2.006702e-03
0.000287736   	1.314057e-02	1.991296e-03	1.177746e-03	7.946011e-04	6.593483e-04	2.005307e-03
0.000310271   	1.284147e-02	1.964851e-03	1.180170e-03	7.936881e-04	6.533969e-04	2.003814e-03
0.000332753   	1.245995e-02	1.924965e-03	1.188997e-03	7.910539e-04	6.463034e-04	1.997360e-03
0.000355235   	1.218880e-02	1.883765e-03	1.200465e-03	7.903438e-04	6.410674e-04	1.995115e-03
0.000377717   	1.199309e-02	1.841344e-03	1.209518e-03	7.896454e-04	6.362536e-04	1.992490e-03
0.000400199   	1.168505e-02	1.802363e-03	1.221556e-03	7.889626e-04	6.314634e-04	1.989520e-03
0.000422681   	1.137532e-02	1.771308e-03	1.230673e-03	7.883722e-04	6.270120e-04	1.986248e-03
0.000445163   	1.104596e-02	1.752405e-03	1.238986e-03	7.878882e-04	6.229363e-04	1.983062e-03
0.000467592   	1.070152e-02	1.743858e-03	1.242592e-03	7.856546e-04	6.180840e-04	1.975255e-03
0.000490021   	1.041273e-02	1.752078e-03	1.243462e-03	7.853503e-04	6.149411e-04	1.972149e-03
0.00051245    	1.011851e-02	1.769539e-03	1.243367e-03	7.850752e-04	6.120219e-04	1.969210e-03
0.000534879   	9.923964e-03	1.792545e-03	1.237724e-03	7.848331e-04	6.091916e-04	1.966344e-03
0.000557309   	9.763983e-03	1.819263e-03	1.231618e-03	7.846386e-04	6.065211e-04	1.964074e-03
0.000579738   	9.653407e-03	1.848306e-03	1.220272e-03	7.844705e-04	6.038581e-04	1.962130e-03
0.000602114   	9.499408e-03	1.873543e-03	1.205990e-03	7.824441e-04	5.999641e-04	1.956044e-03
0.00062449    	9.366840e-03	1.901924e-03	1.191296e-03	7.822782e-04	5.977100e-04	1.954741e-03
0.000646865   	9.231707e-03	1.927384e-03	1.177582e-03	7.821048e-04	5.956702e-04	1.953762e-03
0.000669241   	9.104650e-03	1.949229e-03	1.163579e-03	7.819412e-04	5.937566e-04	1.952929e-03
0.000691617   	8.998281e-03	1.966660e-03	1.150678e-03	7.817911e-04	5.921278e-04	1.952250e-03
0.00071394    	8.867955e-03	1.975118e-03	1.136831e-03	7.797676e-04	5.894838e-04	1.947014e-03
0.000736262   	8.756093e-03	1.984841e-03	1.126349e-03	7.796525e-04	5.885169e-04	1.946386e-03
0.000758584   	8.658534e-03	1.991891e-03	1.117218e-03	7.795814e-04	5.877834e-04	1.945738e-03
0.000780853   	8.532817e-03	1.991974e-03	1.106392e-03	7.776549e-04	5.858845e-04	1.940436e-03
0.000803067   	8.390116e-03	1.990186e-03	1.096525e-03	7.757501e-04	5.842321e-04	1.935046e-03
0.000825282   	8.255771e-03	1.992546e-03	1.090904e-03	7.757282e-04	5.841833e-04	1.934158e-03
0.000847443   	8.074928e-03	1.990885e-03	1.084401e-03	7.738377e-04	5.830177e-04	1.928327e-03
0.000869551   	7.852608e-03	1.991007e-03	1.080223e-03	7.719903e-04	5.821306e-04	1.922192e-03
0.000891605   	7.598753e-03	1.992287e-03	1.078411e-03	7.701672e-04	5.814479e-04	1.915651e-03
0.000913606   	7.301461e-03	1.994133e-03	1.079287e-03	7.684153e-04	5.809012e-04	1.908568e-03
0.000935554   	6.956390e-03	1.996257e-03	1.083670e-03	7.666948e-04	5.804492e-04	1.900930e-03
0.000957396   	6.545998e-03	1.993526e-03	1.089289e-03	7.631120e-04	5.786881e-04	1.888190e-03
0.000979185   	6.110842e-03	1.994439e-03	1.100774e-03	7.613639e-04	5.783607e-04	1.879516e-03
0.00100092    	5.642148e-03	1.993623e-03	1.113977e-03	7.596101e-04	5.780672e-04	1.870059e-03
0.00102261    	5.138425e-03	1.990435e-03	1.127174e-03	7.578344e-04	5.777401e-04	1.859403e-03
