# Source     : particleCollector
# Bins       : 30
# Total area : 0.00784591
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(0.00623339 0 -0.00202535)	3.13836e-05
#	1	(0.00385245 0 -0.00530244)	3.13836e-05
#	2	(4.91999e-19 0 -0.00655417)	3.13836e-05
#	3	(-0.00385245 0 -0.00530244)	3.13836e-05
#	4	(-0.00623339 0 -0.00202535)	3.13836e-05
#	5	(-0.00623339 0 0.00202535)	3.13836e-05
#	6	(-0.00385245 0 0.00530244)	3.13836e-05
#	7	(-8.43426e-19 0 0.00655417)	3.13836e-05
#	8	(0.00385245 0 0.00530244)	3.13836e-05
#	9	(0.00623339 0 0.00202535)	3.13836e-05
#	10	(0.0173644 0 -0.00564205)	0.000164764
#	11	(0.0107318 0 -0.0147711)	0.000164764
#	12	(1.71363e-18 0 -0.0182581)	0.000164764
#	13	(-0.0107318 0 -0.0147711)	0.000164764
#	14	(-0.0173644 0 -0.00564205)	0.000164764
#	15	(-0.0173644 0 0.00564205)	0.000164764
#	16	(-0.0107318 0 0.0147711)	0.000164764
#	17	(-2.57044e-18 0 0.0182581)	0.000164764
#	18	(0.0107318 0 0.0147711)	0.000164764
#	19	(0.0173644 0 0.00564205)	0.000164764
#	20	(0.0363614 0 -0.0118145)	0.000588443
#	21	(0.0224726 0 -0.0309309)	0.000588443
#	22	(3.59862e-18 0 -0.0382327)	0.000588443
#	23	(-0.0224726 0 -0.0309309)	0.000588443
#	24	(-0.0363614 0 -0.0118145)	0.000588443
#	25	(-0.0363614 0 0.0118145)	0.000588443
#	26	(-0.0224726 0 0.0309309)	0.000588443
#	27	(-6.2376e-18 0 0.0382327)	0.000588443
#	28	(0.0224726 0 0.0309309)	0.000588443
#	29	(0.0363614 0 0.0118145)	0.000588443
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
#	Time	bin_1	mass[1]	massFlowRate[1]
#	Time	bin_2	mass[2]	massFlowRate[2]
#	Time	bin_3	mass[3]	massFlowRate[3]
#	Time	bin_4	mass[4]	massFlowRate[4]
#	Time	bin_5	mass[5]	massFlowRate[5]
#	Time	bin_6	mass[6]	massFlowRate[6]
#	Time	bin_7	mass[7]	massFlowRate[7]
#	Time	bin_8	mass[8]	massFlowRate[8]
#	Time	bin_9	mass[9]	massFlowRate[9]
#	Time	bin_10	mass[10]	massFlowRate[10]
#	Time	bin_11	mass[11]	massFlowRate[11]
#	Time	bin_12	mass[12]	massFlowRate[12]
#	Time	bin_13	mass[13]	massFlowRate[13]
#	Time	bin_14	mass[14]	massFlowRate[14]
#	Time	bin_15	mass[15]	massFlowRate[15]
#	Time	bin_16	mass[16]	massFlowRate[16]
#	Time	bin_17	mass[17]	massFlowRate[17]
#	Time	bin_18	mass[18]	massFlowRate[18]
#	Time	bin_19	mass[19]	massFlowRate[19]
#	Time	bin_20	mass[20]	massFlowRate[20]
#	Time	bin_21	mass[21]	massFlowRate[21]
#	Time	bin_22	mass[22]	massFlowRate[22]
#	Time	bin_23	mass[23]	massFlowRate[23]
#	Time	bin_24	mass[24]	massFlowRate[24]
#	Time	bin_25	mass[25]	massFlowRate[25]
#	Time	bin_26	mass[26]	massFlowRate[26]
#	Time	bin_27	mass[27]	massFlowRate[27]
#	Time	bin_28	mass[28]	massFlowRate[28]
#	Time	bin_29	mass[29]	massFlowRate[29]
0.0005	0	0	0
0.0005	1	0	0
0.0005	2	0	0
0.0005	3	0	0
0.0005	4	0	0
0.0005	5	0	0
0.0005	6	0	0
0.0005	7	0	0
0.0005	8	0	0
0.0005	9	0	0
0.0005	10	0	0
0.0005	11	0	0
0.0005	12	0	0
0.0005	13	0	0
0.0005	14	0	0
0.0005	15	0	0
0.0005	16	0	0
0.0005	17	0	0
0.0005	18	0	0
0.0005	19	0	0
0.0005	20	0	0
0.0005	21	0	0
0.0005	22	0	0
0.0005	23	0	0
0.0005	24	0	0
0.0005	25	0	0
0.0005	26	0	0
0.0005	27	0	0
0.0005	28	0	0
0.0005	29	0	0
0.001	0	0	0
0.001	1	0	0
0.001	2	0	0
0.001	3	0	0
0.001	4	0	0
0.001	5	0	0
0.001	6	0	0
0.001	7	0	0
0.001	8	0	0
0.001	9	0	0
0.001	10	0	0
0.001	11	0	0
0.001	12	0	0
0.001	13	0	0
0.001	14	0	0
0.001	15	0	0
0.001	16	0	0
0.001	17	0	0
0.001	18	0	0
0.001	19	0	0
0.001	20	0	0
0.001	21	0	0
0.001	22	0	0
0.001	23	0	0
0.001	24	0	0
0.001	25	0	0
0.001	26	0	0
0.001	27	0	0
0.001	28	0	0
0.001	29	0	0
0.0015	0	0	0
0.0015	1	0	0
0.0015	2	0	0
0.0015	3	0	0
0.0015	4	0	0
0.0015	5	0	0
0.0015	6	0	0
0.0015	7	0	0
0.0015	8	0	0
0.0015	9	0	0
0.0015	10	0	0
0.0015	11	0	0
0.0015	12	0	0
0.0015	13	0	0
0.0015	14	0	0
0.0015	15	0	0
0.0015	16	0	0
0.0015	17	0	0
0.0015	18	0	0
0.0015	19	0	0
0.0015	20	0	0
0.0015	21	0	0
0.0015	22	0	0
0.0015	23	0	0
0.0015	24	0	0
0.0015	25	0	0
0.0015	26	0	0
0.0015	27	0	0
0.0015	28	0	0
0.0015	29	0	0
0.002	0	0	0
0.002	1	0	0
0.002	2	0	0
0.002	3	0	0
0.002	4	0	0
0.002	5	0	0
0.002	6	0	0
0.002	7	0	0
0.002	8	0	0
0.002	9	0	0
0.002	10	0	0
0.002	11	0	0
0.002	12	0	0
0.002	13	0	0
0.002	14	0	0
0.002	15	0	0
0.002	16	0	0
0.002	17	0	0
0.002	18	0	0
0.002	19	0	0
0.002	20	0	0
0.002	21	0	0
0.002	22	0	0
0.002	23	0	0
0.002	24	0	0
0.002	25	0	0
0.002	26	0	0
0.002	27	0	0
0.002	28	0	0
0.002	29	0	0
0.0025	0	0	0
0.0025	1	0	0
0.0025	2	0	0
0.0025	3	0	0
0.0025	4	0	0
0.0025	5	0	0
0.0025	6	0	0
0.0025	7	0	0
0.0025	8	0	0
0.0025	9	0	0
0.0025	10	0	0
0.0025	11	0	0
0.0025	12	0	0
0.0025	13	0	0
0.0025	14	0	0
0.0025	15	0	0
0.0025	16	0	0
0.0025	17	0	0
0.0025	18	0	0
0.0025	19	0	0
0.0025	20	0	0
0.0025	21	0	0
0.0025	22	0	0
0.0025	23	0	0
0.0025	24	0	0
0.0025	25	0	0
0.0025	26	0	0
0.0025	27	0	0
0.0025	28	0	0
0.0025	29	0	0
0.003	0	0	0
0.003	1	0	0
0.003	2	0	0
0.003	3	0	0
0.003	4	0	0
0.003	5	0	0
0.003	6	0	0
0.003	7	0	0
0.003	8	0	0
0.003	9	0	0
