# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.015050e+05
1.19904e-05   	1.015050e+05
2.62999e-05   	1.015049e+05
4.29227e-05   	1.015048e+05
6.18525e-05   	1.015047e+05
8.30879e-05   	1.015046e+05
0.00010615    	1.015045e+05
0.000129106   	1.015043e+05
0.000151955   	1.015042e+05
0.000174752   	1.015041e+05
0.000197443   	1.015040e+05
0.000220082   	1.015039e+05
0.000242668   	1.015038e+05
0.000265202   	1.015037e+05
0.000287736   	1.015036e+05
0.000310271   	1.015036e+05
0.000332753   	1.015035e+05
0.000355235   	1.015034e+05
0.000377717   	1.015034e+05
0.000400199   	1.015034e+05
0.000422681   	1.015033e+05
0.000445163   	1.015033e+05
0.000467592   	1.015033e+05
0.000490021   	1.015033e+05
0.00051245    	1.015032e+05
0.000534879   	1.015032e+05
0.000557309   	1.015032e+05
0.000579738   	1.015032e+05
0.000602114   	1.015032e+05
0.00062449    	1.015032e+05
0.000646865   	1.015032e+05
0.000669241   	1.015032e+05
0.000691617   	1.015032e+05
0.000713993   	1.015032e+05
0.000736369   	1.015032e+05
0.000758745   	1.015032e+05
0.000781121   	1.015032e+05
0.000803497   	1.015032e+05
0.000825873   	1.015032e+05
0.000848249   	1.015031e+05
0.000870625   	1.015031e+05
0.000892946   	1.015031e+05
0.000915267   	1.015031e+05
0.000937588   	1.015030e+05
0.00095991    	1.015030e+05
0.000982231   	1.015029e+05
0.00100455    	1.015029e+05
0.00102687    	1.015028e+05
0.00104919    	1.015028e+05
0.00107152    	1.015027e+05
0.00109384    	1.015027e+05
0.00111616    	1.015026e+05
0.00113848    	1.015025e+05
0.0011608     	1.015025e+05
0.00118312    	1.015024e+05
0.00120539    	1.015023e+05
0.00122765    	1.015023e+05
0.00124992    	1.015022e+05
0.00127218    	1.015021e+05
0.00129445    	1.015020e+05
0.00131671    	1.015019e+05
0.00133892    	1.015019e+05
0.00136113    	1.015018e+05
0.00138333    	1.015017e+05
0.00140549    	1.015017e+05
0.00142764    	1.015016e+05
0.00144979    	1.015016e+05
0.00147188    	1.015015e+05
0.00149397    	1.015015e+05
0.00151607    	1.015014e+05
0.0015381     	1.015014e+05
0.00156014    	1.015014e+05
0.00158218    	1.015013e+05
0.00160421    	1.015013e+05
0.00162619    	1.015013e+05
0.00164817    	1.015012e+05
0.00167015    	1.015012e+05
0.00169213    	1.015012e+05
0.0017141     	1.015011e+05
0.00173608    	1.015011e+05
0.00175806    	1.015010e+05
0.00178004    	1.015010e+05
0.00180202    	1.015009e+05
0.001824      	1.015008e+05
0.00184598    	1.015007e+05
0.00186795    	1.015005e+05
0.00188993    	1.015003e+05
0.00191191    	1.015001e+05
0.00193389    	1.014998e+05
0.00195587    	1.014994e+05
0.00197791    	1.014989e+05
0.00199995    	1.014983e+05
0.00202198    	1.014977e+05
0.00204402    	1.014968e+05
0.00206606    	1.014959e+05
0.0020881     	1.014948e+05
0.00211014    	1.014936e+05
0.00213218    	1.014922e+05
0.00215422    	1.014906e+05
0.00217626    	1.014889e+05
0.00219829    	1.014870e+05
0.00222033    	1.014850e+05
0.00224237    	1.014828e+05
0.00226441    	1.014805e+05
0.00228645    	1.014781e+05
0.00230849    	1.014756e+05
0.00233053    	1.014730e+05
0.00235257    	1.014703e+05
0.0023746     	1.014676e+05
0.00239664    	1.014649e+05
0.00241868    	1.014622e+05
0.00244072    	1.014596e+05
0.00246276    	1.014570e+05
0.0024848     	1.014544e+05
0.00250684    	1.014520e+05
0.00252887    	1.014496e+05
0.00255098    	1.014474e+05
0.00257308    	1.014453e+05
0.00259519    	1.014434e+05
0.00261729    	1.014416e+05
0.00263939    	1.014399e+05
0.0026615     	1.014384e+05
0.0026836     	1.014371e+05
0.00270571    	1.014359e+05
0.00272781    	1.014349e+05
0.00274991    	1.014341e+05
0.00277202    	1.014333e+05
0.00279412    	1.014327e+05
0.00281623    	1.014322e+05
0.00283833    	1.014318e+05
0.00286043    	1.014316e+05
0.00288254    	1.014314e+05
0.00290464    	1.014312e+05
0.00292675    	1.014312e+05
0.00294885    	1.014312e+05
0.00297095    	1.014313e+05
0.00299306    	1.014314e+05
0.00301516    	1.014315e+05
0.00303727    	1.014317e+05
0.00305937    	1.014319e+05
0.00308147    	1.014321e+05
0.00310365    	1.014324e+05
0.00312582    	1.014326e+05
0.003148      	1.014329e+05
0.00317017    	1.014331e+05
0.00319235    	1.014334e+05
0.00321452    	1.014336e+05
0.0032367     	1.014339e+05
0.00325887    	1.014341e+05
0.00328112    	1.014344e+05
0.00330337    	1.014346e+05
0.00332561    	1.014349e+05
0.00334786    	1.014351e+05
0.00337011    	1.014353e+05
0.00339236    	1.014356e+05
0.00341461    	1.014358e+05
0.00343685    	1.014360e+05
0.00345918    	1.014362e+05
0.0034815     	1.014364e+05
0.00350383    	1.014366e+05
0.00352615    	1.014367e+05
0.00354847    	1.014369e+05
0.0035708     	1.014371e+05
0.00359312    	1.014373e+05
0.00361544    	1.014374e+05
0.00363777    	1.014376e+05
0.00366009    	1.014377e+05
0.00368241    	1.014378e+05
0.00370474    	1.014379e+05
0.00372706    	1.014380e+05
0.00374939    	1.014381e+05
0.00377171    	1.014382e+05
0.00379403    	1.014382e+05
0.00381636    	1.014383e+05
0.00383868    	1.014383e+05
0.003861      	1.014383e+05
0.00388333    	1.014382e+05
0.00390565    	1.014382e+05
0.00392797    	1.014382e+05
0.0039503     	1.014381e+05
0.00397262    	1.014380e+05
0.00399495    	1.014380e+05
0.00401719    	1.014379e+05
0.00403943    	1.014378e+05
0.00406167    	1.014378e+05
0.00408391    	1.014378e+05
0.00410615    	1.014377e+05
0.00412839    	1.014377e+05
0.00415063    	1.014377e+05
0.00417287    	1.014376e+05
0.00419511    	1.014376e+05
0.00421735    	1.014377e+05
0.0042396     	1.014377e+05
0.00426184    	1.014377e+05
0.00428408    	1.014378e+05
0.00430632    	1.014379e+05
0.00432856    	1.014380e+05
0.0043508     	1.014381e+05
0.00437304    	1.014382e+05
0.00439528    	1.014384e+05
0.00441752    	1.014386e+05
0.00443968    	1.014387e+05
0.00446183    	1.014389e+05
0.00448398    	1.014392e+05
0.00450613    	1.014394e+05
0.00452829    	1.014396e+05
0.00455044    	1.014399e+05
0.00457259    	1.014401e+05
0.00459474    	1.014403e+05
0.0046169     	1.014406e+05
0.00463905    	1.014408e+05
