# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	2.181897e-02	1.178927e-03	5.406991e-04	4.290203e-04	4.088835e-04	2.821599e-04
2.62999e-05   	1.741737e-02	1.360144e-03	5.596448e-04	5.119698e-04	4.806955e-04	3.439146e-04
4.29227e-05   	9.386997e-03	1.507273e-03	5.825890e-04	5.915452e-04	5.481361e-04	3.950036e-04
6.18525e-05   	9.011001e-03	1.683840e-03	6.263392e-04	6.723796e-04	6.153394e-04	4.475340e-04
8.30879e-05   	9.558977e-03	1.854188e-03	6.776358e-04	7.537262e-04	6.839982e-04	5.009254e-04
0.00010615    	9.800414e-03	1.987050e-03	7.174325e-04	8.179051e-04	7.353734e-04	5.434240e-04
0.000129106   	9.143326e-03	1.964445e-03	7.072611e-04	8.132227e-04	7.244935e-04	5.409155e-04
0.000151955   	8.772060e-03	1.954088e-03	6.992593e-04	8.087178e-04	7.126489e-04	5.386935e-04
0.000174752   	8.408796e-03	1.956702e-03	6.919436e-04	8.063900e-04	7.025736e-04	5.375286e-04
0.000197443   	7.960268e-03	1.964296e-03	6.811486e-04	8.019768e-04	6.914753e-04	5.347591e-04
0.000220082   	7.436225e-03	1.978697e-03	6.723517e-04	7.993055e-04	6.820103e-04	5.331283e-04
0.000242668   	6.976443e-03	1.986663e-03	6.654082e-04	7.965879e-04	6.729128e-04	5.315473e-04
0.000265202   	6.656058e-03	1.981690e-03	6.611630e-04	7.938903e-04	6.647375e-04	5.303824e-04
0.000287736   	6.446465e-03	1.967872e-03	6.620210e-04	7.929739e-04	6.583363e-04	5.307737e-04
0.000310271   	6.270466e-03	1.942257e-03	6.663033e-04	7.919713e-04	6.523155e-04	5.310886e-04
0.000332753   	6.157451e-03	1.903341e-03	6.716555e-04	7.892572e-04	6.451583e-04	5.298619e-04
0.000355235   	6.141001e-03	1.862494e-03	6.799951e-04	7.884440e-04	6.398598e-04	5.294167e-04
0.000377717   	6.093763e-03	1.819690e-03	6.888979e-04	7.876297e-04	6.349819e-04	5.284594e-04
0.000400199   	5.982857e-03	1.778838e-03	6.975821e-04	7.868326e-04	6.301255e-04	5.271471e-04
0.000422681   	5.800818e-03	1.745288e-03	7.052578e-04	7.861299e-04	6.256088e-04	5.254358e-04
0.000445163   	5.594905e-03	1.723858e-03	7.111773e-04	7.855341e-04	6.214673e-04	5.233765e-04
0.000467592   	5.396415e-03	1.713686e-03	7.127000e-04	7.832002e-04	6.165514e-04	5.200088e-04
0.000490021   	5.208393e-03	1.720351e-03	7.128092e-04	7.827937e-04	6.133417e-04	5.179443e-04
0.00051245    	5.046289e-03	1.736948e-03	7.095649e-04	7.824249e-04	6.103544e-04	5.160674e-04
0.000534879   	4.930669e-03	1.759433e-03	7.034780e-04	7.820985e-04	6.074540e-04	5.143741e-04
0.000557309   	4.896577e-03	1.786388e-03	6.946903e-04	7.818297e-04	6.047099e-04	5.130090e-04
0.000579738   	4.889776e-03	1.816644e-03	6.837881e-04	7.815996e-04	6.019678e-04	5.121511e-04
