# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	2.158787e+01	3.676520e+01	2.423689e+01
0             	back	5.428496e+00	9.881030e+00	8.213848e+00
0             	region0_to_wallFilmRegion_wallFilmFaces	5.948607e+00	2.005343e+01	1.135544e+01
0.0005        	splitter	2.178848e+01	3.650207e+01	2.462558e+01
0.0005        	back	5.322618e+00	1.006530e+01	8.144469e+00
0.0005        	region0_to_wallFilmRegion_wallFilmFaces	5.989543e+00	2.004243e+01	1.136156e+01
0.001         	splitter	2.182971e+01	3.586689e+01	2.461148e+01
0.001         	back	5.258198e+00	1.016194e+01	8.123338e+00
0.001         	region0_to_wallFilmRegion_wallFilmFaces	6.002818e+00	2.009068e+01	1.137079e+01
0.0015        	splitter	2.181569e+01	3.542115e+01	2.453702e+01
0.0015        	back	5.219921e+00	1.020652e+01	8.101305e+00
0.0015        	region0_to_wallFilmRegion_wallFilmFaces	6.001948e+00	2.018816e+01	1.138015e+01
0.002         	splitter	2.178356e+01	3.513335e+01	2.446876e+01
0.002         	back	5.206852e+00	1.015906e+01	8.083833e+00
0.002         	region0_to_wallFilmRegion_wallFilmFaces	5.993930e+00	2.027477e+01	1.138527e+01
0.0025        	splitter	2.168762e+01	3.487899e+01	2.436261e+01
0.0025        	back	5.211798e+00	1.006694e+01	8.070154e+00
0.0025        	region0_to_wallFilmRegion_wallFilmFaces	5.980610e+00	2.033104e+01	1.138953e+01
0.003         	splitter	2.156295e+01	3.460919e+01	2.423456e+01
0.003         	back	5.229898e+00	9.954743e+00	8.058829e+00
0.003         	region0_to_wallFilmRegion_wallFilmFaces	5.966225e+00	2.035718e+01	1.139437e+01
0.0035        	splitter	2.140207e+01	3.429464e+01	2.406649e+01
0.0035        	back	5.256636e+00	9.835900e+00	8.049239e+00
0.0035        	region0_to_wallFilmRegion_wallFilmFaces	5.954057e+00	2.035206e+01	1.139878e+01
0.004         	splitter	2.124665e+01	3.397945e+01	2.389197e+01
0.004         	back	5.257415e+00	9.719834e+00	8.041782e+00
0.004         	region0_to_wallFilmRegion_wallFilmFaces	5.943016e+00	2.030903e+01	1.139998e+01
0.0045        	splitter	2.109294e+01	3.369030e+01	2.373556e+01
0.0045        	back	5.261359e+00	9.734633e+00	8.037304e+00
0.0045        	region0_to_wallFilmRegion_wallFilmFaces	5.933790e+00	2.026471e+01	1.139764e+01
0.005         	splitter	2.094397e+01	3.343287e+01	2.358282e+01
0.005         	back	5.267973e+00	9.831897e+00	8.034712e+00
0.005         	region0_to_wallFilmRegion_wallFilmFaces	5.925739e+00	2.023394e+01	1.139606e+01
0.0055        	splitter	2.079722e+01	3.319894e+01	2.343419e+01
0.0055        	back	5.276007e+00	9.929139e+00	8.032813e+00
0.0055        	region0_to_wallFilmRegion_wallFilmFaces	5.918776e+00	2.019602e+01	1.139643e+01
0.006         	splitter	2.065811e+01	3.299518e+01	2.329332e+01
0.006         	back	5.284167e+00	1.002443e+01	8.031060e+00
0.006         	region0_to_wallFilmRegion_wallFilmFaces	5.912676e+00	2.023192e+01	1.139735e+01
0.0065        	splitter	2.052628e+01	3.282107e+01	2.315872e+01
0.0065        	back	5.291160e+00	1.011248e+01	8.028770e+00
