# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.065644e+02
1.19904e-05   	3.065677e+02
2.62999e-05   	3.065703e+02
4.29227e-05   	3.065746e+02
6.18525e-05   	3.065814e+02
8.30879e-05   	3.065910e+02
0.00010615    	3.066027e+02
0.000129106   	3.066151e+02
0.000151955   	3.066281e+02
0.000174752   	3.066414e+02
0.000197443   	3.066551e+02
0.000220082   	3.066691e+02
0.000242668   	3.066835e+02
0.000265202   	3.066982e+02
0.000287736   	3.067131e+02
0.000310271   	3.067283e+02
0.000332753   	3.067437e+02
0.000355235   	3.067592e+02
0.000377717   	3.067748e+02
0.000400199   	3.067906e+02
0.000422681   	3.068065e+02
0.000445163   	3.068225e+02
0.000467592   	3.068384e+02
0.000490021   	3.068545e+02
0.00051245    	3.068706e+02
0.000534879   	3.068867e+02
0.000557309   	3.069029e+02
0.000579738   	3.069191e+02
0.000602114   	3.069353e+02
0.00062449    	3.069516e+02
0.000646865   	3.069679e+02
0.000669241   	3.069844e+02
0.000691617   	3.070008e+02
0.000713993   	3.070174e+02
0.000736369   	3.070340e+02
0.000758745   	3.070506e+02
0.000781121   	3.070673e+02
0.000803497   	3.070840e+02
0.000825873   	3.071008e+02
0.000848249   	3.071176e+02
0.000870625   	3.071345e+02
0.000892946   	3.071513e+02
0.000915267   	3.071681e+02
0.000937588   	3.071849e+02
0.00095991    	3.072018e+02
0.000982231   	3.072186e+02
0.00100455    	3.072355e+02
0.00102687    	3.072524e+02
0.00104919    	3.072692e+02
0.00107152    	3.072861e+02
0.00109384    	3.073030e+02
0.00111616    	3.073199e+02
0.00113848    	3.073367e+02
0.0011608     	3.073536e+02
0.00118312    	3.073705e+02
0.00120539    	3.073873e+02
0.00122765    	3.074041e+02
0.00124992    	3.074208e+02
0.00127218    	3.074376e+02
0.00129445    	3.074543e+02
0.00131671    	3.074710e+02
0.00133892    	3.074876e+02
0.00136113    	3.075042e+02
0.00138333    	3.075208e+02
0.00140549    	3.075372e+02
0.00142764    	3.075536e+02
0.00144979    	3.075700e+02
0.00147188    	3.075863e+02
0.00149397    	3.076025e+02
0.00151607    	3.076186e+02
0.0015381     	3.076347e+02
0.00156014    	3.076507e+02
0.00158218    	3.076666e+02
0.00160421    	3.076825e+02
0.00162619    	3.076982e+02
0.00164817    	3.077139e+02
0.00167015    	3.077295e+02
0.00169213    	3.077451e+02
0.0017141     	3.077606e+02
0.00173608    	3.077760e+02
0.00175806    	3.077913e+02
0.00178004    	3.078065e+02
0.00180202    	3.078217e+02
0.001824      	3.078367e+02
0.00184598    	3.078517e+02
0.00186795    	3.078666e+02
0.00188993    	3.078814e+02
0.00191191    	3.078961e+02
0.00193389    	3.079107e+02
0.00195587    	3.079252e+02
0.00197791    	3.079397e+02
0.00199995    	3.079540e+02
0.00202198    	3.079683e+02
0.00204402    	3.079824e+02
0.00206606    	3.079964e+02
0.0020881     	3.080103e+02
0.00211014    	3.080242e+02
