# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((2.396693e-04 3.093904e-02 -2.302912e-16) (8.384327e-06 -2.455374e-05 -3.940604e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215494e-17 1.064768e-16 -1.699716e-05) (-8.424530e-21 -4.475382e-21 -2.682248e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
1.19904e-05   	((2.268488e-04 3.035444e-02 -2.303064e-16) (4.412753e-05 -6.279023e-04 6.013947e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215507e-17 1.064763e-16 -1.633827e-05) (1.806826e-18 -9.379795e-18 -1.529313e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2.62999e-05   	((2.301804e-04 3.009618e-02 -2.302793e-16) (6.869376e-06 3.484953e-05 1.143673e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215458e-17 1.064748e-16 -1.649769e-05) (3.463278e-19 -1.441147e-18 -2.024447e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
4.29227e-05   	((2.318967e-04 2.999507e-02 -2.302696e-16) (9.107901e-06 2.279236e-05 2.543753e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215428e-17 1.064746e-16 -1.671412e-05) (7.669559e-19 -2.820492e-18 -2.776812e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
6.18525e-05   	((2.337111e-04 3.004516e-02 -2.302868e-16) (1.002764e-05 2.319792e-05 2.944274e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215464e-17 1.064749e-16 -1.685958e-05) (8.877396e-19 -2.957394e-18 -3.045719e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
8.30879e-05   	((2.367371e-04 3.014835e-02 -2.303073e-16) (1.058865e-05 2.372337e-05 3.281562e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215507e-17 1.064750e-16 -1.668956e-05) (9.895793e-19 -3.079600e-18 -3.187334e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00010615    	((2.334919e-04 3.025048e-02 -2.303138e-16) (1.087540e-05 2.544118e-05 3.480033e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215517e-17 1.064753e-16 -1.592224e-05) (1.049663e-18 -3.176752e-18 -3.248115e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000129106   	((2.293657e-04 3.030929e-02 -2.303086e-16) (1.095091e-05 2.773484e-05 3.463706e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215501e-17 1.064753e-16 -1.515082e-05) (1.044761e-18 -3.189016e-18 -3.255493e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000151955   	((2.302294e-04 3.034439e-02 -2.303000e-16) (1.097759e-05 3.044313e-05 3.476431e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215479e-17 1.064752e-16 -1.501231e-05) (1.048574e-18 -3.190244e-18 -3.270779e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000174752   	((2.396494e-04 3.035929e-02 -2.302946e-16) (1.101355e-05 3.305667e-05 3.494318e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215467e-17 1.064751e-16 -1.574298e-05) (1.053949e-18 -3.190565e-18 -3.294747e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000197443   	((2.545452e-04 3.036111e-02 -2.302945e-16) (1.105282e-05 3.521473e-05 3.504695e-17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.215466e-17 1.064749e-16 -1.709530e-05) (1.057054e-18 -3.188559e-18 -3.238729e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
