# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.015050e+05
1.19904e-05   	1.015050e+05
2.62999e-05   	1.015049e+05
4.29227e-05   	1.015048e+05
6.18525e-05   	1.015047e+05
8.30879e-05   	1.015046e+05
0.00010615    	1.015045e+05
0.000129106   	1.015043e+05
0.000151955   	1.015042e+05
0.000174752   	1.015041e+05
0.000197443   	1.015040e+05
0.000220082   	1.015039e+05
0.000242668   	1.015038e+05
0.000265202   	1.015037e+05
0.000287736   	1.015037e+05
0.000310271   	1.015036e+05
0.000332753   	1.015035e+05
0.000355235   	1.015035e+05
0.000377717   	1.015034e+05
0.000400199   	1.015034e+05
0.000422681   	1.015034e+05
0.000445163   	1.015034e+05
0.000467592   	1.015034e+05
0.000490021   	1.015033e+05
0.00051245    	1.015033e+05
0.000534879   	1.015033e+05
0.000557309   	1.015033e+05
0.000579738   	1.015033e+05
0.000602114   	1.015033e+05
0.00062449    	1.015033e+05
0.000646865   	1.015033e+05
0.000669241   	1.015034e+05
0.000691617   	1.015034e+05
0.000713993   	1.015034e+05
0.000736369   	1.015034e+05
0.000758745   	1.015034e+05
0.000781121   	1.015034e+05
0.000803497   	1.015034e+05
0.000825873   	1.015034e+05
0.000848249   	1.015034e+05
0.000870625   	1.015033e+05
0.000892946   	1.015033e+05
0.000915267   	1.015033e+05
0.000937588   	1.015033e+05
0.00095991    	1.015033e+05
0.000982231   	1.015032e+05
0.00100455    	1.015032e+05
0.00102687    	1.015032e+05
0.00104919    	1.015031e+05
0.00107152    	1.015031e+05
0.00109384    	1.015030e+05
0.00111616    	1.015030e+05
0.00113848    	1.015029e+05
0.0011608     	1.015028e+05
0.00118312    	1.015028e+05
0.00120539    	1.015027e+05
0.00122765    	1.015027e+05
0.00124992    	1.015026e+05
0.00127218    	1.015025e+05
0.00129445    	1.015025e+05
0.00131671    	1.015024e+05
0.00133892    	1.015023e+05
0.00136113    	1.015023e+05
0.00138333    	1.015022e+05
0.00140549    	1.015022e+05
0.00142764    	1.015021e+05
0.00144979    	1.015021e+05
0.00147188    	1.015021e+05
0.00149397    	1.015020e+05
0.00151607    	1.015020e+05
0.0015381     	1.015020e+05
0.00156014    	1.015020e+05
0.00158218    	1.015019e+05
0.00160421    	1.015019e+05
0.00162619    	1.015019e+05
0.00164817    	1.015019e+05
0.00167015    	1.015018e+05
0.00169213    	1.015018e+05
0.0017141     	1.015018e+05
0.00173608    	1.015018e+05
0.00175806    	1.015017e+05
0.00178004    	1.015017e+05
0.00180202    	1.015016e+05
0.001824      	1.015016e+05
0.00184598    	1.015014e+05
0.00186795    	1.015013e+05
0.00188993    	1.015011e+05
0.00191191    	1.015009e+05
0.00193389    	1.015006e+05
0.00195587    	1.015002e+05
0.00197791    	1.014997e+05
0.00199995    	1.014992e+05
0.00202198    	1.014985e+05
0.00204402    	1.014977e+05
0.00206606    	1.014968e+05
0.0020881     	1.014957e+05
0.00211014    	1.014945e+05
0.00213218    	1.014931e+05
0.00215422    	1.014915e+05
0.00217626    	1.014898e+05
0.00219829    	1.014879e+05
0.00222033    	1.014859e+05
0.00224237    	1.014838e+05
0.00226441    	1.014815e+05
0.00228645    	1.014791e+05
0.00230849    	1.014766e+05
0.00233053    	1.014740e+05
0.00235257    	1.014713e+05
0.0023746     	1.014687e+05
0.00239664    	1.014660e+05
0.00241868    	1.014633e+05
0.00244072    	1.014606e+05
0.00246276    	1.014580e+05
0.0024848     	1.014555e+05
0.00250684    	1.014531e+05
0.00252887    	1.014507e+05
0.00255091    	1.014485e+05
0.00257295    	1.014465e+05
0.00259499    	1.014445e+05
0.00261703    	1.014427e+05
0.00263907    	1.014411e+05
0.00266117    	1.014396e+05
0.00268328    	1.014383e+05
0.00270538    	1.014371e+05
0.00272749    	1.014361e+05
0.00274959    	1.014352e+05
0.0027717     	1.014345e+05
0.0027938     	1.014339e+05
0.00281591    	1.014334e+05
0.00283801    	1.014331e+05
0.00286012    	1.014328e+05
0.00288222    	1.014326e+05
0.00290433    	1.014325e+05
0.00292643    	1.014324e+05
0.00294854    	1.014325e+05
0.00297064    	1.014325e+05
0.00299275    	1.014326e+05
0.00301485    	1.014328e+05
0.00303696    	1.014330e+05
0.00305906    	1.014332e+05
0.00308117    	1.014334e+05
0.00310327    	1.014337e+05
0.00312545    	1.014339e+05
0.00314762    	1.014342e+05
0.0031698     	1.014344e+05
0.00319198    	1.014347e+05
0.00321415    	1.014350e+05
0.00323633    	1.014352e+05
0.0032585     	1.014355e+05
0.00328068    	1.014357e+05
0.00330293    	1.014360e+05
0.00332518    	1.014362e+05
0.00334743    	1.014365e+05
0.00336968    	1.014367e+05
0.00339193    	1.014369e+05
0.00341418    	1.014371e+05
0.00343643    	1.014373e+05
0.00345867    	1.014375e+05
0.003481      	1.014377e+05
0.00350333    	1.014379e+05
0.00352565    	1.014381e+05
0.00354798    	1.014383e+05
0.0035703     	1.014385e+05
0.00359263    	1.014387e+05
0.00361495    	1.014389e+05
0.00363728    	1.014391e+05
0.0036596     	1.014392e+05
0.00368193    	1.014393e+05
0.00370425    	1.014394e+05
0.00372658    	1.014395e+05
0.0037489     	1.014396e+05
0.00377123    	1.014397e+05
0.00379355    	1.014398e+05
0.00381588    	1.014398e+05
0.00383821    	1.014398e+05
0.00386053    	1.014398e+05
0.00388286    	1.014398e+05
0.00390518    	1.014398e+05
0.00392751    	1.014398e+05
0.00394983    	1.014397e+05
0.00397208    	1.014397e+05
0.00399432    	1.014397e+05
0.00401656    	1.014397e+05
0.00403881    	1.014396e+05
0.00406105    	1.014396e+05
0.00408329    	1.014396e+05
0.00410553    	1.014395e+05
0.00412778    	1.014395e+05
0.00415002    	1.014395e+05
0.00417226    	1.014395e+05
0.00419451    	1.014395e+05
0.00421675    	1.014396e+05
0.00423899    	1.014396e+05
0.00426124    	1.014397e+05
0.00428348    	1.014397e+05
0.00430572    	1.014398e+05
0.00432797    	1.014399e+05
0.00435021    	1.014400e+05
0.00437245    	1.014402e+05
0.00439461    	1.014404e+05
0.00441677    	1.014405e+05
0.00443892    	1.014407e+05
0.00446108    	1.014409e+05
0.00448323    	1.014411e+05
0.00450539    	1.014414e+05
0.00452754    	1.014416e+05
0.0045497     	1.014419e+05
0.00457186    	1.014422e+05
0.00459401    	1.014424e+05
0.00461617    	1.014427e+05
0.00463832    	1.014429e+05
