# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
1.19904e-05   	1.013572e+05
2.62999e-05   	1.013771e+05
4.29227e-05   	1.013870e+05
6.18525e-05   	1.013902e+05
8.30879e-05   	1.013897e+05
0.00010615    	1.013877e+05
0.000129106   	1.013853e+05
0.000151955   	1.013831e+05
0.000174752   	1.013812e+05
0.000197443   	1.013795e+05
0.000220082   	1.013782e+05
0.000242668   	1.013771e+05
0.000265202   	1.013763e+05
0.000287736   	1.013757e+05
0.000310271   	1.013753e+05
0.000332753   	1.013751e+05
0.000355235   	1.013750e+05
0.000377717   	1.013750e+05
0.000400199   	1.013750e+05
0.000422681   	1.013750e+05
0.000445163   	1.013751e+05
0.000467592   	1.013751e+05
0.000490021   	1.013751e+05
0.00051245    	1.013751e+05
0.000534879   	1.013750e+05
0.000557309   	1.013749e+05
0.000579738   	1.013748e+05
0.000602114   	1.013746e+05
0.00062449    	1.013745e+05
0.000646865   	1.013743e+05
0.000669241   	1.013741e+05
0.000691617   	1.013740e+05
0.000713993   	1.013738e+05
0.000736369   	1.013737e+05
0.000758745   	1.013735e+05
0.000781121   	1.013734e+05
0.000803497   	1.013733e+05
0.000825873   	1.013732e+05
0.000848249   	1.013731e+05
0.000870625   	1.013730e+05
0.000892946   	1.013729e+05
0.000915267   	1.013728e+05
0.000937588   	1.013726e+05
0.00095991    	1.013725e+05
0.000982231   	1.013724e+05
0.00100455    	1.013723e+05
0.00102687    	1.013721e+05
0.00104919    	1.013720e+05
0.00107152    	1.013719e+05
0.00109384    	1.013718e+05
0.00111616    	1.013716e+05
0.00113848    	1.013715e+05
0.0011608     	1.013714e+05
0.00118312    	1.013713e+05
0.00120539    	1.013712e+05
0.00122765    	1.013711e+05
0.00124992    	1.013710e+05
0.00127218    	1.013709e+05
0.00129445    	1.013709e+05
0.00131671    	1.013708e+05
0.00133892    	1.013707e+05
0.00136113    	1.013706e+05
0.00138333    	1.013705e+05
0.00140549    	1.013705e+05
0.00142764    	1.013704e+05
0.00144979    	1.013703e+05
0.00147188    	1.013702e+05
0.00149397    	1.013701e+05
0.00151607    	1.013700e+05
0.0015381     	1.013699e+05
0.00156014    	1.013698e+05
0.00158218    	1.013697e+05
0.00160421    	1.013696e+05
0.00162619    	1.013695e+05
0.00164817    	1.013694e+05
0.00167015    	1.013693e+05
0.00169213    	1.013692e+05
0.0017141     	1.013691e+05
0.00173608    	1.013690e+05
0.00175806    	1.013689e+05
0.00178004    	1.013688e+05
0.00180202    	1.013687e+05
0.001824      	1.013686e+05
0.00184598    	1.013685e+05
0.00186795    	1.013683e+05
0.00188993    	1.013682e+05
0.00191191    	1.013681e+05
0.00193389    	1.013680e+05
0.00195587    	1.013679e+05
0.00197791    	1.013678e+05
0.00199995    	1.013677e+05
0.00202198    	1.013676e+05
0.00204402    	1.013675e+05
0.00206606    	1.013674e+05
0.0020881     	1.013672e+05
0.00211014    	1.013671e+05
0.00213218    	1.013670e+05
0.00215422    	1.013669e+05
0.00217626    	1.013668e+05
0.00219829    	1.013666e+05
0.00222033    	1.013665e+05
0.00224237    	1.013664e+05
0.00226441    	1.013662e+05
0.00228645    	1.013661e+05
0.00230849    	1.013659e+05
0.00233053    	1.013658e+05
0.00235257    	1.013656e+05
0.0023746     	1.013654e+05
0.00239664    	1.013652e+05
0.00241868    	1.013650e+05
0.00244072    	1.013648e+05
0.00246276    	1.013646e+05
0.0024848     	1.013644e+05
0.00250684    	1.013642e+05
0.00252887    	1.013640e+05
0.00255091    	1.013637e+05
0.00257295    	1.013635e+05
0.00259499    	1.013633e+05
0.00261703    	1.013630e+05
0.00263907    	1.013628e+05
0.00266117    	1.013626e+05
0.00268328    	1.013624e+05
0.00270538    	1.013623e+05
0.00272749    	1.013621e+05
0.00274959    	1.013619e+05
0.0027717     	1.013618e+05
0.0027938     	1.013617e+05
0.00281591    	1.013616e+05
0.00283801    	1.013616e+05
0.00286012    	1.013615e+05
0.00288222    	1.013615e+05
0.00290433    	1.013615e+05
0.00292643    	1.013615e+05
0.00294854    	1.013615e+05
0.00297064    	1.013616e+05
0.00299275    	1.013616e+05
0.00301485    	1.013617e+05
0.00303696    	1.013617e+05
0.00305906    	1.013618e+05
0.00308117    	1.013619e+05
0.00310327    	1.013620e+05
0.00312545    	1.013620e+05
0.00314762    	1.013621e+05
0.0031698     	1.013621e+05
0.00319198    	1.013622e+05
0.00321415    	1.013622e+05
0.00323633    	1.013623e+05
0.0032585     	1.013623e+05
0.00328068    	1.013623e+05
0.00330293    	1.013623e+05
0.00332518    	1.013623e+05
0.00334743    	1.013623e+05
0.00336968    	1.013623e+05
