# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	2.181896e-02	1.178927e-03	5.406992e-04	4.290203e-04	4.088835e-04	2.821600e-04
2.62999e-05   	1.741736e-02	1.360144e-03	5.596450e-04	5.119698e-04	4.806955e-04	3.439147e-04
4.29227e-05   	9.386935e-03	1.507273e-03	5.825895e-04	5.915452e-04	5.481361e-04	3.950041e-04
6.18525e-05   	9.010878e-03	1.683849e-03	6.263393e-04	6.723796e-04	6.153394e-04	4.475352e-04
8.30879e-05   	9.558702e-03	1.854204e-03	6.776358e-04	7.537262e-04	6.839982e-04	5.009279e-04
0.00010615    	9.799980e-03	1.987081e-03	7.174290e-04	8.179051e-04	7.353734e-04	5.434281e-04
0.000129106   	9.142720e-03	1.964462e-03	7.072541e-04	8.132228e-04	7.244935e-04	5.409210e-04
0.000151955   	8.771226e-03	1.954102e-03	6.992483e-04	8.087178e-04	7.126490e-04	5.387009e-04
0.000174752   	8.407760e-03	1.956718e-03	6.919397e-04	8.063900e-04	7.025736e-04	5.375374e-04
0.000197443   	7.958965e-03	1.964298e-03	6.811438e-04	8.019769e-04	6.914753e-04	5.347697e-04
0.000220082   	7.434631e-03	1.978691e-03	6.723492e-04	7.993055e-04	6.820103e-04	5.331409e-04
0.000242668   	6.974557e-03	1.986678e-03	6.654037e-04	7.965880e-04	6.729128e-04	5.315616e-04
0.000265202   	6.653917e-03	1.981672e-03	6.611501e-04	7.938904e-04	6.647375e-04	5.303982e-04
0.000287736   	6.444306e-03	1.967791e-03	6.620060e-04	7.929741e-04	6.583363e-04	5.307927e-04
0.000310271   	6.267562e-03	1.942163e-03	6.662773e-04	7.919715e-04	6.523155e-04	5.311098e-04
0.000332753   	6.154390e-03	1.903181e-03	6.716164e-04	7.892574e-04	6.451583e-04	5.298846e-04
0.000355235   	6.137490e-03	1.862304e-03	6.799422e-04	7.884442e-04	6.398598e-04	5.294415e-04
0.000377717   	6.090140e-03	1.819492e-03	6.888337e-04	7.876299e-04	6.349819e-04	5.284874e-04
0.000400199   	5.978665e-03	1.778678e-03	6.975046e-04	7.868329e-04	6.301255e-04	5.271813e-04
0.000422681   	5.796290e-03	1.745204e-03	7.051639e-04	7.861301e-04	6.256088e-04	5.254742e-04
0.000445163   	5.590230e-03	1.723839e-03	7.110744e-04	7.855344e-04	6.214673e-04	5.234185e-04
0.000467592   	5.391747e-03	1.713779e-03	7.125941e-04	7.832005e-04	6.165514e-04	5.200558e-04
0.000490021   	5.203748e-03	1.720557e-03	7.127004e-04	7.827940e-04	6.133417e-04	5.179945e-04
