# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.065644e+02
1.19048e-05   	3.065677e+02
2.58503e-05   	3.065702e+02
4.16553e-05   	3.065742e+02
5.9284e-05    	3.065804e+02
7.84455e-05   	3.065887e+02
9.95233e-05   	3.065991e+02
0.000121772   	3.066110e+02
0.000144021   	3.066234e+02
0.000166269   	3.066363e+02
0.000188518   	3.066496e+02
0.000210767   	3.066633e+02
0.000233016   	3.066773e+02
0.000255264   	3.066916e+02
0.000277513   	3.067063e+02
0.000299762   	3.067212e+02
0.00032201    	3.067363e+02
0.000344259   	3.067516e+02
0.000366508   	3.067670e+02
0.000388756   	3.067826e+02
0.000411005   	3.067983e+02
0.000433254   	3.068140e+02
0.000455503   	3.068298e+02
0.000477751   	3.068457e+02
0.0005        	3.068616e+02
0.000521739   	3.068773e+02
0.000543478   	3.068929e+02
0.000565217   	3.069086e+02
0.000586957   	3.069243e+02
0.000608696   	3.069401e+02
0.000630435   	3.069560e+02
0.000652174   	3.069718e+02
0.000673913   	3.069878e+02
0.000695652   	3.070038e+02
0.000717391   	3.070199e+02
0.00073913    	3.070360e+02
0.00076087    	3.070522e+02
0.000782609   	3.070684e+02
0.000804348   	3.070847e+02
0.000826087   	3.071010e+02
0.000847826   	3.071173e+02
0.000869565   	3.071337e+02
0.000891304   	3.071501e+02
0.000913043   	3.071665e+02
0.000934783   	3.071829e+02
0.000956522   	3.071993e+02
0.000978261   	3.072157e+02
0.001         	3.072321e+02
0.00102174    	3.072485e+02
0.00104348    	3.072650e+02
0.00106522    	3.072814e+02
0.00108696    	3.072978e+02
0.0011087     	3.073143e+02
0.00113043    	3.073307e+02
0.00115217    	3.073472e+02
0.00117391    	3.073636e+02
0.00119565    	3.073800e+02
0.00121739    	3.073964e+02
0.00123913    	3.074128e+02
0.00126087    	3.074292e+02
0.00128261    	3.074455e+02
0.00130435    	3.074618e+02
0.00132609    	3.074781e+02
0.00134783    	3.074944e+02
0.00136957    	3.075106e+02
0.0013913     	3.075268e+02
0.00141304    	3.075429e+02
0.00143478    	3.075590e+02
0.00145652    	3.075750e+02
0.00147826    	3.075910e+02
0.0015        	3.076070e+02
0.00152174    	3.076229e+02
0.00154348    	3.076387e+02
0.00156522    	3.076545e+02
0.00158696    	3.076702e+02
0.0016087     	3.076858e+02
0.00163043    	3.077014e+02
0.00165217    	3.077169e+02
0.00167391    	3.077323e+02
0.00169565    	3.077477e+02
0.00171739    	3.077630e+02
0.00173913    	3.077782e+02
0.00176087    	3.077933e+02
0.00178261    	3.078084e+02
