# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
1.19048e-05   	1.013571e+05
2.58503e-05   	1.013769e+05
4.16553e-05   	1.013868e+05
5.9284e-05    	1.013902e+05
7.84455e-05   	1.013901e+05
9.95233e-05   	1.013883e+05
0.000121772   	1.013860e+05
0.000144021   	1.013838e+05
0.000166269   	1.013818e+05
0.000188518   	1.013800e+05
0.000210767   	1.013786e+05
0.000233016   	1.013774e+05
0.000255264   	1.013766e+05
0.000277513   	1.013759e+05
0.000299762   	1.013755e+05
0.00032201    	1.013752e+05
0.000344259   	1.013750e+05
0.000366508   	1.013750e+05
0.000388756   	1.013750e+05
0.000411005   	1.013750e+05
0.000433254   	1.013750e+05
0.000455503   	1.013751e+05
0.000477751   	1.013751e+05
0.0005        	1.013751e+05
0.000521739   	1.013751e+05
0.000543478   	1.013750e+05
0.000565217   	1.013749e+05
0.000586957   	1.013748e+05
0.000608696   	1.013746e+05
0.000630435   	1.013745e+05
0.000652174   	1.013743e+05
0.000673913   	1.013741e+05
0.000695652   	1.013740e+05
0.000717391   	1.013738e+05
0.00073913    	1.013737e+05
0.00076087    	1.013735e+05
0.000782609   	1.013734e+05
0.000804348   	1.013733e+05
0.000826087   	1.013732e+05
0.000847826   	1.013731e+05
0.000869565   	1.013730e+05
0.000891304   	1.013729e+05
0.000913043   	1.013728e+05
0.000934783   	1.013727e+05
0.000956522   	1.013726e+05
0.000978261   	1.013725e+05
0.001         	1.013723e+05
0.00102174    	1.013722e+05
0.00104348    	1.013721e+05
0.00106522    	1.013720e+05
0.00108696    	1.013718e+05
0.0011087     	1.013717e+05
0.00113043    	1.013716e+05
0.00115217    	1.013715e+05
0.00117391    	1.013714e+05
0.00119565    	1.013713e+05
0.00121739    	1.013712e+05
0.00123913    	1.013711e+05
0.00126087    	1.013710e+05
0.00128261    	1.013709e+05
0.00130435    	1.013709e+05
0.00132609    	1.013708e+05
0.00134783    	1.013707e+05
0.00136957    	1.013707e+05
0.0013913     	1.013706e+05
0.00141304    	1.013705e+05
0.00143478    	1.013704e+05
0.00145652    	1.013703e+05
0.00147826    	1.013702e+05
0.0015        	1.013702e+05
0.00152174    	1.013701e+05
0.00154348    	1.013700e+05
0.00156522    	1.013699e+05
0.00158696    	1.013698e+05
0.0016087     	1.013697e+05
0.00163043    	1.013696e+05
0.00165217    	1.013695e+05
0.00167391    	1.013693e+05
0.00169565    	1.013692e+05
0.00171739    	1.013691e+05
0.00173913    	1.013690e+05
0.00176087    	1.013689e+05
0.00178261    	1.013688e+05
0.00180435    	1.013687e+05
0.00182609    	1.013686e+05
0.00184783    	1.013685e+05
0.00186957    	1.013684e+05
0.0018913     	1.013683e+05
0.00191304    	1.013682e+05
0.00193478    	1.013681e+05
0.00195652    	1.013680e+05
0.00197826    	1.013679e+05
0.002         	1.013677e+05
0.00202174    	1.013676e+05
0.00204348    	1.013675e+05
0.00206522    	1.013674e+05
0.00208696    	1.013673e+05
0.0021087     	1.013672e+05
0.00213043    	1.013671e+05
0.00215217    	1.013670e+05
0.00217391    	1.013668e+05
0.00219565    	1.013667e+05
0.00221739    	1.013666e+05
0.00223913    	1.013665e+05
0.00226087    	1.013663e+05
0.00228261    	1.013662e+05
0.00230435    	1.013660e+05
0.00232609    	1.013659e+05
0.00234783    	1.013657e+05
0.00236957    	1.013655e+05
0.0023913     	1.013653e+05
0.00241304    	1.013652e+05
0.00243478    	1.013649e+05
0.00245652    	1.013647e+05
0.00247826    	1.013645e+05
0.0025        	1.013643e+05
0.00252174    	1.013641e+05
0.00254348    	1.013638e+05
0.00256522    	1.013636e+05
0.00258696    	1.013634e+05
0.0026087     	1.013631e+05
0.00263043    	1.013629e+05
0.00265217    	1.013627e+05
0.00267391    	1.013625e+05
0.00269565    	1.013623e+05
0.00271739    	1.013622e+05
0.00273913    	1.013620e+05
0.00276087    	1.013619e+05
0.00278261    	1.013617e+05
0.00280435    	1.013617e+05
0.00282609    	1.013616e+05
0.00284783    	1.013615e+05
0.00286957    	1.013615e+05
0.0028913     	1.013615e+05
0.00291304    	1.013615e+05
0.00293478    	1.013615e+05
0.00295652    	1.013615e+05
0.00297826    	1.013616e+05
0.003         	1.013616e+05
0.00302174    	1.013617e+05
0.00304348    	1.013617e+05
0.00306522    	1.013618e+05
0.00308696    	1.013619e+05
0.0031087     	1.013619e+05
0.00313043    	1.013620e+05
0.00315217    	1.013621e+05
0.00317391    	1.013621e+05
0.00319565    	1.013622e+05
0.00321739    	1.013622e+05
0.00323913    	1.013622e+05
0.00326087    	1.013622e+05
0.00328261    	1.013623e+05
0.00330435    	1.013623e+05
0.00332609    	1.013622e+05
0.00334783    	1.013622e+05
0.00336957    	1.013622e+05
0.0033913     	1.013622e+05
0.00341304    	1.013621e+05
0.00343478    	1.013621e+05
0.00345652    	1.013620e+05
0.00347826    	1.013620e+05
0.0035        	1.013619e+05
0.00352174    	1.013619e+05
0.00354348    	1.013618e+05
0.00356522    	1.013617e+05
0.00358696    	1.013617e+05
0.0036087     	1.013616e+05
0.00363043    	1.013615e+05
0.00365217    	1.013615e+05
0.00367391    	1.013614e+05
0.00369565    	1.013613e+05
0.00371739    	1.013613e+05
0.00373913    	1.013612e+05
0.00376087    	1.013611e+05
0.00378261    	1.013611e+05
0.00380435    	1.013610e+05
0.00382609    	1.013609e+05
0.00384783    	1.013608e+05
0.00386957    	1.013608e+05
0.0038913     	1.013607e+05
0.00391304    	1.013606e+05
0.00393478    	1.013605e+05
0.00395652    	1.013603e+05
0.00397826    	1.013602e+05
0.004         	1.013601e+05
0.00402174    	1.013599e+05
0.00404348    	1.013597e+05
0.00406522    	1.013595e+05
0.00408696    	1.013593e+05
0.0041087     	1.013591e+05
0.00413043    	1.013588e+05
0.00415217    	1.013585e+05
0.00417391    	1.013582e+05
0.00419565    	1.013579e+05
0.00421739    	1.013575e+05
0.00423913    	1.013571e+05
0.00426087    	1.013566e+05
0.00428261    	1.013562e+05
0.00430435    	1.013556e+05
0.00432609    	1.013551e+05
0.00434783    	1.013545e+05
0.00436957    	1.013539e+05
0.0043913     	1.013532e+05
0.00441304    	1.013525e+05
0.00443478    	1.013518e+05
0.00445652    	1.013510e+05
0.00447826    	1.013502e+05
0.0045        	1.013494e+05
0.00452174    	1.013485e+05
0.00454348    	1.013477e+05
0.00456522    	1.013468e+05
0.00458696    	1.013459e+05
0.0046087     	1.013450e+05
0.00463043    	1.013440e+05
0.00465217    	1.013431e+05
0.00467391    	1.013422e+05
0.00469565    	1.013413e+05
0.00471739    	1.013404e+05
0.00473913    	1.013395e+05
0.00476087    	1.013386e+05
0.00478261    	1.013378e+05
0.00480435    	1.013370e+05
0.00482609    	1.013362e+05
0.00484783    	1.013355e+05
0.00486957    	1.013347e+05
0.0048913     	1.013341e+05
0.00491304    	1.013334e+05
0.00493478    	1.013328e+05
0.00495652    	1.013323e+05
0.00497826    	1.013318e+05
0.005         	1.013313e+05
0.00502174    	1.013309e+05
0.00504348    	1.013305e+05
0.00506522    	1.013302e+05
0.00508696    	1.013299e+05
0.0051087     	1.013296e+05
0.00513043    	1.013294e+05
0.00515217    	1.013293e+05
0.00517391    	1.013291e+05
0.00519565    	1.013290e+05
0.00521739    	1.013290e+05
0.00523913    	1.013289e+05
0.00526087    	1.013289e+05
