# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
1.19048e-05   	2.159559e-02	1.170509e-03	5.368405e-04	4.259552e-04	4.059446e-04	2.801451e-04
2.58503e-05   	1.683168e-02	1.326290e-03	5.458685e-04	4.989454e-04	4.685014e-04	3.352061e-04
4.16553e-05   	8.911492e-03	1.434552e-03	5.549149e-04	5.623931e-04	5.214454e-04	3.756556e-04
5.9284e-05    	8.389323e-03	1.571418e-03	5.849528e-04	6.261585e-04	5.734169e-04	4.169035e-04
7.84455e-05   	8.587667e-03	1.677976e-03	6.140168e-04	6.800655e-04	6.177765e-04	4.522050e-04
9.95233e-05   	9.087382e-03	1.821231e-03	6.588906e-04	7.476194e-04	6.735795e-04	4.968503e-04
0.000121772   	9.081106e-03	1.906930e-03	6.881191e-04	7.884117e-04	7.042819e-04	5.243731e-04
0.000144021   	8.708240e-03	1.903369e-03	6.835195e-04	7.876947e-04	6.968079e-04	5.245967e-04
0.000166269   	8.405095e-03	1.907431e-03	6.785533e-04	7.872432e-04	6.884415e-04	5.248101e-04
0.000188518   	8.032339e-03	1.920581e-03	6.715633e-04	7.866599e-04	6.810489e-04	5.246250e-04
0.000210767   	7.564363e-03	1.940009e-03	6.638212e-04	7.859269e-04	6.733300e-04	5.242095e-04
0.000233016   	7.077683e-03	1.956071e-03	6.575408e-04	7.850851e-04	6.658333e-04	5.238226e-04
0.000255264   	6.722709e-03	1.961312e-03	6.535278e-04	7.842612e-04	6.591222e-04	5.236609e-04
0.000277513   	6.476010e-03	1.953495e-03	6.525917e-04	7.833798e-04	6.527318e-04	5.239545e-04
0.000299762   	6.286647e-03	1.932547e-03	6.554317e-04	7.824211e-04	6.467673e-04	5.243514e-04
0.00032201    	6.156160e-03	1.902288e-03	6.612283e-04	7.814750e-04	6.410426e-04	5.245469e-04
0.000344259   	6.112780e-03	1.864174e-03	6.689858e-04	7.806709e-04	6.357398e-04	5.243326e-04
0.000366508   	6.095887e-03	1.821936e-03	6.776633e-04	7.798741e-04	6.307785e-04	5.236067e-04
0.000388756   	6.019324e-03	1.779499e-03	6.865161e-04	7.790697e-04	6.259961e-04	5.225313e-04
0.000411005   	5.867627e-03	1.741374e-03	6.948932e-04	7.783294e-04	6.214417e-04	5.210339e-04
0.000433254   	5.670943e-03	1.713542e-03	7.017670e-04	7.776921e-04	6.170890e-04	5.191516e-04
0.000455503   	5.464996e-03	1.699294e-03	7.066187e-04	7.771546e-04	6.134863e-04	5.170350e-04
0.000477751   	5.280674e-03	1.700279e-03	7.083738e-04	7.767202e-04	6.101357e-04	5.149141e-04
0.0005        	5.093248e-03	1.712269e-03	7.070266e-04	7.763444e-04	6.071432e-04	5.129502e-04
0.000521739   	4.885770e-03	1.692454e-03	6.864710e-04	7.582300e-04	5.903797e-04	4.994514e-04
0.000543478   	4.784602e-03	1.715664e-03	6.795151e-04	7.579486e-04	5.877153e-04	4.979768e-04
0.000565217   	4.770284e-03	1.742854e-03	6.702035e-04	7.577076e-04	5.851279e-04	4.969088e-04
0.000586957   	4.772517e-03	1.772967e-03	6.592016e-04	7.575050e-04	5.825779e-04	4.962391e-04
0.000608696   	4.752127e-03	1.803729e-03	6.475191e-04	7.573086e-04	5.802497e-04	4.958820e-04
0.000630435   	4.723021e-03	1.833336e-03	6.358621e-04	7.571195e-04	5.780708e-04	4.957570e-04
0.000652174   	4.695837e-03	1.859172e-03	6.253034e-04	7.569447e-04	5.760303e-04	4.958530e-04
0.000673913   	4.671425e-03	1.880480e-03	6.162420e-04	7.568022e-04	5.740357e-04	4.960449e-04
0.000695652   	4.653314e-03	1.895603e-03	6.089594e-04	7.566861e-04	5.722772e-04	4.963182e-04
0.000717391   	4.649410e-03	1.904752e-03	6.037545e-04	7.565869e-04	5.707554e-04	4.966691e-04
0.00073913    	4.637240e-03	1.908289e-03	6.009469e-04	7.565249e-04	5.693674e-04	4.970086e-04
0.00076087    	4.638713e-03	1.905872e-03	6.007206e-04	7.564990e-04	5.681001e-04	4.973848e-04
0.000782609   	4.632170e-03	1.899568e-03	6.028260e-04	7.564849e-04	5.668765e-04	4.976671e-04
0.000804348   	4.607198e-03	1.889203e-03	6.071387e-04	7.564661e-04	5.657409e-04	4.978450e-04
0.000826087   	4.580075e-03	1.877324e-03	6.137136e-04	7.564330e-04	5.646130e-04	4.978920e-04
0.000847826   	4.535866e-03	1.864359e-03	6.217561e-04	7.563786e-04	5.634753e-04	4.977914e-04
0.000869565   	4.479080e-03	1.851700e-03	6.307688e-04	7.563229e-04	5.623630e-04	4.976031e-04
0.000891304   	4.410692e-03	1.840322e-03	6.398780e-04	7.562432e-04	5.612899e-04	4.972423e-04
0.000913043   	4.338271e-03	1.829399e-03	6.485432e-04	7.561498e-04	5.602464e-04	4.967857e-04
0.000934783   	4.254272e-03	1.820271e-03	6.563883e-04	7.560295e-04	5.592098e-04	4.962158e-04
0.000956522   	4.166895e-03	1.812194e-03	6.630451e-04	7.558626e-04	5.581847e-04	4.955937e-04
0.000978261   	4.092840e-03	1.806154e-03	6.683673e-04	7.556502e-04	5.571539e-04	4.948837e-04
0.001         	4.037566e-03	1.800749e-03	6.725312e-04	7.553889e-04	5.561545e-04	4.941902e-04
0.00102174    	3.982869e-03	1.797245e-03	6.754165e-04	7.550917e-04	5.552371e-04	4.934882e-04
0.00104348    	3.909959e-03	1.794491e-03	6.773678e-04	7.547658e-04	5.543795e-04	4.927882e-04
0.00106522    	3.846880e-03	1.793135e-03	6.785399e-04	7.544396e-04	5.536320e-04	4.922402e-04
0.00108696    	3.773598e-03	1.794821e-03	6.792237e-04	7.541221e-04	5.529408e-04	4.915887e-04
