# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	2.158973e+01	3.676530e+01	2.423689e+01
0             	back	5.428668e+00	9.881538e+00	8.213944e+00
0             	region0_to_wallFilmRegion_wallFilmFaces	5.946320e+00	2.004041e+01	1.134956e+01
0.0005        	splitter	2.179047e+01	3.650218e+01	2.462558e+01
0.0005        	back	5.322840e+00	1.006591e+01	8.144584e+00
0.0005        	region0_to_wallFilmRegion_wallFilmFaces	5.987069e+00	2.003055e+01	1.135559e+01
0.001         	splitter	2.183178e+01	3.586701e+01	2.461148e+01
0.001         	back	5.258452e+00	1.016260e+01	8.123467e+00
0.001         	region0_to_wallFilmRegion_wallFilmFaces	5.999831e+00	2.007926e+01	1.136476e+01
0.0015        	splitter	2.181785e+01	3.542140e+01	2.453711e+01
0.0015        	back	5.220197e+00	1.020721e+01	8.101443e+00
0.0015        	region0_to_wallFilmRegion_wallFilmFaces	5.998607e+00	2.017690e+01	1.137411e+01
0.002         	splitter	2.178581e+01	3.513398e+01	2.446911e+01
0.002         	back	5.207146e+00	1.015978e+01	8.083981e+00
0.002         	region0_to_wallFilmRegion_wallFilmFaces	5.990234e+00	2.026349e+01	1.137929e+01
0.0025        	splitter	2.168817e+01	3.488030e+01	2.436338e+01
0.0025        	back	5.212110e+00	1.006767e+01	8.070314e+00
0.0025        	region0_to_wallFilmRegion_wallFilmFaces	5.976730e+00	2.031981e+01	1.138366e+01
0.003         	splitter	2.156354e+01	3.461154e+01	2.423600e+01
0.003         	back	5.230231e+00	9.955496e+00	8.059008e+00
0.003         	region0_to_wallFilmRegion_wallFilmFaces	5.962564e+00	2.034615e+01	1.138870e+01
0.0035        	splitter	2.140321e+01	3.429811e+01	2.406861e+01
0.0035        	back	5.256987e+00	9.835376e+00	8.049434e+00
0.0035        	region0_to_wallFilmRegion_wallFilmFaces	5.950060e+00	2.034145e+01	1.139337e+01
0.004         	splitter	2.124845e+01	3.398434e+01	2.389490e+01
0.004         	back	5.257782e+00	9.720582e+00	8.041986e+00
0.004         	region0_to_wallFilmRegion_wallFilmFaces	5.939322e+00	2.029886e+01	1.139487e+01
0.0045        	splitter	2.109570e+01	3.369660e+01	2.373946e+01
0.0045        	back	5.261748e+00	9.735558e+00	8.037532e+00
0.0045        	region0_to_wallFilmRegion_wallFilmFaces	5.929832e+00	2.025472e+01	1.139286e+01
0.005         	splitter	2.094728e+01	3.344031e+01	2.358730e+01
0.005         	back	5.268364e+00	9.832738e+00	8.034936e+00
0.005         	region0_to_wallFilmRegion_wallFilmFaces	5.922028e+00	2.022454e+01	1.139165e+01
0.0055        	splitter	2.080145e+01	3.320798e+01	2.343975e+01
0.0055        	back	5.276418e+00	9.929977e+00	8.033049e+00
0.0055        	region0_to_wallFilmRegion_wallFilmFaces	5.915025e+00	2.018696e+01	1.139234e+01
0.006         	splitter	2.066324e+01	3.300594e+01	2.329994e+01
0.006         	back	5.284590e+00	1.002531e+01	8.031314e+00
0.006         	region0_to_wallFilmRegion_wallFilmFaces	5.908954e+00	2.022264e+01	1.139360e+01
0.0065        	splitter	2.053243e+01	3.283376e+01	2.316653e+01
0.0065        	back	5.291597e+00	1.011337e+01	8.029044e+00
0.0065        	region0_to_wallFilmRegion_wallFilmFaces	5.903927e+00	2.021942e+01	1.139464e+01
0.007         	splitter	2.041289e+01	3.269215e+01	2.304397e+01
0.007         	back	5.296615e+00	1.019423e+01	8.026260e+00
0.007         	region0_to_wallFilmRegion_wallFilmFaces	5.899545e+00	2.009628e+01	1.139461e+01
0.0075        	splitter	2.030745e+01	3.258225e+01	2.293567e+01
0.0075        	back	5.298966e+00	1.026695e+01	8.023093e+00
0.0075        	region0_to_wallFilmRegion_wallFilmFaces	5.896142e+00	1.989310e+01	1.139312e+01
0.008         	splitter	2.021511e+01	3.249959e+01	2.284001e+01
0.008         	back	5.297957e+00	1.032952e+01	8.019219e+00
0.008         	region0_to_wallFilmRegion_wallFilmFaces	5.893468e+00	1.978205e+01	1.139053e+01
0.0085        	splitter	2.013758e+01	3.244034e+01	2.275818e+01
0.0085        	back	5.293308e+00	1.038347e+01	8.014477e+00
0.0085        	region0_to_wallFilmRegion_wallFilmFaces	5.891579e+00	1.965378e+01	1.138710e+01
0.009         	splitter	2.007543e+01	3.240471e+01	2.269237e+01
0.009         	back	5.285252e+00	1.042615e+01	8.008789e+00
0.009         	region0_to_wallFilmRegion_wallFilmFaces	5.890346e+00	1.952885e+01	1.138308e+01
0.0095        	splitter	2.002276e+01	3.238750e+01	2.264219e+01
0.0095        	back	5.274154e+00	1.045305e+01	8.001901e+00
0.0095        	region0_to_wallFilmRegion_wallFilmFaces	5.889743e+00	1.945682e+01	1.137895e+01
0.01          	splitter	1.998488e+01	3.238618e+01	2.260662e+01
0.01          	back	5.260210e+00	1.046238e+01	7.993556e+00
0.01          	region0_to_wallFilmRegion_wallFilmFaces	5.889648e+00	1.941130e+01	1.137529e+01
0.0105        	splitter	1.996181e+01	3.239936e+01	2.258640e+01
0.0105        	back	5.243912e+00	1.045474e+01	7.983809e+00
0.0105        	region0_to_wallFilmRegion_wallFilmFaces	5.890571e+00	1.937509e+01	1.137236e+01
0.011         	splitter	1.995119e+01	3.242113e+01	2.257790e+01
0.011         	back	5.226919e+00	1.043077e+01	7.972589e+00
0.011         	region0_to_wallFilmRegion_wallFilmFaces	5.894353e+00	1.946442e+01	1.137051e+01
0.0115        	splitter	1.995227e+01	3.245232e+01	2.258134e+01
0.0115        	back	5.209748e+00	1.039124e+01	7.960090e+00
0.0115        	region0_to_wallFilmRegion_wallFilmFaces	5.901469e+00	1.955774e+01	1.136980e+01
0.012         	splitter	1.996206e+01	3.248803e+01	2.259324e+01
0.012         	back	5.192360e+00	1.033694e+01	7.946587e+00
0.012         	region0_to_wallFilmRegion_wallFilmFaces	5.911488e+00	1.965143e+01	1.137030e+01
0.0125        	splitter	1.997946e+01	3.252636e+01	2.261189e+01
0.0125        	back	5.175361e+00	1.026920e+01	7.932395e+00
