# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1e-05         	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	2.036162e-02
2e-05         	3.463661e-02	3.336708e-01	8.632154e-01	1.471833e-01	4.269431e-02
3e-05         	2.240084e-01	2.209126e-01	2.657557e-01	4.519753e-02	7.081482e-02
4e-05         	2.958006e-01	5.600878e-02	2.525022e-02	8.145287e-03	5.428104e-03
5e-05         	2.095226e-01	2.707677e-02	1.644688e-02	6.866028e-03	3.700215e-03
6e-05         	1.651286e-01	2.025106e-02	1.384501e-02	5.736412e-03	3.358863e-03
7e-05         	1.359185e-01	1.537083e-02	9.353666e-03	4.874080e-03	2.716188e-03
8e-05         	1.221818e-01	1.206244e-02	7.193392e-03	4.488185e-03	2.691641e-03
9e-05         	1.125412e-01	9.976744e-03	5.838523e-03	4.159632e-03	2.719871e-03
0.0001        	1.012748e-01	8.504709e-03	4.899829e-03	3.866969e-03	2.733808e-03
0.00011       	8.781931e-02	7.419111e-03	4.204038e-03	3.622708e-03	2.730385e-03
0.00012       	8.429807e-02	7.790991e-03	3.974111e-03	3.530235e-03	2.651667e-03
0.00013       	7.835134e-02	6.344842e-03	3.376215e-03	3.287089e-03	2.516990e-03
0.00014       	6.398278e-02	5.605776e-03	3.008599e-03	3.097143e-03	2.484709e-03
0.00015       	5.823129e-02	5.181453e-03	2.747898e-03	2.960223e-03	2.416203e-03
0.00016       	5.308824e-02	4.815992e-03	2.510657e-03	2.842931e-03	2.363566e-03
0.00017       	4.702244e-02	4.496704e-03	2.318583e-03	2.738481e-03	2.335330e-03
0.00018       	4.210624e-02	4.237564e-03	2.172771e-03	2.644063e-03	2.297503e-03
0.00019       	3.782311e-02	4.016338e-03	2.064727e-03	2.563531e-03	2.247758e-03
0.0002        	3.328641e-02	3.833393e-03	1.978547e-03	2.493415e-03	2.199951e-03
0.00021       	3.015374e-02	3.672286e-03	1.901659e-03	2.430910e-03	2.170714e-03
0.00022       	2.755239e-02	3.529683e-03	1.826867e-03	2.371401e-03	2.139913e-03
0.00023       	2.490406e-02	3.403735e-03	1.763660e-03	2.316007e-03	2.101044e-03
0.00024       	2.314042e-02	3.295010e-03	1.708044e-03	2.264633e-03	2.068832e-03
0.00025       	2.114518e-02	3.197902e-03	1.657769e-03	2.217342e-03	2.054016e-03
0.00026       	2.017946e-02	3.107413e-03	1.608932e-03	2.176544e-03	2.028330e-03
0.00027       	1.882944e-02	3.026580e-03	1.564596e-03	2.136894e-03	1.996808e-03
0.00028       	1.878123e-02	2.955099e-03	1.524031e-03	2.098768e-03	1.970365e-03
0.00029       	1.771265e-02	2.888037e-03	1.486342e-03	2.062484e-03	1.953372e-03
0.0003        	1.683853e-02	2.829228e-03	1.452100e-03	2.028839e-03	1.929437e-03
0.00031       	1.610133e-02	2.776595e-03	1.421112e-03	1.994909e-03	1.905828e-03
0.00032       	1.504606e-02	2.723887e-03	1.390159e-03	1.962521e-03	1.877874e-03
0.00033       	1.410720e-02	2.677408e-03	1.362024e-03	1.932633e-03	1.853314e-03
0.00034       	1.392848e-02	2.636072e-03	1.335753e-03	1.905574e-03	1.837216e-03
0.00035       	1.369132e-02	2.596995e-03	1.310392e-03	1.878503e-03	1.821207e-03
0.00036       	1.341494e-02	2.560981e-03	1.287167e-03	1.852377e-03	1.799242e-03
0.00037       	1.329720e-02	2.527847e-03	1.266006e-03	1.828311e-03	1.772874e-03
0.00038       	1.334671e-02	2.496142e-03	1.246217e-03	1.804269e-03	1.745348e-03
0.00039       	1.166638e-02	2.463371e-03	1.225833e-03	1.780816e-03	1.727040e-03
0.0004        	1.102274e-02	2.433255e-03	1.206441e-03	1.757994e-03	1.709647e-03
0.00041       	1.105463e-02	2.405320e-03	1.188367e-03	1.737409e-03	1.690438e-03
0.00042       	1.086698e-02	2.379132e-03	1.171116e-03	1.718567e-03	1.669303e-03
0.00043       	1.061136e-02	2.356662e-03	1.156241e-03	1.699378e-03	1.643569e-03
0.00044       	1.096642e-02	2.333636e-03	1.141477e-03	1.680635e-03	1.621860e-03
0.00045       	1.098660e-02	2.314742e-03	1.129344e-03	1.660937e-03	1.606866e-03
0.00046       	1.037796e-02	2.294996e-03	1.116681e-03	1.641164e-03	1.593467e-03
0.00047       	9.700428e-03	2.274131e-03	1.103931e-03	1.622676e-03	1.577695e-03
0.00048       	9.742910e-03	2.254602e-03	1.092505e-03	1.604768e-03	1.558586e-03
0.00049       	9.501649e-03	2.235335e-03	1.082041e-03	1.586547e-03	1.538124e-03
0.0005        	9.337394e-03	2.217008e-03	1.072262e-03	1.569254e-03	1.520167e-03
0.00051       	8.871269e-03	2.199592e-03	1.063141e-03	1.552499e-03	1.508452e-03
0.00052       	9.021622e-03	2.182600e-03	1.053826e-03	1.536416e-03	1.496110e-03
0.00053       	9.222304e-03	2.165814e-03	1.044040e-03	1.520278e-03	1.482982e-03
0.00054       	9.524289e-03	2.151423e-03	1.035654e-03	1.504634e-03	1.467773e-03
0.00055       	9.041743e-03	2.136921e-03	1.027226e-03	1.488857e-03	1.448794e-03
0.00056       	8.216903e-03	2.120975e-03	1.017749e-03	1.473255e-03	1.430717e-03
0.00057       	8.884102e-03	2.106176e-03	1.009395e-03	1.458092e-03	1.416275e-03
0.00058       	8.662351e-03	2.091402e-03	1.001295e-03	1.442932e-03	1.403728e-03
0.00059       	8.279703e-03	2.077247e-03	9.935270e-04	1.428151e-03	1.391082e-03
