# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.804484e-02
2             	3.210296e-01	3.228574e-01	3.236221e-01	4.588007e-01	1.470794e-01
3             	2.343150e-01	2.011039e-01	1.917058e-01	2.057630e-01	1.212836e-01
4             	1.681684e-01	1.307390e-01	1.338175e-01	1.161909e-01	7.415452e-02
5             	1.461997e-01	9.816808e-02	8.787495e-02	8.647772e-02	5.082165e-02
6             	2.564909e-01	6.975534e-02	4.861730e-02	6.584754e-02	3.807145e-02
7             	4.286275e-01	4.587054e-02	2.327816e-02	5.145963e-02	2.960621e-02
8             	2.935839e-01	4.285279e-02	3.142426e-02	4.038310e-02	2.492147e-02
9             	2.545744e-01	4.570572e-02	3.268249e-02	3.205869e-02	2.220004e-02
10            	2.577630e-01	4.723513e-02	2.982688e-02	2.594995e-02	2.024823e-02
11            	3.093593e-01	4.515083e-02	2.444034e-02	2.204817e-02	1.788967e-02
12            	4.785864e-01	3.899622e-02	2.037073e-02	1.966245e-02	1.770799e-02
13            	2.682058e-01	3.355460e-02	2.411771e-02	1.839453e-02	1.893924e-02
14            	2.050478e-01	2.920902e-02	2.743719e-02	1.754686e-02	1.897993e-02
15            	1.895723e-01	2.508924e-02	2.471856e-02	1.686786e-02	1.795936e-02
16            	2.257091e-01	2.047258e-02	1.882273e-02	1.623640e-02	1.695346e-02
17            	3.138314e-01	1.619488e-02	1.291981e-02	1.555190e-02	1.548614e-02
18            	3.892818e-01	1.349433e-02	1.040315e-02	1.482820e-02	1.446634e-02
19            	2.866935e-01	1.277718e-02	1.184121e-02	1.416944e-02	1.326446e-02
20            	2.401461e-01	1.265032e-02	1.333231e-02	1.354553e-02	1.256498e-02
21            	2.146912e-01	1.195774e-02	1.279515e-02	1.303740e-02	1.187584e-02
22            	2.076570e-01	1.088211e-02	1.058008e-02	1.260748e-02	1.139708e-02
23            	2.206789e-01	1.019357e-02	8.146343e-03	1.215708e-02	1.078417e-02
24            	2.376238e-01	9.826316e-03	7.164407e-03	1.176866e-02	1.057605e-02
25            	2.073035e-01	9.637613e-03	7.226226e-03	1.136181e-02	1.018922e-02
26            	2.031513e-01	9.625612e-03	7.104149e-03	1.096705e-02	9.877041e-03
27            	2.044776e-01	9.749846e-03	6.636192e-03	1.057850e-02	9.476610e-03
28            	2.072691e-01	9.754033e-03	6.191496e-03	1.022275e-02	9.109755e-03
29            	2.105499e-01	9.443910e-03	5.857554e-03	9.895560e-03	8.773066e-03
30            	2.092589e-01	8.892491e-03	5.585330e-03	9.613526e-03	8.410627e-03
31            	1.842894e-01	8.278992e-03	5.468404e-03	9.377142e-03	8.113800e-03
32            	1.473790e-01	7.721179e-03	5.437197e-03	9.184062e-03	7.846988e-03
33            	1.310017e-01	7.252371e-03	5.378517e-03	9.023049e-03	7.618456e-03
34            	1.340692e-01	6.893568e-03	5.242247e-03	8.866254e-03	7.382383e-03
35            	1.454981e-01	6.579060e-03	5.060684e-03	8.724621e-03	7.173208e-03
36            	1.572385e-01	6.276179e-03	4.888187e-03	8.585143e-03	6.995688e-03
37            	1.653073e-01	6.009591e-03	4.811183e-03	8.435072e-03	6.829810e-03
38            	1.568611e-01	5.888794e-03	4.828009e-03	8.297400e-03	6.635194e-03
39            	1.414848e-01	5.880169e-03	4.840958e-03	8.159974e-03	6.488269e-03
40            	1.250199e-01	5.913969e-03	4.797852e-03	8.022156e-03	6.367710e-03
41            	1.101304e-01	5.938284e-03	4.712001e-03	7.880198e-03	6.247107e-03
42            	1.000628e-01	5.925703e-03	4.592032e-03	7.758408e-03	6.147676e-03
43            	9.476851e-02	5.879479e-03	4.429355e-03	7.636814e-03	6.059990e-03
44            	9.317604e-02	5.804554e-03	4.242656e-03	7.520083e-03	5.984662e-03
45            	9.283416e-02	5.715144e-03	4.063465e-03	7.429231e-03	5.897869e-03
46            	8.799634e-02	5.627173e-03	3.964215e-03	7.342343e-03	5.801005e-03
47            	8.100700e-02	5.541428e-03	3.958874e-03	7.257140e-03	5.724524e-03
48            	7.368238e-02	5.452005e-03	3.962871e-03	7.180318e-03	5.659846e-03
49            	6.568920e-02	5.351703e-03	3.951383e-03	7.102071e-03	5.592446e-03
50            	5.830616e-02	5.241075e-03	3.918922e-03	7.026376e-03	5.526544e-03
